name,x,y,a,b,theta
IC1683,76.57411751,76.22629328,48.58499920125,27.905863846205687,1.296511409
IC1755,93.34574387,93.68800655,64.26928671750001,18.29393950393445,1.124852359
IC2101,114.6337465,110.9089032,87.52050454812499,19.83412794423155,0.9997895376
IC5376,110.7901562,111.1593851,72.3738833075,22.14744002869525,-1.5048161
NGC1035,155.4729625,151.4943795,139.03321671125,36.189414616279464,0.9935041201
NGC1056,153.6561989,154.0036527,56.450507099999996,32.12747398604658,1.159574295
NGC1084,137.4316767,137.2428619,101.99084701075,59.79142814089086,-0.8757227553
NGC1093,81.37855214,80.78750008,48.54716691125,29.26039890689108,0.3179102453
NGC157,187.7548562,187.3377245,142.1382184825,54.26287870397539,-0.9962219639
NGC1667,91.6727137,92.50275282,61.02437307000001,41.7225776247362,1.502616894
NGC169,110.4641909,110.7584796,60.04921240125,25.76933466338947,-0.02257063213
NGC2347,99.4160073,126.85849579999999,55.425758169000005,34.111521042935514,-1.471979033
NGC2410,154.3745804,154.1825148,91.99123133375,31.566485498437686,-0.9652318679
NGC2639,74.93841584,74.1262251,52.142373435874994,26.838933555751115,0.7812429438
NGC2683,304.7957797,304.9516222,320.59565368125,89.88273655453897,-0.8380477553
NGC2742,217.3329992,219.886275,155.958525097,76.37441865644823,-0.08206359718
NGC2775,186.2921227,187.8228215,78.816299665,66.05678031980507,1.201923773
NGC2841,310.55981,312.0017798,116.19222179375,61.39416353416824,1.082883615
NGC2903,311.2143878,301.5989261,13.8633337325,9.725580859262593,-1.074896546
NGC3160,79.30816228,81.43620695,63.85669258237499,18.408963620457424,0.8634219994
NGC3198,375.2085989,375.8374219,253.90246960000002,87.60569716120874,-0.8742770142
NGC3227,249.1787858,250.2991004,151.31344548125,66.04359928534761,1.089079417
NGC3310,124.8060965,120.5351556,56.998389605,55.36735411315213,-0.8133782814
NGC3368,249.6832408,249.699647,112.73709845875001,77.79528464092634,0.9069300561
NGC3521,373.1492068,374.4208186,280.98821625125,150.70422659510416,1.247860852
NGC3623,375.0012952,373.9580837,329.88262687375,120.87789346500331,1.407111396
NGC3627,375.2358553,373.6590859,145.74310448375,65.25996155206636,1.23836005
NGC3646,249.3126438,249.2280085,85.2405717925,47.400912752425526,-0.7104772577
NGC3672,313.579514,312.1821462,150.52256485125,61.505103586902536,-1.454680375
NGC3675,313.1508751,312.1627124,163.928829289125,78.89703081515623,1.565005227
NGC3718,496.1304473,502.9498769,160.4035202625,91.97129071146352,-1.144157078
NGC3815,123.6308406,123.8561386,62.9601409275,26.581675284712578,-0.3611091727
NGC3900,187.3785106,186.8996539,87.72838710625,51.346173320203484,-1.566769216
NGC3949,187.5814257,186.5871608,105.43266516625,61.634244103384354,0.5646677927
NGC4062,311.2413541,312.1579329,111.90349832500002,62.50118478214393,0.2504467895
NGC4088,375.4963812,378.7932888,312.75246774875,125.20663769672545,-0.6549715853
NGC4293,220.9134898,222.1173365,178.43022477875,53.171872294757065,-0.2037503193
NGC4310,92.89782081,92.12656398,64.76236840125,28.027860970567982,1.190244225
NGC4414,217.6371855,216.8280278,116.95563166999999,66.00665305970503,1.197072682
NGC4424,186.7618216,185.6572629,100.26163958625001,40.910845408003546,0.1566282924
NGC4450,313.460229,312.3035748,123.03569457250002,73.2363794409768,-1.504269914
NGC4451,56.04164946,58.60185685,47.72163747875,26.284542780974363,1.206116493
NGC4501,374.8948298,373.0336311,183.122465328125,92.13087603280748,0.9032785021
NGC4527,435.9889286,435.4808922,190.165869295,56.857023929830454,-0.3941981151
NGC4569,434.8078143,436.8660106,386.32453234875,164.30763157687844,-1.195041346
NGC4580,123.8440411,124.8124847,80.287595648125,54.942157906774106,1.061384811
NGC4625,155.4749006,155.3275219,54.50030464500001,49.33132768673185,-1.247805833
NGC4632,216.037315,216.4568888,121.56164453125002,49.192983860462014,-0.5036447777
NGC4651,236.6595336,236.8235535,94.11194453075,61.88899079695901,-0.2347590874
NGC4666,282.0540903,281.2141752,188.70900332625,49.40021228204535,-0.8610115144
NGC4698,217.9332416,218.1156634,97.86652346875,69.90346050465072,1.351741829
NGC4826,311.7796442,311.2160593,183.2957496825,116.48520700621035,0.3453680248
NGC5005,310.1413197,307.8015162,167.0321148975,58.39197129115711,-0.3818416281
NGC5055,437.6533644,441.0317672,337.444676605,191.7936850731741,0.1873191041
NGC5248,373.9964127,374.6690097,51.167438909625,35.49426814621446,0.412898628
NGC5303,67.67580032,68.90915986,50.29695042749999,25.559695167707734,-0.0931011113
NGC5395,249.1654139,249.8606271,125.503414603375,53.03701813140362,1.537116896
NGC5448,217.3001486,217.9687418,144.634748745375,53.24790123646279,0.1974847865
NGC5635,156.3789526,156.7050668,75.33877477749999,35.645658014336874,-0.4610017885
NGC5678,187.0486958,187.2925059,89.17649899712501,54.45536407155193,1.557862271
NGC5692,61.57772823,61.38250171,40.56202363,25.114551189422134,-0.9246772327
NGC5949,154.3655129,155.4550259,112.52298665237501,52.57929502599011,0.9401325512
NGC5980,122.5834397,123.825614,79.2867232175,30.35689608737791,-1.339095137
NGC6015,309.2474548,311.1255385,142.3463158225,77.23822666390893,-1.014712546
NGC6106,186.7232508,185.7009668,83.63111989875,53.773652635027105,0.8992475743
NGC6132,93.30259367,92.70444103,58.2730403375,21.639969865759458,0.6260398438
NGC615,187.0513134,187.4561543,99.63486287125,39.76378005479184,1.210354137
NGC6181,155.0684651,154.1952338,84.03909653962499,50.261559017505995,1.420380214
NGC6186,92.84678274,92.40457245,73.43870370625001,27.68629046762152,-0.6099735492
NGC6207,187.3778501,203.5885676,109.545097149875,47.92436829512768,-1.247203375
NGC6394,74.17716997,74.79371344,59.51975285349999,18.870091350076144,-0.9712025476
NGC6978,86.06999219,86.894446,64.64332981287501,24.608526882800042,0.6452656546
NGC7311,121.8040874,128.4115107,67.20996985875,33.0825976479622,-1.344385176
NGC7331,371.7504077,376.636675,137.31230623,44.96373827296695,1.328908394
NGC7364,93.67030023,93.86354007,50.740423709999995,33.425802926937216,-0.4128225953
NGC7466,79.5413145,80.21462461,52.673664105,28.55785381407756,-1.162780077
NGC7479,249.2145913,248.9172788,127.331966025,42.86624948931441,-1.395954826
NGC7536,124.2986066,123.3979874,83.724163375125,32.59875490199435,-0.5892958627
NGC7541,247.3918866,249.3801325,158.89262640375,47.111883128074794,0.1466560604
NGC7591,125.9550196,123.4838053,55.463466328749995,35.30464234316024,1.238474769
NGC7608,107.2872819,105.288956,82.32916214625,21.4318072615437,-1.252057297
NGC7625,125.1199446,125.1165942,61.113582268749994,48.877749145748666,-0.979657728
NGC7631,155.4636148,155.0775983,75.49118537,33.17540508759836,-0.2348012354
NGC772,187.467775,188.2778175,74.117800239375,55.17523461830662,0.5572098158
NGC7738,187.481328,187.7059583,96.03369968125,33.36240674143727,-0.9068120299
NGC7782,186.8882125,187.5994692,93.7729132755,54.8196538900572,1.497807822
NGC7787,187.2014965,187.567519,63.25874568,37.39464257679593,0.2079798278
UGC10384,92.20912699,93.19687228,58.59700465125,14.795045429838439,0.04005417133
UGC1057,112.0370525,111.2634488,61.35569831637499,20.64213422536302,1.085394723
UGC10972,107.1276744,108.2859055,94.314789283875,22.081458710469644,-0.6314148279
UGC11792,111.6980426,108.3877989,73.874872368875,13.735515855127803,1.207162755
UGC12519,125.0125021,124.7386868,87.0641931825,22.66535060215554,1.17733095
UGC148,124.0220314,124.0969776,89.5539131325,22.81548933949876,0.1113891327
UGC1938,92.67056523,92.52083431,53.12761667499999,15.027383383953683,1.140988436
UGC2405,113.6182845,112.2336297,72.347618105,26.895702835685732,1.339792367
UGC36,61.85938278,61.87165702,38.473974269875,23.780375825525727,-1.31004585
UGC3944,123.9856659,124.708975,66.17397481525,35.52703308784876,0.5462872918
UGC3969,79.83041302,78.794797,67.43068510875,12.65587464876584,0.780099644
UGC4132,114.2570305,113.7150616,94.92377755999999,27.26597678199728,-1.07382332
UGC5359,112.1867843,111.8074879,63.59100509675,24.07351966265826,0.08521310303
UGC5396,124.3500301,124.2954081,85.97582068624999,30.081436655193027,1.094539246
UGC5598,94.07881924,93.20301847,66.53715176375,19.326932952982762,-0.9346391943
UGC7145,93.23144888,92.80937158,67.58793699124999,25.980519819032445,1.105815728
UGC7901,249.0716361,250.031737,95.53143350575,62.84849741274396,-0.2325293022
UGC9873,92.88671787,92.43246985,80.90934976975,20.081742511099346,0.6033989887
UGC9892,124.8069596,124.8773287,49.521354154875,17.35117570321399,0.18896554
