name,paper_label,pos_label,neg_label,u-g_is_valid,u-g_pos_mean,u-g_neg_mean,u-g_mean_diff,u-g_mannwhitneyu_stat,u-g_mannwhitneyu_pval,u-g_wasserstein_distance,u-g_mean_wasserstein_distance,u-g_wasserstein_distance_confidence_interval_lower,u-g_wasserstein_distance_confidence_interval_lower,u-g_laplace_smoothed_kld,u-g_label,u-g_score,u-r_is_valid,u-r_pos_mean,u-r_neg_mean,u-r_mean_diff,u-r_mannwhitneyu_stat,u-r_mannwhitneyu_pval,u-r_wasserstein_distance,u-r_mean_wasserstein_distance,u-r_wasserstein_distance_confidence_interval_lower,u-r_wasserstein_distance_confidence_interval_lower,u-r_laplace_smoothed_kld,u-r_label,u-r_score,u-i_is_valid,u-i_pos_mean,u-i_neg_mean,u-i_mean_diff,u-i_mannwhitneyu_stat,u-i_mannwhitneyu_pval,u-i_wasserstein_distance,u-i_mean_wasserstein_distance,u-i_wasserstein_distance_confidence_interval_lower,u-i_wasserstein_distance_confidence_interval_lower,u-i_laplace_smoothed_kld,u-i_label,u-i_score,u-z_is_valid,u-z_pos_mean,u-z_neg_mean,u-z_mean_diff,u-z_mannwhitneyu_stat,u-z_mannwhitneyu_pval,u-z_wasserstein_distance,u-z_mean_wasserstein_distance,u-z_wasserstein_distance_confidence_interval_lower,u-z_wasserstein_distance_confidence_interval_lower,u-z_laplace_smoothed_kld,u-z_label,u-z_score,g-r_is_valid,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_is_valid,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_is_valid,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_is_valid,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_is_valid,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_is_valid,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC1683,W,E,W,1,0.04038118222770754,0.03511182946546454,0.005269352762243003,105249.0,0.8913445895706297,0.006671111946100193,0.007021269093850125,0.004787393036178096,0.009693664556217983,0.3430705185259936,W,1,1,0.03918287747412047,0.030059606705614215,0.009123270768506254,112018.0,0.12287142916856102,0.009286482132624339,0.009755461770343766,0.006654483027788338,0.013234537521596356,0.2720776716443282,W,1,1,0.038888158166332794,0.029162864586169058,0.009725293580163736,112802.0,0.08232064718785748,0.009969543567012611,0.010325756656022016,0.0071442479278738215,0.014004771476691836,0.21284061264834014,W,1,1,0.03739583924405237,0.02215939217448336,0.01523644706956901,121671.0,8.21081275710843e-05,0.015236447069569004,0.015298745043516346,0.010975191465571068,0.020509883303542545,0.25189820249708594,W,1,1,-0.0011983047535870592,-0.005052222759850324,0.0038539180062632647,124595.0,3.105230321067956e-06,0.003929361662638388,0.003974437026114337,0.002931102287083474,0.00511142938032215,0.3283254416231005,W,1,1,-0.0014930240613747414,-0.005948964879295481,0.00445594081792074,127041.0,1.3590969356794091e-07,0.004609276941727715,0.0046982370154461635,0.003599843041565433,0.005905683954493019,0.4057087923956003,W,1,1,-0.0029853429836551727,-0.01295243729098118,0.009967094307326008,142103.0,2.0940706590589946e-19,0.00996709430732601,0.009964087800774131,0.008069891135447043,0.01221176104512982,0.5538889382422338,W,1,1,-0.00029471930778768215,-0.000896742119445157,0.0006020228116574748,116121.0,0.010438174511834559,0.0010983916560133853,0.0013676137156288868,0.0009521467981765322,0.0019345377921898344,0.17663696074260526,W,1,1,-0.0017870382300681136,-0.007900214531130859,0.006113176301062746,140849.0,3.4059662492112875e-18,0.006113176301062746,0.006142173213796835,0.004686185441733119,0.007747545844717866,0.5206454683599487,W,1,1,-0.0014923189222804311,-0.007003472411685702,0.005511153489405271,147510.0,4.187348302227545e-25,0.00551115348940527,0.005500458983222875,0.0045663621206542574,0.006440801581275931,0.5442592774425322,W,1,10,1,W
IC1755,SW,E,W,1,0.03366248954442909,0.028819177910649647,0.004843311633779442,104596.0,0.07769359528753998,0.004935184679943216,0.005530327994706157,0.0026155041667557943,0.009541519926942275,0.24425164524678042,W,1,1,0.04566137396698469,0.039558345885568946,0.006103028081415746,107363.0,0.012702132018125142,0.006172341823722411,0.006586830221016676,0.0030969718422257644,0.01099981215292931,0.3493511136144657,W,1,1,0.05002929364896042,0.04600027533302305,0.004029018315937376,103450.0,0.1435211667610279,0.004174463740686237,0.004915051487903321,0.002660159920282552,0.008465803700522525,0.2005684707540706,W,1,1,0.052547539244269394,0.047623443781075685,0.004924095463193709,104788.0,0.06956564572038847,0.005023487335269833,0.005404109096641176,0.002824956490018523,0.008867627921244847,0.30658029912873763,W,1,1,0.011998884422555596,0.010739167974919304,0.0012597164476362919,109885.0,0.0016030145828996934,0.002098430389201749,0.002136196603686301,0.001355732794985894,0.002957016753452266,0.32789120415756207,W,1,1,0.01636680410453133,0.0171810974223734,-0.0008142933178420693,93798.0,0.28209127711263904,0.0012688382151371338,0.0016464141315635143,0.0010307804211301269,0.0024329172594952913,0.35513414760607953,E,-1,1,0.018885049699840294,0.01880426587042603,8.07838294142639e-05,96217.0,0.6603860457212399,0.0012577564704261094,0.0018467223372993402,0.0011339485678455452,0.00304688716140667,0.30098535116105735,W,1,1,0.004367919681975737,0.006441929447454099,-0.002074009765478362,80594.0,5.400616260171241e-06,0.002139173637247165,0.002187151751746367,0.0012634117244322961,0.003150163981265005,0.16138017950772196,E,-1,1,0.006886165277284699,0.00806509789550673,-0.0011789326182220306,88314.0,0.011800573497284136,0.0018552805183147218,0.0020580848761149284,0.0011529952416538041,0.0032018589315249957,0.15956532714598765,E,-1,1,0.0025182455953089615,0.0016231684480526314,0.0008950771472563302,102300.0,0.24591578040608386,0.0008957662609937203,0.0010054000995690252,0.0004638690744651579,0.0017253973793508687,0.17922493493081557,W,1,4,1,W
IC2101,NE,NE,SW,1,-0.08867303052203553,-0.14165867848965577,0.052985647967620245,376627.0,7.395560878764305e-29,0.05301063964559029,0.05304083963321533,0.04402807046390914,0.061961120243595076,0.47964336664778506,SW,-1,1,-0.02770919921276713,-0.08043847678890156,0.05272927757613444,366366.0,3.1226672089059016e-23,0.05567029221856433,0.056131745751891414,0.04535777460120982,0.06742740866408256,0.4697706391961404,SW,-1,1,0.019175137330712858,-0.02476943459240117,0.04394457192311403,337068.0,1.1200231305743225e-10,0.051529253418570474,0.052245844366146724,0.041042162987267906,0.06428847636481083,0.4945783912056847,SW,-1,1,0.028649093974789368,0.0036172331913177625,0.025031860783471607,310871.0,0.0008405104289328845,0.04230821233014952,0.04353258277237222,0.03281668834593337,0.05580206361844182,0.38017249954881216,SW,-1,1,0.06096383130926841,0.06122020170075421,-0.000256370391485794,278773.0,0.6367987273186857,0.01658528138232676,0.017312437617773867,0.012596268124969015,0.022184542214377236,0.3672129358494158,NE,1,1,0.1078481678527484,0.1168892438972546,-0.0090410760445062,237028.0,5.664411116203908e-08,0.043873678311517374,0.04455106988321677,0.0380499679014036,0.05074738640231237,0.7051770238392029,NE,1,1,0.11732212449682491,0.14527591168097354,-0.02795378718414862,211664.0,3.149906397343037e-17,0.06279271940698461,0.06336322400982831,0.05645472673246473,0.07094933431797963,0.9137977161642746,NE,1,1,0.04688433654347998,0.05566904219650039,-0.008784705653020405,190645.0,7.693682334083433e-28,0.025665002066168112,0.025795990308259163,0.023182403207656556,0.028521562008830676,1.0785838969172972,NE,1,1,0.056358293187556495,0.08405570998021931,-0.02769741679266282,174506.0,8.263100619636732e-38,0.04211149539575024,0.04234957710967181,0.038314336301131194,0.046755539052988,1.6721405464521166,NE,1,1,0.009473956644076506,0.028386667783718934,-0.01891271113964243,173677.0,2.3029417928525054e-38,0.019108816230044158,0.019138841732228264,0.016443447925617097,0.02199280716696633,0.5630571665915483,NE,1,2,1,NE
IC5376,W,W,E,1,0.0649701180889874,0.08608161574313607,-0.021111497654148673,170825.0,1.0536290427461478e-36,0.02111149765414868,0.021175676468033734,0.018272176167236046,0.024277481649128168,0.3719738631373737,W,1,1,0.06603352588324375,0.09936552652454787,-0.03333200064130412,129900.0,1.9650384249937597e-69,0.03333200064130412,0.03332567966764755,0.02992108924437512,0.036763069531577895,0.6867398837441014,W,1,1,0.0727043550224976,0.11374777896244272,-0.04104342393994512,122600.0,2.175165271640837e-76,0.04104342393994512,0.04111141418459117,0.03715341504880797,0.04523132103882191,0.6881491754137051,W,1,1,0.07187081597787524,0.11894777488635411,-0.047076958908478864,112601.0,1.8202017442797258e-86,0.04707695890847888,0.046968803905040296,0.04229438800224542,0.051614053773213944,0.7702544981667417,W,1,1,0.0010634077942563616,0.013283910781411805,-0.012220502987155444,40618.0,8.773754240082008e-178,0.012220502987155442,0.012239232116960746,0.011461200284402721,0.01305066988211659,3.825851285178934,W,1,1,0.007734236933510211,0.027666163219306646,-0.019931926285796434,60409.0,2.1704684932525633e-149,0.01993192628579643,0.019952070573260032,0.018012274339204853,0.021750476626069628,4.1316971811387795,W,1,1,0.0069006978888878495,0.032866159143218054,-0.025965461254330205,55060.0,8.098955276112065e-157,0.025965461254330198,0.02591159400583686,0.023684716182876243,0.028331654615780515,4.830907560498356,W,1,1,0.00667082913925385,0.01438225243789484,-0.00771142329864099,129704.0,1.2913219069322476e-69,0.00771142329864099,0.007710723443102231,0.006458770740276465,0.008982796029585089,1.0708567298378728,W,1,1,0.005837290094631486,0.019582248361806245,-0.01374495826717476,93831.0,4.228420521269155e-107,0.013744958267174758,0.013779485423550616,0.01202952299131198,0.015437803335186781,2.7496496414483422,W,1,1,-0.0008335390446223622,0.005199995923911407,-0.00603353496853377,76876.0,1.1506537880655515e-127,0.00603353496853377,0.006021345626672761,0.00542523706010638,0.006645937354913577,1.1831309042545057,W,1,10,1,W
MCG-02-02-030,SW,E,W,1,0.15779716968481095,0.11854694448680066,0.03925022519801029,558983.0,1.92582446007537e-30,0.039250225198010275,0.03936551900009562,0.03329491725801304,0.045011769715505336,0.42746788266698676,W,1,1,0.20345302807144044,0.1393214505072155,0.06413157756422494,633131.0,7.288901400992021e-72,0.06413157756422491,0.06389087648920658,0.05747733089642327,0.06992143177605807,0.6969567756006214,W,1,1,0.22345507557748517,0.14508839923278863,0.07836667634469655,665471.0,1.3858075636804045e-95,0.07836667634469652,0.07843566702875465,0.07195024627355892,0.08457391766200212,0.8151318780336573,W,1,1,0.22612467351567644,0.133021055071772,0.09310361844390444,693850.0,3.1118772389072644e-119,0.09310361844390443,0.09314257956799195,0.0864276841808119,0.09934228596814292,1.211828588278159,W,1,1,0.04565585838662951,0.020774506020414876,0.02488135236621463,693878.0,2.9402306442304397e-119,0.024903135440248025,0.024952784508485776,0.022946804569889415,0.027004025698297855,0.8118764999816126,W,1,1,0.06565790589267423,0.02654145474598798,0.03911645114668625,729957.0,3.752297000896206e-153,0.039116451146686264,0.039034331966108025,0.03623127976979765,0.04158408677584727,1.0270133029919717,W,1,1,0.0683275038308655,0.014474110584971346,0.05385339324589415,758566.0,4.492085803071256e-183,0.05385339324589415,0.05385994597473004,0.05094697064465087,0.05666025582422046,1.4345090939324643,W,1,1,0.020002047506044725,0.0057669487255730964,0.01423509878047163,748837.0,1.3496481743475655e-172,0.014235098780471628,0.014223004411787674,0.013309668223074441,0.015127726892954893,1.067669136262881,W,1,1,0.022671645444235992,-0.006300395435443532,0.028972040879679525,783176.0,5.719141191976905e-211,0.02897204087967952,0.028949011014299208,0.027429252700430364,0.03040786389607644,1.6653065080752318,W,1,1,0.0026695979381912657,-0.01206734416101663,0.014736942099207895,693932.0,2.63543359900875e-119,0.014739252007912776,0.014752396904521972,0.013552137905647209,0.01593444011574535,0.8496255205196195,W,1,10,1,W
MCG-02-51-004,NE,NE,SW,1,0.17122806033919946,0.1780077224641943,-0.00677966212499484,332584.0,0.04630640404451923,0.008960169419167649,0.010136080390405035,0.00514082992099498,0.01687302548145759,0.10137101226949807,NE,1,1,0.19091673940241383,0.21128940665190016,-0.02037266724948633,303299.0,7.779194727762572e-07,0.02123712231050227,0.021445512147214473,0.013579930725258371,0.02945755711941159,0.24066734489090347,NE,1,1,0.17877523939876838,0.20685242531406597,-0.028077185915297592,292216.0,1.390317104646013e-09,0.02887986511119913,0.028921491030911982,0.02041908995241753,0.03752516957633874,0.19526355805711648,NE,1,1,0.19068239080535004,0.22087134366031166,-0.03018895285496162,281941.0,1.3312554664086117e-12,0.031180458434991364,0.031198940574159128,0.02323719952518284,0.04006375693895938,0.23593081782959213,NE,1,1,0.01968867906321431,0.03328168418770588,-0.013593005124491568,171930.0,9.547893694587177e-74,0.01359300512449157,0.013598747895711107,0.012149731451744002,0.015134386140458634,0.59589171656573,NE,1,1,0.007547179059568888,0.028844702849871673,-0.021297523790302784,160592.0,4.626574873056937e-83,0.021297560143682833,0.021265774347156766,0.01914475324506593,0.023299833942483684,0.9873246802040139,NE,1,1,0.019454330466150544,0.04286362119611734,-0.023409290729966798,143102.0,1.5477167448604472e-98,0.023409290729966805,0.023424729751776178,0.02141655313736785,0.025550822247977972,0.9532110088184323,NE,1,1,-0.012141500003645419,-0.004436981337834203,-0.007704518665811216,229275.0,2.8475590032866554e-35,0.0077599892353834125,0.007771402740626818,0.006592275261948068,0.008903806909137625,0.42601371088170403,NE,1,1,-0.00023434859706376196,0.009581937008411473,-0.009816285605475235,201772.0,6.316251531687899e-52,0.009816285605475237,0.009804794901804867,0.008507902144770246,0.011114646486042143,0.3700843693192583,NE,1,1,0.011907151406581657,0.014018918346245676,-0.0021117669396640195,314969.0,0.0001659092653561589,0.002286577003068369,0.002497528574833777,0.0015410375559948312,0.003663567853734926,0.05687903464013817,NE,1,10,1,NE
NGC1035,NE,NE,SW,1,-0.011159305651942848,-0.014962090787965303,0.003802785136022455,1999959.0,0.7013028222794468,0.014940842355426205,0.015379629934604193,0.011602665627268216,0.019867983712389407,0.17089816315915612,SW,-1,1,0.04124899291587555,0.06090503303608442,-0.01965604012020887,1760612.0,5.471950211742859e-10,0.028594679977682926,0.02891328693198117,0.02316757234210518,0.03459480080706088,0.16291597123978932,NE,1,1,0.03657054761641128,0.07932863100984214,-0.04275808339343086,1545925.0,8.834894398569066e-34,0.05068061763495094,0.05093360555431639,0.043699374317980884,0.058117223959171606,0.15127351388374816,NE,1,1,0.01754424469943908,0.07773964981330773,-0.06019540511386866,1402413.0,4.4807637226882565e-58,0.06638834987774031,0.06640865853355644,0.059101669383032275,0.07334498650634423,0.2581684474265152,NE,1,1,0.05240829856781839,0.07586712382404973,-0.023458825256231337,1226069.0,3.569828857196578e-97,0.023939201223750307,0.023988654814345776,0.02198605109867485,0.025974821140664458,0.5746065481266636,NE,1,1,0.047729853268354126,0.09429072179780744,-0.04656086852945331,955068.0,3.651104927005173e-177,0.04815232371493294,0.04820166798860402,0.04542351038303824,0.05090842816104419,1.2804222306836124,NE,1,1,0.028703550351381935,0.09270174060127305,-0.06399819024989112,945708.0,2.336310673019872e-180,0.0646540776413701,0.06475494092076327,0.061111911879024663,0.06903510795049204,1.3781040889828848,NE,1,1,-0.004678445299464259,0.018423597973757706,-0.023102043273221965,968518.0,1.263346377558759e-172,0.02372202144407615,0.023742406443658878,0.022351916005125337,0.025136299550294082,0.9470072994371181,NE,1,1,-0.02370474821643645,0.01683461677722332,-0.040539364993659774,988321.0,4.746932295587025e-166,0.04062010344869446,0.040664853735723504,0.03805686721271999,0.043265329188559035,0.9330972855176277,NE,1,1,-0.01902630291697219,-0.001588981196534387,-0.017437321720437805,1426399.0,1.5185437115396108e-53,0.017450821444997246,0.017432410971428506,0.015361119537468923,0.01959228058457429,0.20065953050853413,NE,1,8,1,NE
NGC1056,SW,E,W,1,0.04399625918106684,0.039323767472496086,0.0046724917085707515,303191.0,0.4395178144343326,0.006906789390896456,0.008466126898436479,0.005880992306264768,0.011654728412478164,0.16864124761364147,W,1,1,0.08706236608283426,0.05685318770298368,0.030209178379850578,402570.0,4.935322067853677e-34,0.03049562323094939,0.031219022839189856,0.02521942992012247,0.03869275354496368,0.3568109110711706,W,1,1,0.11199735129355565,0.07031776834146378,0.04167958295209187,427678.0,4.028574976607073e-51,0.04182651648364984,0.04245071644989997,0.03395118199875823,0.05162640393710303,0.5150422102255929,W,1,1,0.12420321264685769,0.0687223721373853,0.055480840509472384,458804.0,2.821482143387189e-77,0.05549668269644035,0.0560007949824897,0.0465295816297922,0.06693390624406927,0.7670152009069959,W,1,1,0.043066106901767424,0.017529420230487598,0.025536686671279826,508235.0,3.875434060629951e-130,0.025549130846410945,0.025583783713144976,0.022240550050944028,0.029058273829481403,1.4653550157407453,W,1,1,0.0680010921124888,0.030994000868967687,0.03700709124352111,490032.0,4.705928243857013e-109,0.037020204581079505,0.03711869404089522,0.031774459965148015,0.04293581745091453,1.4966701384629482,W,1,1,0.08020695346579085,0.029398604664889205,0.05080834880090164,506308.0,8.121444873600461e-128,0.050808745826896415,0.050785417612903345,0.044311622394403165,0.057670116047547806,1.710885544658746,W,1,1,0.02493498521072139,0.013464580638480085,0.011470404572241306,451317.0,1.7569464017701147e-70,0.011470404572241306,0.011450460092167207,0.009085933417545102,0.013872580966331517,0.7089910946805245,W,1,1,0.03714084656402343,0.011869184434401608,0.02527166212962182,499405.0,1.1262147111579825e-119,0.025271662129621824,0.02526713762587581,0.022134740065226775,0.02857191473329588,1.4202998134037843,W,1,1,0.012205861353302039,-0.0015953962040784787,0.013801257557380518,536181.0,3.520324700111145e-166,0.013801257557380516,0.01382168442415614,0.012774520786025095,0.014842332471144502,1.5985886215843708,W,1,10,1,W
NGC1084,SE,NW,SE,1,-0.002172593144665599,0.011979157684432366,-0.014151750829097965,1176244.0,5.0125105337234e-26,0.014151750829097963,0.014239508357940722,0.011714621896908103,0.017098058236515248,0.15007414217916498,NW,-1,1,0.023749883019931226,0.040073984197818685,-0.01632410117788746,1249663.0,9.199765221059374e-16,0.016324101177887466,0.016376919728191854,0.012991960281464609,0.019770202606571086,0.20771603109191442,NW,-1,1,0.02327176494968507,0.03801849393167662,-0.014746728981991548,1319237.0,1.5621360983384963e-08,0.014746728981991555,0.0147918222328879,0.010873594350226973,0.018917220966403383,0.0940058196687747,NW,-1,1,0.038250776296006955,0.048244536868409606,-0.00999376057240265,1391486.0,0.0014702153309297456,0.010569752418471568,0.01115182665673311,0.008526725889187419,0.014229953053722844,0.08424685220083686,NW,-1,1,0.02592247616459683,0.028094826513386326,-0.0021723503487894973,1352451.0,6.265838011203111e-06,0.0030649605181170855,0.0031329705605976344,0.0023551669168577287,0.003995347232157171,0.08691442815976201,NW,-1,1,0.02544435809435067,0.02603933624724426,-0.0005949781528935896,1493508.0,0.7541969231939062,0.0026156376345601003,0.002818144251671434,0.0020411180359298296,0.0038594120039982254,0.10626191776984156,NW,-1,1,0.040423369440672555,0.036265379183977244,0.004157990256695311,1598593.0,9.167021722057891e-05,0.004351753961576785,0.004581140089441199,0.00316461515969598,0.006191564395641604,0.08539929908691063,SE,1,1,-0.00047811807024615365,-0.002055490266142065,0.0015773721958959115,1600083.0,7.411714390505669e-05,0.001737441346892165,0.0017938032973437985,0.001021602338789344,0.002688129704067877,0.039984208062072576,SE,1,1,0.014500893276075734,0.00817055267059092,0.006330340605484814,1836068.0,2.092425118268404e-33,0.0063351025358031315,0.006315681679668457,0.0052983289457288205,0.007346657680311158,0.12170968218656664,SE,1,1,0.014979011346321887,0.010226042936732986,0.004752968409588901,2009392.0,2.8430364759269364e-72,0.004752968409588902,0.004761562172948071,0.004260033875716569,0.005243860795026741,0.23475134216649943,SE,1,-2,-1,NW
NGC1093,N,N,S,1,0.1806173658184662,0.18585945867395776,-0.0052420928554915425,220905.0,0.11938297170554406,0.007037436690092876,0.008819341499914543,0.005132320152037496,0.014482676355421675,0.16766252965813644,N,1,1,0.19905275341239442,0.20859617022523366,-0.00954341681283924,212026.0,0.005445969082467662,0.011073662851918012,0.012259085794795344,0.006557539367279223,0.01865661155424053,0.1870281493848592,N,1,1,0.19369159143598774,0.20549352405424054,-0.011801932618252797,209395.0,0.0016808094654173972,0.013506067509769504,0.014674221304470205,0.00848236209341179,0.021746226510997377,0.2319890583803459,N,1,1,0.1916824448564151,0.20497481281516675,-0.013292367958751633,206764.0,0.00045898828330709113,0.014797421341042411,0.01572065437842201,0.009031869351485573,0.02290885372421696,0.16857032615576323,N,1,1,0.0184353875939282,0.022736711551275938,-0.0043013239573477385,204349.0,0.00012505693134569473,0.0043013465244481405,0.004378883829216651,0.002930549455135429,0.0059613620743148065,0.12185287028516303,N,1,1,0.013074225617521515,0.019634065380282763,-0.006559839762761248,177014.5,3.005518783416971e-14,0.006559839762761248,0.0065741815805931145,0.004886129401656345,0.008292395140979245,0.3290987126490503,N,1,1,0.011065079037948872,0.01911535414120896,-0.008050275103260087,175179.0,4.137066139969689e-15,0.008050298992275069,0.008088033027208251,0.006157010809335669,0.010024009907265418,0.34158841617503155,N,1,1,-0.005361161976406686,-0.003102646170993172,-0.002258515805413514,208949.0,0.0013605577029439783,0.002281203041176312,0.0023346978341620838,0.0014787388769681327,0.003304204260440898,0.07771250010378253,N,1,1,-0.00737030855597933,-0.0036213574100669756,-0.0037489511459123546,190403.0,8.643519798295408e-09,0.0037537347440484725,0.0038455472796341205,0.00263317504964827,0.005113915676004889,0.08319884261951291,N,1,1,-0.0020091465795726445,-0.0005187112390738021,-0.0014904353404988423,210613.0,0.0029406808124400464,0.0014905675910550137,0.0015732329090894664,0.0007483615470496852,0.0024455083555294074,0.017195549294208225,N,1,10,1,N
