name,paper_label,pos_label,neg_label,u-g_is_valid,u-g_pos_mean,u-g_neg_mean,u-g_mean_diff,u-g_mannwhitneyu_stat,u-g_mannwhitneyu_pval,u-g_wasserstein_distance,u-g_mean_wasserstein_distance,u-g_wasserstein_distance_confidence_interval_lower,u-g_wasserstein_distance_confidence_interval_lower,u-g_laplace_smoothed_kld,u-g_label,u-g_score,u-r_is_valid,u-r_pos_mean,u-r_neg_mean,u-r_mean_diff,u-r_mannwhitneyu_stat,u-r_mannwhitneyu_pval,u-r_wasserstein_distance,u-r_mean_wasserstein_distance,u-r_wasserstein_distance_confidence_interval_lower,u-r_wasserstein_distance_confidence_interval_lower,u-r_laplace_smoothed_kld,u-r_label,u-r_score,u-i_is_valid,u-i_pos_mean,u-i_neg_mean,u-i_mean_diff,u-i_mannwhitneyu_stat,u-i_mannwhitneyu_pval,u-i_wasserstein_distance,u-i_mean_wasserstein_distance,u-i_wasserstein_distance_confidence_interval_lower,u-i_wasserstein_distance_confidence_interval_lower,u-i_laplace_smoothed_kld,u-i_label,u-i_score,u-z_is_valid,u-z_pos_mean,u-z_neg_mean,u-z_mean_diff,u-z_mannwhitneyu_stat,u-z_mannwhitneyu_pval,u-z_wasserstein_distance,u-z_mean_wasserstein_distance,u-z_wasserstein_distance_confidence_interval_lower,u-z_wasserstein_distance_confidence_interval_lower,u-z_laplace_smoothed_kld,u-z_label,u-z_score,g-r_is_valid,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_is_valid,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_is_valid,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_is_valid,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_is_valid,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_is_valid,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC750,SE,NW,SE,1,-0.03231659496645692,-0.03353220694230194,0.0012156119758450212,1196920.0,1.939273850189026e-11,0.016817836212880882,0.017125383553960937,0.01473659932674573,0.019571891231988436,0.23308460258176242,SE,1,1,-0.003980337868434817,5.49402235210697e-05,-0.004035278091955886,981113.0,0.0037739769428176174,0.014361156176721205,0.014794666404933595,0.011377652803883047,0.018862741874947266,0.13650129930509303,NW,-1,1,0.011906285898152404,0.013317858041954992,-0.0014115721438025877,948672.0,1.4207532458164458e-05,0.01684514275120761,0.017443111106708067,0.013135373445569358,0.021758247167906856,0.1966333369547752,NW,-1,1,0.01716181976395342,0.010240997806909995,0.006920821957043424,1022990.0,0.3019632485967716,0.021431670860054552,0.021492807186103347,0.016808709994148817,0.026763671844576998,0.18731178029721485,SE,1,1,0.0283362570980221,0.033587147165823006,-0.005250890067800905,923005.0,4.1760373280287604e-08,0.007842544705729333,0.007805807560672069,0.005694896827361744,0.00995988275426898,0.13019804916282846,NW,-1,1,0.04422288086460933,0.04685006498425692,-0.002627184119647595,979722.0,0.0030925691857023076,0.00713538688044034,0.007658687020690104,0.006086305527384591,0.009738446298967479,0.21063517124484052,NW,-1,1,0.04947841473041034,0.04377320474921193,0.00570520998119841,1078808.0,0.14634604374593574,0.010586328691989343,0.0109784580510984,0.009049204731315362,0.013150264022048795,0.16700912539024018,SE,1,1,0.015886623766587216,0.013262917818433922,0.002623705948153294,1096593.0,0.024813728532116296,0.002801829378982097,0.002868850728333064,0.00207706869001193,0.0037704653253708403,0.11149421614752726,SE,1,1,0.021142157632388234,0.010186057583388928,0.010956100048999306,1266996.0,8.355225052353177e-23,0.010988087758911587,0.010997489365675076,0.009157700967743744,0.012868979704329183,0.21366552775339442,SE,1,1,0.005255533865801016,-0.0030768602350449946,0.00833239410084601,1434083.0,8.157548441433621e-67,0.008367384226421928,0.008415925178931293,0.007436250556344962,0.009419807475703913,0.26594727819826425,SE,1,2,1,SE
NGC1309,SW,E,W,1,0.053503664815058666,0.06442584844820494,-0.010922183633146273,1206014.0,2.4600426943142234e-10,0.010922183633146273,0.010953354448055586,0.00819666133745248,0.013607231698949904,0.09102317447336362,E,-1,1,0.06890562280354953,0.08447577272328842,-0.015570149919738888,1142844.0,7.127744912182609e-18,0.015570149919738888,0.015659455859816793,0.012279889167382698,0.018899035000453892,0.12279282014234424,E,-1,1,0.07645750518690314,0.09496942732556148,-0.018511922138658335,1109845.0,1.064869156541249e-22,0.01851192213865835,0.018453093071672384,0.015030461922099066,0.022061693359634756,0.18951589002598376,E,-1,1,0.08075937027387992,0.09623583913430156,-0.015476468860421644,1159618.0,1.180056740036497e-15,0.015476468860421633,0.01554392151102375,0.012388358274589607,0.018826353800417563,0.09116647490658462,E,-1,1,0.015401957988490868,0.02004992427508348,-0.004647966286592612,1062723.5,1.1899772126548477e-30,0.004647966286592618,0.004666342789069951,0.003893606614611005,0.005455365290370094,0.11133867528155225,E,-1,1,0.02295384037184446,0.030543578877356543,-0.007589738505512082,961690.0,6.420422671409735e-52,0.0075897385055120805,0.007552435172125035,0.006599643817068976,0.008497846252468591,0.18470235826496137,E,-1,1,0.027255705458821257,0.03180999068609662,-0.004554285227275363,1154025.5,2.236664455121304e-16,0.004703443752563971,0.004713945089427884,0.0036956436823498634,0.005814849645284516,0.0665512439279016,E,-1,1,0.0075518823833535965,0.01049365460227306,-0.002941772218919463,1028559.0,3.374923807236236e-37,0.002941772218919463,0.002940294634430839,0.0025636239280813545,0.0033270682005663585,0.27442885681085566,E,-1,1,0.011853747470330389,0.011760066411013135,9.36810593172542e-05,1415207.5,0.21792490399010978,0.0006486038616591007,0.0007369810867922817,0.0004900865070868958,0.0010309888888781018,0.026410061469081314,W,1,1,0.004301865086976796,0.0012664118087400771,0.003035453278236719,1773754.0,1.024035246678459e-45,0.003036262196997566,0.0030283631577376715,0.002634246756001549,0.003424720068571678,0.16097684224838088,W,1,-6,-1,E
NGC1324,SW,NE,SW,1,0.10455894305061053,0.09368321494019334,0.01087572811041719,1415987.0,1.5056358416503015e-20,0.010938896609884657,0.010987748795213383,0.008774915859269384,0.013203453872322135,0.09131218221807913,SW,1,1,0.1174056420860892,0.09410161875096806,0.023304023335121132,1630715.0,2.3235679590519834e-72,0.02330402333512113,0.02331427033166805,0.02082852822234679,0.025763862182801293,0.30337446049386757,SW,1,1,0.12456925133280121,0.09254488566216203,0.03202436567063918,1753946.0,7.095997218577459e-117,0.03202436567063917,0.03200244725365256,0.029268612354737735,0.03451703212332116,0.5320067482494788,SW,1,1,0.12959268557515646,0.09044544493079537,0.03914724064436109,1843408.0,5.871119225265276e-156,0.03914724064436112,0.03921660322281154,0.036540068798791035,0.04182258194799626,0.6954994467195225,SW,1,1,0.012846699035478635,0.00041840381077471204,0.012428295224703923,2156989.0,0.0,0.012428295224703925,0.01242717817783976,0.01189397585639657,0.012957775768506898,1.608598241419669,SW,1,1,0.020010308282190668,-0.0011383292780313033,0.02114863756022197,2223426.0,0.0,0.021148637560221967,0.02113711324789265,0.02030104051973657,0.02197627975780048,2.25304873468151,SW,1,1,0.02503374252454594,-0.0032377700093979807,0.02827151253394392,2211736.0,0.0,0.028271512533943922,0.028288478149033038,0.027114250651930627,0.02951857969150636,2.0678762990676867,SW,1,1,0.007163609246712031,-0.0015567330888060149,0.008720342335518046,2150971.0,0.0,0.008720342335518045,0.008715821783546029,0.00830477736239254,0.009124178557907927,1.4291523803402577,SW,1,1,0.012187043489067304,-0.003656173820172693,0.015843217309239998,2139576.0,0.0,0.015843217309239998,0.015849999844836253,0.015061880928885605,0.016694295006927325,1.4645514975892502,SW,1,1,0.005023434242355272,-0.0020994407313666783,0.007122874973721951,1903874.0,1.344320112020593e-185,0.007127182010751814,0.007136725966865985,0.00666760455206534,0.007634772344486461,0.6384780475187972,SW,1,10,1,SW
NGC2268,S,NW,SE,1,0.03932185186329631,0.04566300405101652,-0.00634115218772021,976273.0,0.010523119235494099,0.006346168597488149,0.006571358628552597,0.004581962844307347,0.008972193377212296,0.13479992734520774,NW,-1,1,0.05293474767126586,0.049769946020731294,0.0031648016505345655,1113650.0,0.0003004710947283698,0.008413552907068637,0.00853214751096044,0.0066432340589910625,0.010538971540380743,0.14963401974263818,SE,1,1,0.06008356559575184,0.05130241993434398,0.008781145661407863,1191967.0,9.74244993818917e-13,0.013659152092321717,0.013746208025219912,0.011509439727506073,0.01593323109511724,0.18670645184208615,SE,1,1,0.06300640234095885,0.05187128666211633,0.011135115678842518,1233538.0,2.214294950921896e-19,0.016439029416797517,0.016483713190217124,0.014198020047344969,0.018701695803144985,0.1911509437537146,SE,1,1,0.01361289580796956,0.004106941969714782,0.009505953838254777,1547241.0,4.797181750018695e-118,0.009505953838254776,0.009495311495987166,0.008696769871219954,0.010333534081340995,0.5317091237495586,SE,1,1,0.020761713732455535,0.005639415883327465,0.01512229784912807,1593292.0,9.027368011426406e-140,0.015122297849128071,0.015148045267966608,0.013686524071890799,0.016418893916360047,0.8156748162789088,SE,1,1,0.023684550477662537,0.006208282611099807,0.017476267866562728,1616388.0,2.2934322237167146e-151,0.01747626786656273,0.017477886033627647,0.015910570109436663,0.019095899106221493,0.8139152522824232,SE,1,1,0.007148817924485977,0.0015324739136126822,0.005616344010873295,1560241.0,5.445751083112602e-124,0.005616344010873296,0.0056487011787414955,0.004985845001818026,0.006335325948583724,0.5172665313580858,SE,1,1,0.010071654669692981,0.002101340641385025,0.007970314028307956,1563087.0,2.599186937694514e-125,0.008123550646206245,0.00820153952557789,0.007310299999126005,0.009238535951725647,0.5077638022142812,SE,1,1,0.0029228367452070023,0.0005688667277723432,0.002353970017434659,1326448.0,1.1895010907879756e-39,0.002592143922213219,0.0026261605373941203,0.0022449132016334693,0.002990713841404206,0.16035638005992836,SE,1,8,1,SE
NGC2713,N,NE,SW,1,0.03572414509326231,0.05270622674396214,-0.016982081650699823,788073.0,4.34186435482011e-74,0.01698208165069983,0.017004735082205145,0.01549123544384199,0.018577307586166453,0.3395444589667647,NE,1,1,0.04530926161995778,0.07490050850287708,-0.029591246882919295,715227.0,3.1992319794793864e-98,0.029591246882919277,0.029576041091976157,0.0270338480921815,0.032202158949002094,0.383334656348352,NE,1,1,0.04732781512992703,0.08234305435312113,-0.0350152392231941,710577.0,7.034226864467432e-100,0.03501523922319409,0.03503267859990888,0.032221499955286996,0.03772495961735652,0.372764391726472,NE,1,1,0.05193363818732333,0.08931288644622386,-0.03737924825890053,743865.0,2.5387085823762616e-88,0.03737924825890054,0.03737098359925295,0.034069230392173806,0.04040813713033263,0.2714405900700531,NE,1,1,0.009585116526695477,0.022194281758914927,-0.01260916523221945,745002.0,6.118204750461081e-88,0.01260916523221945,0.012640882659842326,0.011468963739824579,0.01388418040463407,0.5299512577772508,NE,1,1,0.011603670036664718,0.029636827609158985,-0.01803315757249427,764878.0,2.1310147849014004e-81,0.018033157572494265,0.01808422541731526,0.016431863115311817,0.019784787015397747,0.5294462355968771,NE,1,1,0.01620949309406101,0.03660665970226172,-0.02039716660820071,826207.0,7.81677492553341e-63,0.02039716660820071,0.02040871873167417,0.01811800907446515,0.02284910732195009,0.516112754647647,NE,1,1,0.00201855350996924,0.007442545850244057,-0.005423992340274816,811790.0,5.6115685638668e-67,0.005423992340274817,0.005419423173169605,0.004865312067891483,0.005999864311964553,0.304137417438131,NE,1,1,0.00662437656736553,0.01441237794334679,-0.00778800137598126,914633.0,2.251282963353297e-40,0.007788001375981259,0.007767743845160311,0.006693471680704876,0.008842386279946718,0.2581279462630683,NE,1,1,0.00460582305739629,0.0069698320931027334,-0.0023640090357064433,1038837.0,2.1378987695128115e-17,0.0023640090357064433,0.0023653720456355983,0.0018177704439778775,0.002935704109105783,0.0823397515454851,NE,1,10,1,NE
NGC3003,N,N,S,1,-0.016926586138037308,-0.02410089379432695,0.007174307656289642,3361939.0,4.876542713562276e-41,0.01109083389519254,0.011137555850592338,0.009934864811139981,0.012345830085289264,0.21784131300019194,S,-1,1,-0.024483231808558138,-0.0320992807127715,0.007616048904213364,3222704.0,2.3242019968479717e-25,0.01082282926259399,0.010848717400784583,0.009114422339618893,0.01272575324868223,0.14138846693820412,S,-1,1,-0.05165820834801958,-0.05569222422439342,0.0040340158763738365,3006203.0,1.0274747543587018e-08,0.010898362453569871,0.010991152788776304,0.008798685079729227,0.013443952917911495,0.09040520243275321,S,-1,1,-0.0745877982714942,-0.06945979685777197,-0.00512800141372223,2724369.0,0.7142505229597724,0.007006874236845673,0.007603424716915651,0.005484991391169143,0.010207648023230447,0.055673330157872736,N,1,1,-0.007556645670520829,-0.007998386918444558,0.0004417412479237291,2708415.0,0.4770684623124539,0.0012563610709561076,0.0013867233313364109,0.0010312206419966414,0.001764938077447724,0.044321516849786614,S,-1,1,-0.03473162220998227,-0.03159133043006648,-0.003140291779915788,2601945.0,0.0025906316988429695,0.003522048571476875,0.003683723510157705,0.002307647177372618,0.005274838498386149,0.13377061302949386,N,1,1,-0.0576612121334569,-0.04535890306344502,-0.012302309070011883,2230302.0,2.2863074131718745e-28,0.01247930048547046,0.012473272790237275,0.0101780311653522,0.01472328401993777,0.10351408448110207,N,1,1,-0.027174976539461444,-0.02359294351162192,-0.003582033027839524,2562424.0,0.00011024527095249158,0.003592070730326149,0.0036123308561545383,0.002463722707454336,0.004842782447581013,0.1635419705141704,N,1,1,-0.05010456646293607,-0.037360516145000466,-0.012744050317935601,2054484.0,7.294899444730353e-50,0.012776638953121495,0.012800177427859716,0.011178176297365235,0.014457405861587629,0.23398407634645504,N,1,1,-0.022929589923474627,-0.013767572633378545,-0.009162017290096082,1967013.0,6.968739445323248e-63,0.009255512743355595,0.009257036150480128,0.008186109858390762,0.010330273394431778,0.19523928559866927,N,1,2,1,N
NGC3185,SW,NE,SW,1,0.010243853623469598,0.00671508078465079,0.003528772838818808,2739639.0,1.7066481658876099e-15,0.003528772838818808,0.003520353754434334,0.0027105191519362862,0.004425514374041811,0.07727108754167566,SW,1,1,0.014181545687736856,0.008592103361109656,0.005589442326627199,2916373.0,4.251644470498435e-34,0.005589442326627201,0.005612122479389995,0.0043772810658057265,0.007052908210718764,0.1505869879688773,SW,1,1,0.014552324016281506,0.006537882545212475,0.008014441471069032,3002822.0,5.518502766647166e-46,0.008014441471069028,0.00800665720512584,0.0063493323042826825,0.009840240294375314,0.16485234104350308,SW,1,1,0.014785249351189047,0.005563205791490808,0.009222043559698238,3054873.0,5.006197939670247e-54,0.009222043559698238,0.00926513270781453,0.007440921471607484,0.01131915054346674,0.20779371505873853,SW,1,1,0.003937692064267258,0.0018770225764588664,0.002060669487808391,2979657.0,1.2792609836428283e-42,0.002060669487808393,0.0020839866528284726,0.0014857216252248332,0.002804296601098836,0.1899894348661463,SW,1,1,0.004308470392811908,-0.00017719823943831409,0.004485668632250222,3293802.0,1.7063608296741406e-99,0.004485668632250219,0.004511420966694033,0.003468960110428142,0.005664909283662776,0.3162507541651508,SW,1,1,0.00454139572771945,-0.0011518749931599807,0.005693270720879431,3243644.0,8.756381091508446e-89,0.005693270720879429,0.00570304904769265,0.0043884469835992505,0.007027759522911083,0.3166239011156529,SW,1,1,0.000370778328544649,-0.0020542208158971804,0.0024249991444418293,3223151.0,1.3801790075563618e-84,0.0024249991444418293,0.002415370605583508,0.0019630637284838107,0.002920792910122726,0.2569419956107657,SW,1,1,0.000603703663452191,-0.0030288975696188465,0.0036326012330710374,3181553.0,2.2007537280415506e-76,0.003632601233071037,0.0036111507444408675,0.0029407602269803266,0.004352226626603884,0.3078896421237449,SW,1,1,0.0002329253349075421,-0.0009746767537216666,0.0012076020886292087,2731479.0,8.071528818536694e-15,0.0012076020886292087,0.001216095971180212,0.0009383462435798439,0.001533987908760741,0.11724451205704416,SW,1,10,1,SW
NGC3370,NE,NE,SW,1,0.0792727761730009,0.05998365337770602,0.019289122795294877,2588139.0,2.7189137086957913e-50,0.019528093391015938,0.01951281585573271,0.016898862821922652,0.022214487512193903,0.20256496100018026,SW,-1,1,0.09141249654338961,0.07386412658401868,0.017548369959370924,2450493.0,4.360829892735677e-29,0.0197059321865595,0.019687179338735008,0.01670945232938702,0.02289367363042386,0.20669141742018884,SW,-1,1,0.09940701614569891,0.08326083121042853,0.016146184935270383,2375716.0,4.5671865438097244e-20,0.01937894180196749,0.019491588696369987,0.016192030785957143,0.022973667271617627,0.2169305683446619,SW,-1,1,0.09561426880524652,0.08398406139679214,0.011630207408454385,2276184.0,8.890549680693407e-11,0.017179360756516764,0.017265789911592527,0.01403850793565542,0.020700341080947947,0.18903426484620323,SW,-1,1,0.01213972037038871,0.01388047320631266,-0.0017407528359239498,1964096.0,0.05153390746393301,0.0036287011524503004,0.003653220334976834,0.003069313051155118,0.004268645073267949,0.40308551822743494,NE,1,1,0.02013423997269802,0.023277177832722505,-0.003142937860024484,1923214.0,0.002276832772492791,0.005104139708489635,0.005240255361934589,0.004485132315849908,0.005973743897724817,0.6551623636073695,NE,1,1,0.016341492632245627,0.024000408019086122,-0.007658915386840496,1769296.0,5.597061129265467e-13,0.007904900406646065,0.008018799682663006,0.006985798529068883,0.009323658109808236,0.6540174253249835,NE,1,1,0.00799451960230931,0.009396704626409845,-0.0014021850241005343,1822734.0,8.107397202272434e-09,0.0016300245636280079,0.0017297491301642017,0.0014431622640220787,0.0020403710304740786,0.28367730114689627,NE,1,1,0.004201772261856918,0.010119934812773458,-0.00591816255091654,1547569.0,8.727776679099921e-40,0.00591816255091654,0.005913119825084419,0.005164048752416243,0.006606947143528958,0.6464743341941774,NE,1,1,-0.0037927473404523915,0.0007232301863636144,-0.004515977526816006,1323867.0,1.5790685854391082e-82,0.004515977526816007,0.0045232125407782525,0.004104366308894801,0.004952181737073932,0.47693670077432493,NE,1,2,1,NE
NGC3430,NW,W,E,1,0.06627303009514644,0.07220512192492069,-0.00593209182977425,4275487.0,0.41025446013824696,0.006443165940286698,0.007003457300377179,0.005352798408662005,0.00866087207427758,0.04963361193580317,W,1,1,0.07629714170484975,0.08755522559654026,-0.011258083891690515,4095795.0,0.0003425406026825384,0.01127517747533567,0.011422754824421523,0.008521824406556496,0.014578632277372239,0.050889843147214606,W,1,1,0.07939284043237785,0.09304089132223407,-0.013648050889856225,4039424.0,8.756130456736978e-06,0.013678354472174737,0.013756369035300212,0.010731257796818312,0.016928928536623353,0.04960536618656264,W,1,1,0.07562760390066332,0.09211761961841668,-0.016490015717753354,3923650.0,4.897599780854945e-10,0.016490015717753336,0.01640565763411584,0.013160435001493841,0.019920454169691893,0.08358097286759233,W,1,1,0.010024111609703292,0.015350103671619559,-0.005325992061916267,3542608.0,1.5324027070012693e-33,0.005326377474627376,0.0053227647781047315,0.004562776802335001,0.0060772882654518984,0.1366397272359673,W,1,1,0.013119810337231393,0.02083576939731339,-0.007715959060081998,3537505.0,5.899569239211765e-34,0.007715959060082005,0.007716013823939247,0.006698479644389601,0.008766227157197557,0.14634528368091296,W,1,1,0.009354573805516882,0.019912497693495977,-0.010557923887979095,3297239.0,1.7968986535824225e-56,0.010557923887979095,0.010561620896787595,0.009362517628382765,0.01172308814632937,0.2833453254978018,W,1,1,0.0030956987275280986,0.0054856657256938356,-0.002389966998165737,3674947.0,1.0304939043221897e-23,0.00239096305917011,0.0023964425052911066,0.0020084685044921753,0.002782899220548746,0.054641604948592305,W,1,1,-0.0006695378041864104,0.0045623940218764165,-0.005231931826062827,3296914.0,1.6599190901097005e-56,0.005231931826062828,0.005225600224661574,0.004640788204787341,0.005807724916218096,0.11644307611518767,W,1,1,-0.0037652365317145087,-0.0009232717038174182,-0.0028419648278970905,3612654.0,4.059118501753549e-28,0.002841964827897091,0.0028451893831725706,0.0023925060454215133,0.003317106259057456,0.07554576518578808,W,1,10,1,W
NGC3726,W,NW,SE,1,0.002088853597535523,0.0033595226979883084,-0.0012706691004527853,7456810.0,4.767665264238755e-40,0.0013893919103654606,0.0014119209706355787,0.0012031569296787684,0.001616427144718366,0.07009413274143854,NW,1,1,-0.00498111409027325,-0.0023932604475810485,-0.0025878536426922013,7263188.0,1.1532474112516407e-50,0.0026245766258628225,0.002645993021693275,0.00217976990964769,0.0031221258212955666,0.09179559064817275,NW,1,1,-0.00963715894267606,-0.006576495007957296,-0.003060663934718764,7356959.0,2.3113120659009307e-45,0.0031202755659891276,0.0031450831186739894,0.0024685763493875407,0.0038511729955645418,0.10628885677102082,NW,1,1,-0.017833267191535614,-0.01563035687192257,-0.0022029103196130433,8005050.0,6.063574596878117e-17,0.0022398832480665363,0.002281163758060255,0.0016182487031099954,0.0029369993730002496,0.05730382038194021,NW,1,1,-0.007069967687808773,-0.005752783145569356,-0.0013171845422394173,7323426.0,3.1803717651289206e-47,0.0013255701975350546,0.0013327861696630602,0.0010268019037697584,0.0016350215827379462,0.12666318499161092,NW,1,1,-0.011726012540211585,-0.009936017705945604,-0.0017899948342659806,7450568.0,2.2703385668717927e-40,0.0018069545155372014,0.001817108732900715,0.0013021038235143314,0.002342722240735085,0.11596639168614378,NW,1,1,-0.01992212078907114,-0.01898987956991088,-0.0009322412191602597,8478355.0,3.3338938946256525e-05,0.0009340873931671467,0.0009702991807988306,0.0005330316584381686,0.0015162314832509825,0.027799861793851542,NW,1,1,-0.004656044852402811,-0.004183234560376248,-0.00047281029202656324,8084490.0,1.909229064284259e-14,0.0005564114048457825,0.0005853836999941301,0.00043257787584324744,0.0007582797747993712,0.05496410156482583,NW,1,1,-0.012852153101262363,-0.01323709642434152,0.0003849433230791576,9303853.0,0.0013676943739209674,0.0005521825087232003,0.0005795479018124448,0.00033599163600727284,0.0008814093733662197,0.02973495168085091,SE,-1,1,-0.008196108248859553,-0.009053861863965276,0.0008577536151057226,10039491.0,1.809120022504577e-22,0.0009398894160073379,0.0009509370579855227,0.0007719532149665809,0.0011380182897823823,0.07294616686553489,SE,-1,6,1,NW
