name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC750,SE,NW,SE,0.04046656440968836,0.03655375203016728,0.003912812379521083,341644.0,0.007763835159950991,0.0074414196658567,0.007796756280869889,0.00531112682614468,0.010662511160095747,inf,SE,1,0.06534839609039811,0.0510294260276212,0.014318970062776909,369310.0,1.3794079880835233e-08,0.01735079208692391,0.017379383602962824,0.01261491920381656,0.02226345073216671,inf,SE,1,0.07299883345577299,0.0441082261003661,0.02889060735540689,396091.0,8.452598227463853e-18,0.03143995521420105,0.03143764226542899,0.025536708648698045,0.037135505204120914,inf,SE,1,0.02488183168070975,0.014475673997453918,0.010406157683255831,418732.5,1.9677340301781735e-28,0.010424912194600653,0.010482113080087183,0.008844911414108302,0.012148311615060905,inf,SE,1,0.03253226904608461,0.007554474070198813,0.024977794975885797,457849.0,5.553956122181552e-53,0.025041583867908522,0.025105983411247833,0.022319872678643514,0.027930721330850533,inf,SE,1,0.007650437365374866,-0.0069211999272551054,0.01457163729262997,487266.0,1.2911685517672004e-76,0.01461608394223295,0.014626539569744391,0.01301715812731953,0.01631335854886666,inf,SE,1,6,1,SE
NGC1309,SW,W,E,0.015371897327403508,0.017397642434410186,-0.0020257451070066785,349671.5,2.775766133247174e-06,0.0030677808210033413,0.0031733664607698346,0.0022438973966017774,0.004078134259334335,inf,W,1,0.028143343864343338,0.027562942386314467,0.0005804014780288712,390760.0,0.35131537815321623,0.0022914166046969263,0.0024436014478624343,0.001809820370457931,0.0031519218755362306,inf,E,-1,0.01669318577307907,0.02100219590371044,-0.004309010130631372,322926.5,9.98331172398738e-13,0.005221149724343004,0.005310997443728967,0.004018994129379191,0.006683319624060087,inf,W,1,0.012771446536939832,0.010165299951904279,0.002606146585035553,468854.0,5.498329517973151e-10,0.0026061465850355536,0.0025947372739076272,0.002005302402856768,0.003177819274916269,inf,E,-1,0.0013212884456755604,0.003604553469300255,-0.0022832650236246947,310009.5,9.481448631243396e-17,0.0034395199169204435,0.003434654001744427,0.0028396994328724516,0.004065155962909628,inf,W,1,-0.011450158091264269,-0.006560746482604024,-0.004889411608660245,237734.0,2.6046821948128115e-50,0.004894297214337559,0.004906048416627737,0.0042639845242752475,0.005537719981415798,inf,W,1,2,1,W
NGC1324,SW,NE,SW,0.014271768161443528,-0.003746503581793465,0.01801827174323699,582540.0,3.4757999385569345e-201,0.01801827174323699,0.0180176584950963,0.017095251032951585,0.019049907751798992,inf,SW,1,0.021143572724959793,-0.009099628034614893,0.030243200759574686,591736.0,7.859402159466509e-215,0.030243200759574686,0.030229935643507518,0.02853844880082597,0.031750345070384635,inf,SW,1,0.028713755732710334,-0.010301118348307077,0.03901487408101741,581921.0,2.7756090184779845e-200,0.039014874081017406,0.03899254215557579,0.03675931631091691,0.04108708824529442,inf,SW,1,0.00687180456351627,-0.005353124452821427,0.012224929016337698,572431.0,1.048956698034273e-186,0.012224929016337694,0.012215425626576166,0.011438982491873341,0.013020027127692506,inf,SW,1,0.01444198757126681,-0.0065546147665136115,0.02099660233778042,558715.0,6.238635925790039e-168,0.020996602337780418,0.021012656773506676,0.019634263163830996,0.02241676803205608,inf,SW,1,0.0075701830077505375,-0.0012014903136921846,0.008771673321442722,498388.0,2.858719361284447e-97,0.008826351805810203,0.00889977713648394,0.008106409196773983,0.00972864818121326,inf,SW,1,6,1,SW
NGC2268,S,NW,SE,0.014081943338555735,0.0007200508880367162,0.013361892450519018,827383.0,5.143963468815371e-145,0.01336189245051902,0.013361862164365003,0.012392744350155246,0.014310360286974425,inf,SE,1,0.025433217356752507,0.0050240894062955135,0.020409127950456993,843467.0,2.680290678361261e-159,0.02040912795045699,0.02040237295958729,0.018664061283935492,0.02217785845322526,inf,SE,1,0.03081177369166518,0.007712485947433614,0.02309928774423157,845412.0,4.51870864890433e-161,0.023099287744231565,0.023217090844404514,0.021317906673057854,0.02533840903284411,inf,SE,1,0.011351274018196768,0.0043040385182587975,0.007047235499937971,809193.0,1.1164972903113936e-129,0.007048086437724321,0.007127189755204154,0.00640953870351955,0.008079177247132035,inf,SE,1,0.016729830353109442,0.006992435059396899,0.009737395293712543,799082.0,1.5773779354173665e-121,0.009993884848132292,0.010142502709780144,0.009089616307262547,0.01136684337164888,inf,SE,1,0.005378556334912675,0.0026883965411381005,0.002690159793774575,658039.0,9.726180487578591e-36,0.0030933187972419147,0.003143175614005976,0.0026999860813993913,0.0036112801019946824,inf,SE,1,6,1,SE
NGC2713,N,NE,SW,0.012406696578636793,0.030182272239408132,-0.01777557566077134,229646.0,1.705417061122351e-111,0.01777557566077134,0.017768340341711066,0.016113632972951267,0.01935778122920811,inf,NE,1,0.016234458939020164,0.041462296652319784,-0.02522783771329962,241682.0,5.28332593154667e-103,0.025227837713299624,0.025269965593121994,0.022978261874012612,0.027782856399665355,inf,NE,1,0.01994825703630484,0.04804592881430765,-0.02809767177800281,281842.0,3.868198955190423e-77,0.028097671778002806,0.028046245305769303,0.025155381767116344,0.031273816624216945,inf,NE,1,0.0038277623603833726,0.011280024412911658,-0.007452262052528285,278908.0,6.705252475065985e-79,0.007452262052528285,0.0074379240450781715,0.006597846830225222,0.008292075909847575,inf,NE,1,0.007541560457668048,0.017863656574899515,-0.010322096117231467,343994.0,1.3723212487367913e-44,0.01032209611723147,0.010293358752515058,0.008745256855724949,0.011878027992513607,inf,NE,1,0.0037137980972846746,0.006583632161987859,-0.002869834064703184,427726.0,4.5974446508090005e-15,0.0028698340647031846,0.0028841528693554943,0.002118822599284242,0.003682518343320167,inf,NE,1,6,1,NE
NGC3003,N,N,S,-0.00937153248898501,-0.01393422841946109,0.00456269593047608,1494973.0,1.7387621442311094e-08,0.004900490296614344,0.0049599067351251275,0.004006458227476862,0.005869511134356358,inf,S,-1,-0.03729352644951443,-0.04631352187787248,0.009019995428358046,1512034.0,3.700295719155655e-10,0.009240258259197323,0.009299634435625044,0.007149111463418408,0.011575638431421991,inf,S,-1,-0.053208463059494504,-0.0516214464804547,-0.0015870165790398058,1264066.0,0.0038473500364842594,0.005124221698154465,0.005431108390181336,0.003937250889302825,0.007061734697336896,inf,N,1,-0.027921993960529422,-0.03237929345841139,0.004457299497881966,1498912.0,7.398399053534535e-09,0.004628745172053565,0.004748278746752401,0.0034868206428712374,0.006179242399394241,inf,S,-1,-0.04383693057050948,-0.03768721806099361,-0.0061497125095158756,1148928.0,9.193400585562032e-13,0.0062557770825108616,0.006514957752135465,0.004946542937937266,0.008392737164790746,inf,N,1,-0.015914936609980064,-0.005307924602582216,-0.010607012007397849,917377.0,1.702935928116216e-55,0.010609206001090124,0.010646769992540243,0.009239354920303668,0.01204133943808639,inf,N,1,0,0,-
NGC3185,SW,NE,SW,0.006621478529662658,0.003890495558266828,0.0027309829713958295,972277.5,1.5148565290232325e-29,0.00273098297139583,0.0027290757935584907,0.001675857192036179,0.0038699643326589902,inf,SW,1,0.006986334571832879,0.0019204027929188038,0.005065931778914075,1058566.0,1.9005926105168668e-58,0.005065931778914073,0.005036628614480516,0.003631353964121538,0.006344983434650547,inf,SW,1,0.00730958619228912,0.0008018361660456848,0.006507750026243436,1072391.0,5.1362214391487075e-64,0.006507750026243436,0.0065007790805356805,0.004919084768713899,0.00805096626768012,inf,SW,1,0.00036485604217021994,-0.001970092765348024,0.002334948807518244,1046386.0,9.32866320546454e-54,0.002334948807518244,0.0023381758731151905,0.0019882282680932207,0.0027080747796526562,inf,SW,1,0.0006881076626264634,-0.0030886593922211437,0.0037767670548476072,1074063.0,1.0462743240570914e-64,0.003776767054847607,0.003794341586136362,0.0032149176395456012,0.004444406040931654,inf,SW,1,0.0003232516204562433,-0.0011185666268731193,0.0014418182473293626,947614.0,3.8966296709937995e-23,0.0014418182473293624,0.001441981234522749,0.0011445050842826664,0.001742677993060644,inf,SW,1,6,1,SW
NGC3370,NE,NE,SW,0.010424355265675216,0.018550594120578717,-0.008126238854903501,366660.0,3.9540081423108774e-27,0.00849378848223597,0.00856854271931881,0.007326805201185095,0.009944924981116468,inf,NE,1,0.012095048731127938,0.02540406637010659,-0.013309017638978652,344073.0,6.033635416838716e-36,0.013312812057704598,0.013336955946088658,0.011353757600491553,0.015226049322333719,inf,NE,1,0.004934960607666217,0.02671485421871367,-0.02177989361104745,298700.0,1.4656158254407723e-57,0.02177989361104745,0.021738913913734056,0.019248009019069524,0.024291227827193125,inf,NE,1,0.0016706934654527193,0.006853472249527876,-0.005182778784075156,329281.0,2.0286332143595048e-42,0.005182778784075156,0.005168534678213387,0.004465339611850848,0.005879796268477173,inf,NE,1,-0.005489394658008998,0.008164260098134951,-0.013653654756143949,251681.0,1.807699945677894e-85,0.01365365475614395,0.013638807252508493,0.012289715783751707,0.014920865847920177,inf,NE,1,-0.007160088123461718,0.0013107878486070764,-0.008470875972068794,223186.0,4.0823659056695904e-105,0.008470877155987776,0.008482770794911948,0.007767794995450324,0.009192522128616749,inf,NE,1,6,1,NE
NGC3430,NW,NW,SE,0.004578896283389774,0.012726565178308622,-0.008147668894918848,674515.0,7.033140370017877e-68,0.008148593571968283,0.008146130076729373,0.00720479370774007,0.009040187445807429,inf,NW,1,0.0054298687589587466,0.017600707679735452,-0.012170838920776705,643655.0,1.6974237093036394e-78,0.012170838920776708,0.012176534433346148,0.01093058315023369,0.013369770721389758,inf,NW,1,0.004267604507830843,0.01995142618623291,-0.015683821678402064,575789.0,1.2957035463822278e-104,0.01575525295911461,0.015811052051384757,0.014381363422739,0.017247135577719282,inf,NW,1,0.0008509724755689728,0.004874142501426829,-0.004023170025857855,716645.0,1.1813075160223722e-54,0.0040687073378617485,0.004075838573291451,0.003555385542104703,0.004579494214081105,inf,NW,1,-0.0003112917755589304,0.007224861007924289,-0.007536152783483219,628565.0,5.645307578223551e-84,0.007698150217877078,0.007753927982980541,0.006984080011242925,0.008485392202362546,inf,NW,1,-0.0011622642511279033,0.0023507185064974585,-0.0035129827576253617,829717.0,2.1496336901421287e-26,0.0036030501628588553,0.0036767114966809837,0.003013187164311232,0.004338378561954738,inf,NW,1,6,1,NW
NGC3726,W,W,E,-0.004671824552324566,-0.004011697687853976,-0.0006601268644705902,19319855.5,6.425777663311794e-15,0.0006636801429764257,0.0006615245295855269,0.00045282739145227185,0.0008662488570400396,inf,W,1,-0.00838814292289037,-0.007588029186042925,-0.0008001137368474449,19262943.0,7.463233809662021e-16,0.0008084655185582735,0.000825484859392796,0.0005368765570424078,0.0011853664002867612,inf,W,1,-0.018356218988679902,-0.018456419484570177,0.00010020049589027497,21099999.0,0.5697075171830176,0.00034914784459093393,0.0004327866210791551,0.00028224730072681824,0.0006691593824671798,inf,E,-1,-0.0037163183705658043,-0.003576331498188949,-0.00013998687237685515,19801860.0,3.190325061114795e-08,0.00030199534758611153,0.00033689169097045227,0.00026516315412156236,0.0004256446385126325,inf,W,1,-0.01368439443635534,-0.014444721796716202,0.0007603273603608626,22329429.0,2.2270557924380323e-10,0.0008584879438912977,0.0008614465860861042,0.0006543264654812234,0.001077182675545052,inf,E,-1,-0.009968076065789533,-0.010868390298527252,0.000900314232737719,23701274.0,1.8587666187459185e-37,0.0009483932541049649,0.0009560218546301862,0.0008233947596244167,0.0010958508318667354,inf,E,-1,0,0,-
