name,x,y,a,b,theta
IC1151,187.2513843,186.0118404,38.3427622525,17.69515363705555,-0.9676929478
IC1199,93.26027227,92.68085394,27.934299719500004,11.89942869909658,1.219000679
IC1256,94.06098854,93.01087683,23.2233687565,14.862639379921855,0.04585245575
IC1528,155.7184522,155.4408347,34.46336318875,13.452201746527868,-0.2896631875
IC2095,87.87921377,89.89235144,40.20430377625,6.875750819366899,-0.6463055847
IC2487,125.3619345,123.9044189,36.396919495375,8.846371506229675,1.297325008
IC4566,124.5208816,124.9530127,26.0959761975,17.83830155102059,1.030677966
IC5309,125.1704593,124.3923034,28.309852372500004,14.149975449994932,-1.193666846
IC674,124.0834753,124.781704,22.36210310025,11.846998900985524,0.5937520493
IC776,179.2680266,186.2464438,19.7185087575,17.52302899506988,-0.3401219279
NGC1,123.4034161,125.2331273,20.36064545875,16.248986427320773,0.2617924492
NGC1042,280.3259568,280.5832369,64.68061368075,46.94247762208466,0.1100968516
NGC1068,188.0331319,188.8548445,32.67964189875,23.951250692102096,-0.6967553559
NGC1073,279.4006749,281.7124105,71.27365587937499,53.99423641738747,-0.5657920364
NGC1087,247.4456668,248.6378737,49.79744448625,37.257023151979375,-1.292836834
NGC160,154.2590158,155.7776899,36.10018377875,21.963690699014425,-0.7265959874
NGC1645,155.0987126,155.1968686,26.141420715,14.97762936761961,-0.1080040297
NGC1677,92.4250546,93.1276757,24.17947589625,7.672270184701661,0.8452818103
NGC171,154.6818294,155.6297842,37.36365997,25.843967107918107,0.4598484266
NGC177,155.327915,155.6546798,32.66244565375,11.428402129266846,-1.419038949
NGC180,186.869425,186.7168855,40.836620261250005,25.64402386740944,1.161907526
NGC192,187.4497331,185.1911327,38.19296838125,13.502152404849284,1.292487121
NGC214,187.0494267,186.3132946,29.854878355,20.928735045448786,-0.5439833839
NGC217,187.1007027,186.6136098,39.9862916825,10.774237572082091,0.3731062728
NGC23,124.6102774,124.747419,27.182432076249995,13.780373382111923,1.131177999
NGC234,124.7387569,124.6236429,28.472883015,25.078988601981468,-0.2892374828
NGC237,125.2442294,123.3751786,26.41640900375,16.316300936234754,1.541129884
NGC2449,123.2344369,124.9117969,25.28922807125,12.331836490560104,0.7332000991
NGC2486,124.4254111,124.5681072,32.7862641375,20.05597478873873,-0.03775709468
NGC2487,187.0376479,187.0555249,37.4166698215,25.14761567505884,-0.88576042
NGC2540,124.4511786,124.077565,24.266323842125,17.12485044519263,0.6693445547
NGC2552,311.6319609,311.2256577,55.0970334445,31.497636345043496,-0.5348657864
NGC257,124.1505187,123.920998,30.082614712625,18.53984437183972,0.0743784896
NGC2604,187.4509254,186.6961989,34.696193414875,29.798560409715822,-0.7253217587
NGC2608,187.2970631,187.2476242,40.80507939587499,22.84832996519418,-0.3329503923
NGC2730,186.8044773,187.2272772,34.64968454,24.948526500284544,-0.3477752552
NGC2776,186.7375828,187.3561908,28.312787042875,26.68438374841575,0.7678498195
NGC2906,124.5291662,124.0649782,30.5899584735,16.719513052671882,-0.1177273928
NGC2916,186.1725904,187.0452293,34.64387142325,22.198876607843967,-1.298615085
NGC2964,187.0137772,185.5861138,38.095034916125,27.42822012643212,0.09839179688
NGC2998,187.7699876,185.1508716,31.05027546625,16.01293649686024,-0.6748252121
NGC3057,185.3610035,190.7516035,43.06832826625,20.945145573318623,1.519326157
NGC3106,124.6691543,124.5788284,20.067526875,18.539451742155183,0.8192228243
NGC3166,159.872758,153.8933675,28.74642678125,25.33572276332969,-0.06770598377
NGC3206,188.1051356,186.822671,28.37463221375,26.95001158708332,-0.328415418
NGC3319,497.8213054,501.9231563,35.5977195675,10.03290748715188,-0.845781368
NGC3433,249.6375303,249.1814158,39.4749112825,30.29637785150186,-1.340963272
NGC3504,248.7879274,249.6871024,46.0630579425,22.69848910294533,1.019521915
NGC36,156.1792635,155.7686066,24.634056319125,17.869787636364965,-1.485423311
NGC3614,249.5060559,249.0429405,40.59776267375,28.53909109547367,0.09718905994
NGC3631,312.0740768,311.3653255,20.4060869,19.910190558638085,0.9519304779
NGC3642,311.1453568,311.8652888,27.784815158625,26.27745649905052,0.5948737691
NGC3687,187.0240589,187.0985594,25.486073314875,23.741309364455116,1.153197155
NGC3811,187.0861904,187.1243298,28.4377437725,18.506137815245488,-1.324236008
NGC3893,249.5913841,250.0617453,35.77090622875,27.843672123441205,1.350992254
NGC3938,311.6347199,311.7353368,42.93598403625,41.58455009241822,-1.349581915
NGC3992,499.6787759,501.1520927,123.75886749875,68.68065930813403,-0.4692657225
NGC3994,74.13144,74.71002477,18.5790031875,8.829224295754893,-1.398163266
NGC4030,248.8291669,248.5659232,30.09134633875,24.34373946553881,-0.9971894949
NGC4047,124.8585928,123.7625623,23.48701338725,18.52871346753231,0.1820677265
NGC4051,311.2420714,311.6048897,80.0194089675,39.70273620943602,0.6442767063
NGC4064,311.0524876,312.8909464,52.1451495175,19.535291712322543,1.20820803
NGC4102,249.4666044,250.0185636,50.076150515,28.62648771723181,-0.8296539866
NGC4123,311.9719071,311.4009532,73.26210706725,34.27982373084283,0.400091017
NGC4136,311.1253982,311.3830802,40.4850893395,36.3282609104597,0.3292451376
NGC4151,311.789348,312.5728853,60.99026623625,40.97654248596058,0.7611046359
NGC4185,249.5086459,248.9892268,89.9641465375,60.59794489096922,1.324353386
NGC4204,383.9534525,379.5429319,50.89038331625,12.28357291760176,0.5523914726
NGC4210,124.2158693,124.506143,31.7433105875,23.94604504526381,0.01166997941
NGC4254,375.5448308,375.6425024,79.41985215875,66.80370237939185,-0.6717709196
NGC428,216.4930352,217.362493,60.78137309875,39.63549362512174,0.7542446364
NGC4299,195.5281971,215.4908627,29.146709793125,21.984122427578463,-1.330290338
NGC4303,310.7629088,312.59509,75.61067190874999,66.37268039192598,-1.088896073
NGC4351,124.7411183,124.7568006,26.092837663,16.802996384001194,-0.423684938
NGC444,156.2459673,157.699164,36.03297611375,9.073122962806398,1.221638341
NGC4457,123.3593304,125.180475,23.276367943750003,17.70835682752573,-0.3134013765
NGC4470,124.1715247,123.4187708,29.10363812,19.889903382346205,-1.503695349
NGC4490,310.8870227,310.6492118,87.71074051375,39.21528333092223,0.4744650519
NGC4496A,308.448501,313.2890983,38.548470205,18.980047710451124,-0.4988139242
NGC450,217.5719657,218.5116169,39.60034963875,29.951230735809364,-0.2279377686
NGC4522,249.6377696,249.1750661,58.5760651025,14.502385111902615,-0.966736287
NGC4536,312.2695731,310.678383,71.20438888249998,32.4445416008517,0.2161114588
NGC4540,124.5347824,124.1200746,29.41037924625,21.017076729550315,-0.579358325
NGC4548,311.4988093,311.6302308,34.962940541875,24.91904791626928,-0.3337641679
NGC4618,320.4299376,309.2637431,84.73642025,48.04768686113304,-0.5706028914
NGC4644,123.7716434,124.5277754,24.12870853375,10.037667494084006,-0.7234624821
NGC4647,242.5384829,253.9635249,33.3741698775,21.27436576051251,0.04298050473
NGC4654,311.3574544,310.3010983,65.94803758625,30.898370219105555,0.5613070632
NGC4682,217.8701834,219.0274369,43.75568453937501,21.194544226934894,-0.1169493483
NGC4691,184.3547363,184.8439289,51.07808689625,19.40674168030297,-0.1203212352
NGC4701,187.3082753,185.7131183,44.6705192525,33.75742038856141,-0.8166824383
NGC4711,124.765218,124.2051848,27.106935009125003,12.747844863892098,-0.8194020153
NGC4725,374.6653016,373.9835747,95.96615842875,47.01363558428772,-0.7815149751
NGC4736,186.7214554,184.8679104,33.8911214775,32.75998148308213,0.3593299582
NGC477,124.8053593,124.6045314,29.9524500795,20.223235690723413,0.8522059225
NGC4814,311.4086622,312.2575782,30.566160925,20.499941359834924,0.4527140808
NGC4904,191.9711117,193.2926394,57.07362554,49.18565107334911,0.9562300214
NGC496,124.0138936,125.2456734,26.607230314125,15.462550232146787,-0.924319627
NGC4961,124.7362685,124.0822408,23.48386643375,15.098348723438423,0.3475293269
NGC497,123.8557675,124.9327178,34.48500432425,17.193230571589627,0.7241194623
NGC5000,124.5306056,124.1634892,27.09641430825,16.035204509348823,-0.07922107667
NGC5016,187.9452207,187.2579104,27.153309137500003,20.07467223092271,-0.5903326964
NGC5056,124.0564584,123.9517099,23.78157790875,14.559435985345628,1.542241946
NGC5204,311.6936778,324.8915441,40.62640700125,25.063860769406126,1.20595838
NGC5205,155.3823186,154.8587613,28.84607737625,19.05932169151157,0.9928383835
