name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower.1,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower.1,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower.1,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower.1,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower.1,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower.1,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label,g-r_is_valid,g-i_is_valid,g-z_is_valid,r-i_is_valid,r-z_is_valid,i-z_is_valid
IC1151,nw,NW,SE,0.0052439257009247,0.0135451953958689,-0.0083012696949442,456366.0,6.031723626253627e-15,0.0083223160505442,0.008541915692217,0.0066813549137863,0.0103986791741438,inf,NW,1,-0.0069917619541102,0.0083963167024779,-0.0153880786565881,437049.0,4.983290735415261e-20,0.015457161068559,0.0154852303479489,0.0127478098758744,0.0185477405242761,inf,NW,1,-0.0146328868395374,0.009316204539986,-0.0239490913795235,402126.0,3.0726360193057093e-31,0.0239853478288875,0.0239747573674686,0.0203807599428082,0.0276892007145347,inf,NW,1,-0.0122356876550349,-0.005148878693391,-0.0070868089616439,441465.0,8.5027376471649035e-19,0.0070868089616439,0.0070903107921766,0.0056934584336073,0.008443188030337,inf,NW,1,-0.0198768125404621,-0.0042289908558828,-0.0156478216845793,396259.0,2.230088612081607e-33,0.0156478216845793,0.015669504450238,0.0134358839076551,0.017961697734991,inf,NW,1,-0.0076411248854271,0.0009198878375081,-0.0085610127229353,444546.0,5.814800022728785e-18,0.0085610127229353,0.0085575212457746,0.006789579288933,0.0102770342019053,inf,NW,1,6,1,NW,,,,,,
IC1199,ne,E,W,-0.0024161971792405,0.009017710514641,-0.0114339076938816,64408.0,2.214737173438369e-48,0.0114339076938816,0.0114576364121796,0.0100222894243625,0.0128670566196485,inf,E,1,3.767976308241432e-05,0.0176200999429812,-0.0175824201798988,52760.0,5.719551022080679e-65,0.0175824201798988,0.0175995824772732,0.0156834978237595,0.0194547605763205,inf,E,1,-0.0087437830670584,0.0131036283126494,-0.0218474113797079,54027.0,4.819492197718796e-63,0.0218474113797079,0.0217830685940659,0.0193840252206522,0.0242780162460677,inf,E,1,0.0024538769423229,0.0086023894283401,-0.0061485124860172,76810.0,1.8144160246946493e-33,0.0061485124860172,0.006170345999378,0.0052019601813778,0.0071662742849456,inf,E,1,-0.0063275858878179,0.0040859177980084,-0.0104135036858263,71487.0,1.6022536287556053e-39,0.0104414959439461,0.0104818408909969,0.0089505062807626,0.0118848521054694,inf,E,1,-0.0087814628301408,-0.0045164716303317,-0.0042649911998091,102491.0,1.4478092203689916e-11,0.0047705672278195,0.0048038173681797,0.003608946530125,0.0059958166534543,inf,E,1,6,1,E,,,,,,
IC1256,n,N,S,-0.0047524071573998,-1.936680894203165e-05,-0.0047330403484578,113933.0,8.832231470503248e-10,0.0047632840071138,0.0048244886802435,0.0035965364206774,0.0060439446494488,inf,N,1,-0.0090915282621106,-0.0024927314571199,-0.0065987968049907,115378.0,5.020916563903677e-09,0.0066087646954456,0.0066548715262084,0.0047315894548847,0.0085097497862256,inf,N,1,-0.0134702737421864,-0.0042999747632589,-0.0091702989789274,103038.0,1.4462019934908435e-16,0.0091704756472174,0.0092118021841012,0.0072142162194452,0.0112836399371074,inf,N,1,-0.0043391211047107,-0.0024733646481779,-0.0018657564565328,124195.0,3.766037523935993e-05,0.0020702286686025,0.0021308096850593,0.0013170787637638,0.0029335412579382,inf,N,1,-0.0087178665847865,-0.0042806079543169,-0.0044372586304696,106202.0,2.1418649503456503e-14,0.0044372586304696,0.0044680160086272,0.0033747424267038,0.0055512530371119,inf,N,1,-0.0043787454800757,-0.001807243306139,-0.0025715021739367,117168.0,3.87943125401867e-08,0.0025715021739367,0.0025850575892876,0.001740322452796,0.003503724613591,inf,N,1,6,1,N,,,,,,
IC1528,se,N,S,0.0421204856693746,0.0553875710097853,-0.0132670853404106,201332.0,5.117223113634741e-15,0.0133740889227057,0.0134919288963392,0.0102419437399622,0.0168250915589953,inf,N,-1,0.0496989403985239,0.0649067329575483,-0.0152077925590244,211677.0,6.560023031976175e-11,0.015639295823712,0.0158403809199301,0.0118405601430759,0.0198317418253627,inf,N,-1,0.04996583039992,0.063599507032621,-0.0136336766327009,230738.0,3.370548741311106e-05,0.0136879939543553,0.0137846656905509,0.0085094218153191,0.0190384592132223,inf,N,-1,0.0075784547291492,0.0095191619477629,-0.0019407072186137,245648.0,0.0224646496295589,0.0029671362109589,0.0031094706807963,0.0019265392922989,0.0042966371703309,inf,N,-1,0.0078453447305453,0.0082119360228356,-0.0003665912922903,270379.0,0.4179452066033011,0.0024277886878794,0.0029511185494136,0.0016416149221513,0.0046330482943902,inf,N,-1,0.0002668900013961,-0.0013072259249273,0.0015741159263234,274698.0,0.1769939229185642,0.0016286727253973,0.0021592514972958,0.0011711040174362,0.0036568235289863,inf,S,1,-4,-1,N,,,,,,
IC2095,se,NW,SE,-0.037267905912756,-0.0263853186898668,-0.0108825872228891,73652.0,2.0715486202603587e-08,0.0109521995000564,0.0111668664789273,0.0080815817501102,0.0142181750687187,inf,NW,-1,-0.1376100689224162,-0.1160567839843493,-0.0215532849380669,81369.0,0.0004315453816322,0.0229676300880081,0.0235344648495519,0.0162918713854864,0.0317259318639897,inf,NW,-1,-0.2172620997913373,-0.2083772245573133,-0.0088848752340239,89502.0,0.1862883803928136,0.0147759890001881,0.016311754586763,0.0088036973866724,0.0255699551454159,inf,NW,-1,-0.1003421630096602,-0.0896714652944824,-0.0106706977151777,86242.0,0.0276073099064267,0.0129299934280038,0.0134708643814943,0.0088299282525195,0.0187459202855991,inf,NW,-1,-0.1799941938785813,-0.1819919058674464,0.0019977119888651,95151.0,0.8375536360307883,0.0079738714468437,0.0103635065563664,0.0057097433453485,0.016328706635966,inf,SE,1,-0.0796520308689211,-0.092320440572964,0.0126684097040429,102134.0,0.0363903431801673,0.0127076269834445,0.0142238479473554,0.006943651829357,0.0232186778831931,inf,SE,1,-2,-1,NW,,,,,,
IC2487,ne,E,W,0.0254983478459983,0.0618586324404764,-0.0363602845944781,36085.0,2.220948323949449e-86,0.0363602845944781,0.0363601154407663,0.0332215371569017,0.0395055814511599,inf,E,1,0.0324770832869086,0.086244990894056,-0.0537679076071474,28159.0,1.055413180252509e-101,0.0537679076071474,0.0535429916935784,0.0496521026984835,0.0573445493479664,inf,E,1,0.0065092927005848,0.0802189723141081,-0.0737096796135232,23712.0,7.406886751727804e-111,0.0737096796135232,0.0737771408484,0.0688687875880719,0.0794803386906853,inf,E,1,0.0069787354409103,0.0243863584535796,-0.0174076230126692,45206.0,2.5576137007008248e-70,0.0175207489862777,0.017621690257002,0.0159438786571836,0.0193120386036874,inf,E,1,-0.0189890551454134,0.0183603398736317,-0.0373493950190451,33216.0,8.845148813568127e-92,0.0373493950190451,0.037323276087365,0.0343409632780716,0.0403647140558556,inf,E,1,-0.0259677905863237,-0.0060260185799478,-0.0199417720063758,51609.0,4.7693126739125095e-60,0.0199506092952343,0.0199710607914608,0.0177096810016507,0.0221825708506488,inf,E,1,6,1,E,,,,,,
IC4566,sw,NE,SW,0.019968978779319,0.0158925942586129,0.004076384520706,317855.0,1.7469735216650996e-10,0.0041261513348031,0.0042171159046417,0.002873600779833,0.0057461688514256,inf,SW,1,0.0254873262127996,0.0203264331125539,0.0051608931002457,319019.0,6.728348057983865e-11,0.0052298764679123,0.0053965717693129,0.0036346304404628,0.0075590073056872,inf,SW,1,0.0221973224587047,0.0171837455407727,0.005013576917932,317560.0,2.2176600761458028e-10,0.0060926849124199,0.0064352105190986,0.0047365708974496,0.0085996373902145,inf,SW,1,0.0055183474334806,0.0044338388539409,0.0010845085795396,306545.0,6.42604143207449e-07,0.0012494645123398,0.0014225242871267,0.0010206999193695,0.0019469588734052,inf,SW,1,0.0022283436793857,0.0012911512821597,0.0009371923972259,301144.0,1.6516821093263188e-05,0.0028441354304444,0.003004180626819,0.0022440930854655,0.0038584327199265,inf,SW,1,-0.0032900037540948,-0.0031426875717812,-0.0001473161823136,285100.0,0.0205817190489011,0.001703774788112,0.001794210356247,0.001240787411712,0.0024017187749184,inf,NE,-1,4,1,SW,,,,,,
IC5309,se,W,E,-0.0032447801060758,-0.0020153015490953,-0.0012294785569804,194873.0,0.7185399197490974,0.0039926234305934,0.0044730502602538,0.0032137939155381,0.0058321693489254,inf,W,-1,0.0047627841381882,0.0032863521342558,0.0014764320039324,208857.0,0.0695049654793566,0.0070967876519107,0.0072680539046012,0.0051304456300749,0.0094884370928026,inf,E,1,0.0117362125421828,0.0015888636435923,0.0101473488985905,230394.0,2.392327633118898e-07,0.0139897069947148,0.0141326232769474,0.0107784347483809,0.0174227115454186,inf,E,1,0.0080075642442641,0.0053016536833512,0.0027059105609128,223743.5,3.608308459321178e-05,0.0029294725714963,0.0030510368263632,0.0018750225289176,0.0042091751581932,inf,E,1,0.0149809926482587,0.0036041651926876,0.011376827455571,253252.0,2.726438349400592e-18,0.0114702541851473,0.0115810413283918,0.0092351928683484,0.0139091722859408,inf,E,1,0.0069734284039945,-0.0016974884906635,0.0086709168946581,250012.0,2.065943753735284e-16,0.0086709168946581,0.0086593455117579,0.0068438728660441,0.0105328420281027,inf,E,1,4,1,E,,,,,,
IC674,sw,NE,SW,-0.0002671192276073,-0.0080438800812291,0.0077767608536217,138869.0,4.206262693866212e-52,0.0077767608536217,0.0077889625678759,0.0066229222701391,0.0089385615033992,inf,SW,1,0.0013770361498187,-0.0048380067962801,0.0062150429460988,139338.0,5.270853809469837e-53,0.0062150429460988,0.0062259861972007,0.0053834651129926,0.0070424265244802,inf,SW,1,0.004073908472804,-0.0078657148113089,0.0119396232841129,146657.0,4.12420315184989e-68,0.0119396232841129,0.0119061061019183,0.0105442613186173,0.013408126611369,inf,SW,1,0.001644155377426,0.0032058732849489,-0.0015617179075228,85026.0,0.7084984357840565,0.0016208296835442,0.0017098131685519,0.0010521518311958,0.0025093805813746,inf,NE,-1,0.0043410277004113,0.0001781652699202,0.0041628624304911,121028.0,1.1041370409128855e-23,0.0042916126173624,0.0043442811319156,0.0034645047086629,0.0052505925024679,inf,SW,1,0.0026968723229852,-0.0030277080150287,0.005724580338014,122994.5,2.971520571321694e-26,0.005724580338014,0.0057434500748709,0.0046144651891996,0.0070166034121584,inf,SW,1,4,1,SW,,,,,,
IC776,sw,N,S,0.0818587789263742,0.0732980367088147,0.0085607422175594,159487.0,0.0168295366874263,0.0105119722424408,0.0113956440757424,0.0066386913724012,0.0168138802138495,inf,S,1,0.0148684114386282,-0.0141265188237475,0.0289949302623757,176303.0,1.6156943535227965e-08,0.0294983251817762,0.0298842444295753,0.019610281288716,0.039837429964794,inf,S,1,-0.0483023124640061,-0.0695978386286747,0.0212955261646685,161013.0,0.0072291500386285,0.0221123394213469,0.0230728823197125,0.0123450732384302,0.035444242960394,inf,S,1,-0.066990367487746,-0.0874245555325622,0.0204341880448162,166557.0,0.0001696785731707,0.0205459885276649,0.0208785649486283,0.0121381011478105,0.0307011312516991,inf,S,1,-0.1301610913903804,-0.1428958753374894,0.012734783947109,156416.0,0.0725977469152136,0.0157358664686396,0.0177769694282773,0.0093296774638724,0.027499481072775,inf,S,1,-0.0631707239026343,-0.0554713198049271,-0.0076994040977071,138973.0,0.1131166720026704,0.0206662173503384,0.0226311196254031,0.0143568420407316,0.032026296529976,inf,N,-1,4,1,S,,,,,,
