name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC1683,W,E,W,-0.001431022169055751,-0.0073766333572730805,0.00594561118821733,81414.0,5.429719865892631e-13,0.0059456111882173306,0.005949492101911321,0.004553835390647884,0.00740658819942838,inf,W,1,0.0013323339593491975,-0.005260117814503415,0.006592451773852613,82165.0,6.760358228952872e-14,0.006592451773852613,0.006519451276724862,0.004865193944091962,0.008194865408722319,inf,W,1,0.0017478606147462176,-0.011530551446498026,0.013278412061244244,91100.0,3.2890814133141784e-27,0.013278412061244246,0.01320396018079942,0.010782304541285127,0.0157796224876394,inf,W,1,0.0027633561284049484,0.0021165155427696654,0.000646840585635283,69452.0,0.005429064130954413,0.0013713921317004166,0.0016969586614350245,0.0011383468358939044,0.0024270197447372123,inf,W,1,0.003178882783801968,-0.0041539180892249455,0.007332800873026913,85809.0,9.31156244242286e-19,0.007332800873026913,0.007351223715386661,0.005595459200937167,0.009362719178308004,inf,W,1,0.0004155266553970197,-0.006270433631994611,0.006685960287391631,89754.0,6.669576761110843e-25,0.006685960287391631,0.0066817373777267085,0.005418211247469366,0.00791027356287005,inf,W,1,6,1,W
IC1755,SW,NE,SW,0.01241583477231695,0.011387239058546337,0.001028595713770614,45878.0,0.040255888904170825,0.0022912549989404893,0.002352593944490854,0.0014729366157938738,0.0032788873779727463,inf,SW,1,0.01736689074990601,0.02003499955903665,-0.00266810880913064,37882.0,0.053414000877574225,0.0026691958240422087,0.0030158834195422824,0.001813643384866547,0.004899535399451769,inf,NE,-1,0.02087186413339654,0.024445104604017942,-0.0035732404706214013,36085.0,0.0047026561290168,0.0039041391779144194,0.004275203824464641,0.002556000376403581,0.006599114599756427,inf,NE,-1,0.00495105597758906,0.008647760500490313,-0.003696704522901253,31303.0,1.9000741212813517e-07,0.0037290871133173163,0.003797956571946603,0.00238524649259723,0.005160686452374556,inf,NE,-1,0.008456029361079587,0.013057865545471602,-0.004601836184392015,31270.0,1.7387685859484205e-07,0.004828819311157064,0.005054272683801122,0.003249961940234934,0.006979164683553302,inf,NE,-1,0.0035049733834905256,0.00441010504498129,-0.0009051316614907641,36654.0,0.010981681477622993,0.001358380971686503,0.0015607443554139075,0.0008962673233506483,0.002326647150554035,inf,NE,-1,-4,-1,NE
IC2101,NE,NE,SW,0.057497852188377815,0.0650450263623882,-0.007547174174010379,68206.0,0.6006744281386949,0.024935228844754607,0.02669606523617072,0.02016701696772259,0.033609251761545354,inf,NE,1,0.09873579090250366,0.11952481300847292,-0.020789022105969265,62379.0,0.012437570969491562,0.03450403704215503,0.037323273313348254,0.02793239000056469,0.047222205561733385,inf,NE,1,0.10153271389653341,0.15201899914068487,-0.050486285244151455,55108.0,6.862405857638182e-07,0.055242215294726005,0.058164104549361384,0.0446321265272753,0.07545761307821255,inf,NE,1,0.04123793871412585,0.054479786646084716,-0.013241847931958865,53314.0,2.4953118839096788e-08,0.01853173804339346,0.01869150181495469,0.01389290979477388,0.023958199366182202,inf,NE,1,0.044034861708155605,0.08697397277829665,-0.04293911107014104,43813.0,1.4232104349163783e-18,0.04655598927850544,0.046994216821276226,0.03794427592480583,0.05670001542829026,inf,NE,1,0.0027969229940297607,0.03249418613221194,-0.029697263138182176,37165.0,2.1912148911223245e-28,0.029793411247507125,0.02970713567924524,0.024643527523046098,0.03475977308015694,inf,NE,1,6,1,NE
IC5376,W,W,E,-0.0003068991856969017,0.014972549566858074,-0.015279448752554976,19348.0,7.54730383331728e-65,0.015279448752554976,0.015238509668133868,0.013533207167923614,0.01692410179051663,inf,W,1,0.00950130903718301,0.02974029722749262,-0.02023898819030961,28058.0,9.743147983383134e-45,0.020238988190309615,0.02015814905827412,0.016999689130115615,0.0235865402649964,inf,W,1,0.0077844423815382575,0.03406438225685541,-0.02627993987531715,27065.0,7.740574849700027e-47,0.026279939875317154,0.026113653744261923,0.0218203263250217,0.030494743039314393,inf,W,1,0.00980820822287991,0.014767747660634548,-0.004959539437754639,51059.0,6.167150648527507e-10,0.004959539437754636,0.0049893371586005215,0.0029832173097799775,0.007201181408029916,inf,W,1,0.008091341567235158,0.019091832689997337,-0.011000491122762178,39012.0,7.331808845670691e-25,0.011000491122762177,0.011096833744595386,0.00822380365343143,0.014241333889657556,inf,W,1,-0.001716866655644752,0.004324085029362788,-0.00604095168500754,28270.0,2.695234139481826e-44,0.006441364032322722,0.006479986157749165,0.005578449127919483,0.00745374530591224,inf,W,1,6,1,W
NGC1035,NE,NE,SW,0.04731408911019885,0.06708020774584228,-0.019766118635643433,454653.0,2.138287116268875e-35,0.019956691999643363,0.020163410568875374,0.01730603740820632,0.02297944503573451,inf,NE,1,0.028636507293233214,0.0724795009833556,-0.04384299369012238,355558.0,3.343624739973058e-78,0.04406415208686702,0.04418095325529816,0.03955786280651164,0.04855156646241792,inf,NE,1,0.02937217081069276,0.10048021776375717,-0.07110804695306441,322029.0,1.3968932574313475e-96,0.07110804695306441,0.07116763985034558,0.06525542921013079,0.07688945805835105,inf,NE,1,-0.01867758181696564,0.0053992932375133106,-0.02407687505447895,329528.0,2.6725777610271053e-92,0.02410529366735007,0.02416303562062449,0.022012349077870134,0.026364624154798122,inf,NE,1,-0.017941918299506088,0.0334000100179149,-0.05134192831742099,299481.0,4.748057276658717e-110,0.051341928317420994,0.05141655826150081,0.047675312729423276,0.05549281936141658,inf,NE,1,0.0007356635174595478,0.02800071678040159,-0.02726505326294204,404703.0,7.984409387375627e-55,0.02727073333673881,0.027204173215237926,0.024192370366367986,0.030532244476031624,inf,NE,1,6,1,NE
NGC1056,SW,NE,SW,0.04877934124035775,0.022562875363503637,0.026216465876854115,201810.0,1.293137727088185e-60,0.02639965267062241,0.026523651587944706,0.02124460307862285,0.031865574245250744,inf,SW,1,0.0812079212382391,0.04591874300050913,0.035289178237729965,192456.0,5.925246685060434e-47,0.03557059943247674,0.035757734402072174,0.027420597486187807,0.04413055846184462,inf,SW,1,0.09831967480323639,0.04742850110292207,0.05089117370031432,200122.0,5.118025207921957e-58,0.051064311827773254,0.05116727316210802,0.04182980224780863,0.06085645989748209,inf,SW,1,0.03242857999788135,0.023355867637005496,0.009072712360875857,175475.0,1.0204634805630028e-26,0.00907271236087585,0.00926498621457526,0.0068616318533165545,0.01242328894124091,inf,SW,1,0.04954033356287865,0.02486562573941843,0.02467470782346022,196847.0,3.8238571804853035e-53,0.024674707823460214,0.02466526413815665,0.019843832720152232,0.0293432734224126,inf,SW,1,0.017111753564997303,0.001509758102412937,0.015601995462584365,217194.0,5.670010395662999e-87,0.015601995462584364,0.01556149244942836,0.013981914554756785,0.017175931233616954,inf,SW,1,6,1,SW
NGC1084,SE,NW,SE,0.01890460239145095,0.01937863484466496,-0.0004740324532140107,778976.0,0.09164129510817472,0.002745781325898219,0.0028455981840955187,0.002230849004260588,0.003462249179233288,inf,NW,-1,0.013657145444724888,0.0163574306552729,-0.0027002852105480132,752991.0,0.002015688940389074,0.0038304068830524356,0.00401903196161182,0.0027924919725248565,0.00556418581749063,inf,NW,-1,0.029973101539529496,0.025282722852060967,0.0046903786874685285,865395.0,0.00295052574433387,0.004706393132378204,0.004796730815661285,0.0029821017533417926,0.00698708409654422,inf,SE,1,-0.005247456946726063,-0.0030212041893920576,-0.0022262527573340056,744591.0,0.000398858496568929,0.0023626124960398134,0.0024202538811704468,0.0013629895893146153,0.003477824701802894,inf,NW,-1,0.011068499148078545,0.005904088007396009,0.005164411140682536,961476.0,3.534750803227162e-16,0.005182562680638433,0.0052037800395704605,0.0038886477941831514,0.006569565966265524,inf,SE,1,0.01631595609480461,0.008925292196788068,0.0073906638980165435,1230064.0,1.9273024701650263e-113,0.007390663898016542,0.0073937932537004305,0.006829832050591507,0.00799752070137898,inf,SE,1,0,0,-
NGC1093,N,N,S,0.025269154241341102,0.032550875164543136,-0.007281720923202034,59193.0,8.19371776097599e-06,0.007281720923202029,0.007314195541271729,0.004747378615207476,0.00966361510027159,inf,N,1,0.01848983966398093,0.030398927915392737,-0.011909088251411806,43816.0,1.877421903287238e-21,0.011909088251411808,0.011954563431093147,0.009601881230181013,0.014342769731866928,inf,N,1,0.015665298993682037,0.028981117206083977,-0.01331581821240194,45852.0,9.338876499326382e-19,0.013315818212401938,0.013338951364989766,0.010417636002516014,0.015984521576791682,inf,N,1,-0.006779314577360172,-0.0021519472491503934,-0.004627367328209778,56196.0,5.1918227353543874e-08,0.004706866442704848,0.004715502920367244,0.0031722702950868946,0.006233658721095669,inf,N,1,-0.009603855247659063,-0.0035697579584591547,-0.006034097289199908,53450.0,2.1996850217245616e-10,0.006034097289199909,0.006097005734140144,0.004149085342505836,0.007981503188605441,inf,N,1,-0.002824540670298892,-0.0014178107093087608,-0.001406729960990131,66479.0,0.038780163382794636,0.0016124630132715722,0.0018423069845614698,0.0008988304965828263,0.0029921988915271236,inf,N,1,6,1,N
NGC157,SE,NW,SE,0.023832879705451365,0.01026874685806912,0.013564132847382246,1869373.0,2.5211052461648377e-149,0.013564132847382247,0.013559278470521604,0.012392249337002907,0.014771612082992089,inf,SE,1,0.036629222659559244,0.01707423042021373,0.019554992239345512,1897415.0,3.1803686882586947e-162,0.01955499223934551,0.019529227414090387,0.017963619330882856,0.021210551602864263,inf,SE,1,0.04419986104316623,0.015292013999448024,0.028907847043718203,1971780.0,4.794667692897542e-199,0.028907847043718203,0.028834937452109934,0.026648782143130524,0.03091421092699532,inf,SE,1,0.012796342954107873,0.006805483562144613,0.00599085939196326,1851802.0,1.618173657440903e-141,0.006000809784154237,0.006021891379973287,0.005518356165510981,0.006521707680813379,inf,SE,1,0.02036698133771486,0.005023267141378909,0.015343714196335949,1986956.0,5.009873465995427e-207,0.01534371419633595,0.015350096149385869,0.014254622373589503,0.01641002936450614,inf,SE,1,0.0075706383836069875,-0.001782216420765704,0.00935285480437269,1934592.0,3.7067880841198357e-180,0.00935285480437269,0.009357415756918465,0.008689406953651335,0.010011931922597445,inf,SE,1,6,1,SE
NGC1667,E,E,W,0.022174424578708947,0.03128467948945161,-0.00911025491074266,132716.5,1.7216033728125147e-17,0.009187173961204305,0.009256205993057199,0.007181109560382647,0.011415112979187528,inf,E,1,0.025302458133010016,0.03146800940822339,-0.006165551275213375,149576.0,8.528571133418842e-09,0.007765200538244283,0.007991170151309585,0.006350600273418037,0.009745827805086977,inf,E,1,0.009415786381447947,0.019540531495941885,-0.010124745114493938,140718.0,5.831338429628999e-13,0.010125830632184286,0.01036503811012918,0.00787748993390765,0.013104230593543,inf,E,1,0.0031280335543010674,0.0001833299187717811,0.0029447036355292862,206816.0,0.00032977714668078276,0.002944703635529287,0.002948241197485474,0.0020597967251881183,0.00391088413592817,inf,W,-1,-0.012758638197261,-0.011744147993509719,-0.0010144902037512813,165587.0,0.0016738624524605182,0.0029852411660868244,0.003108463120162815,0.002226565293124271,0.004177811291692251,inf,E,1,-0.015886671751562068,-0.011927477912281501,-0.003959193839280567,148029.0,1.8515387451087502e-09,0.003959193839280568,0.003945211182667389,0.0026426045977651857,0.005306710729466956,inf,E,1,4,1,E
