name,x,y,a,b,theta
IC1151,187.2513843,186.0118404,7.59842872,3.5066686827407354,-0.9676929478
IC1199,93.26027227,92.68085394,4.628460826,1.971627717128771,1.219000679
IC1256,94.06098854,93.01087683,4.369535542,2.7964431732291435,0.04585245575
IC1528,155.7184522,155.4408347,5.567167685,2.173051493703822,-0.2896631875
IC2095,87.87921377,89.89235144,27.103250235,4.635205127489199,-0.6463055847
IC2487,125.3619345,123.9044189,4.7889606105,1.163970063306232,1.297325008
IC4566,124.5208816,124.9530127,5.38961408,3.6841527013607864,1.030677966
IC5309,125.1704593,124.3923034,8.00698003,4.002089779993241,-1.193666846
IC674,124.0834753,124.781704,4.502200867,2.385176764647363,0.5937520493
IC776,179.2680266,186.2464438,8.91374151,7.921276038426506,-0.3401219279
NGC1,123.4034161,125.2331273,5.712470095,4.558885386427695,0.2617924492
NGC1042,280.3259568,280.5832369,4.501867191,3.26726646277955,0.1100968516
NGC1068,188.0331319,188.8548445,13.083927715,9.58934720613613,-0.6967553559
NGC1073,279.4006749,281.7124105,4.8190267725,3.6507131231832983,-0.5657920364
NGC1087,247.4456668,248.6378737,8.523745815,6.377222735972509,-1.292836834
NGC160,154.2590158,155.7776899,5.775256055,3.513719998685901,-0.7265959874
NGC1645,155.0987126,155.1968686,6.56333147,3.7604362534928115,-0.1080040297
NGC1677,92.4250546,93.1276757,10.140135195,3.217516262935548,0.8452818103
NGC171,154.6818294,155.6297842,5.89490136,4.077428093890818,0.4598484266
NGC177,155.327915,155.6546798,6.439169055,2.2530282673557953,-1.419038949
NGC180,186.869425,186.7168855,5.521452765,3.467286606545919,1.161907526
NGC192,187.4497331,185.1911327,5.748779025,2.032334584799048,1.292487121
NGC214,187.0494267,186.3132946,6.27984484,4.4022691105983816,-0.5439833839
NGC217,187.1007027,186.6136098,5.51102091,1.484935112776122,0.3731062728
NGC23,124.6102774,124.747419,6.150818435,3.118211586149234,1.131177999
NGC234,124.7387569,124.6236429,5.29524557,4.664065919308623,-0.2892374828
NGC237,125.2442294,123.3751786,7.475127305,4.617070648313002,1.541129884
NGC2449,123.2344369,124.9117969,5.120407345,2.4968743990801414,0.7332000991
NGC2486,124.4254111,124.5681072,5.12159885,3.132978401651641,-0.03775709468
NGC2487,187.0376479,187.0555249,4.381848812,2.945025583411785,-0.88576042
NGC2540,124.4511786,124.077565,4.5637216895,3.2206382769235096,0.6693445547
NGC2552,311.6319609,311.2256577,2.657562326,1.5192638600580026,-0.5348657864
NGC257,124.1505187,123.920998,4.2596157335,2.625191112452963,0.0743784896
NGC2604,187.4509254,186.6961989,4.8286102365,4.147014979621097,-0.7253217587
NGC2608,187.2970631,187.2476242,4.9822997445,2.789780836925574,-0.3329503923
NGC2730,186.8044773,187.2272772,5.69387772,4.099715800379398,-0.3477752552
NGC2776,186.7375828,187.3561908,4.8555872405,4.5763192812210045,0.7678498195
NGC2906,124.5291662,124.0649782,4.691063948,2.563988603562512,-0.1177273928
NGC2916,186.1725904,187.0452293,4.277554831,2.7409440104586267,-1.298615085
