name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
IC 2101,NE,SW,9.81E-04,2.06E-01,-1
IC1683,W,W,2.20E-04,1.00E+00,1
IC1755,SW,W,4.01E-02,2.54E-01,1
IC5376,W,W,6.57E-39,1.00E+00,1
MCG-02-02-030,SW,W,3.39E-29,1.00E+00,1
MCG-02-51-004,NE,NE,1.63E-18,1.00E+00,1
NGC1035,NE,NE,4.57E-65,1.00E+00,1
NGC1056,SW,W,4.33E-74,1.00E+00,1
NGC1084,SE,SE,1.06E-12,4.76E-02,1
NGC1093,N,N,2.19E-03,3.68E-01,1
NGC1097,SW,SW,4.47E-44,1.00E+00,1
NGC1421,NW,W,7.17E-25,1.00E+00,1
NGC157,SE,SE,4.04E-32,3.80E-08,1
NGC1637,E,E,3.04E-14,1.53E-03,1
NGC1667,E,NE,2.84E-07,1.00E+00,1
NGC169,N,N,5.31E-13,1.00E+00,1
NGC1961,S,S,1.72E-96,1.00E+00,1
NGC2280,NE,NE,6.70E-82,1.00E+00,1
NGC2347,E,E,1.08E-07,1.00E+00,1
NGC24,NW,NW,1.56E-47,1.00E+00,1
NGC2403,SW,SW,9.06E-95,1.00E-11,1
NGC2410,NW,NW,1.83E-32,1.00E+00,1
NGC2613,SW,S,2.42E-291,1.00E+00,1
NGC2639,NE,NE,1.70E-12,1.00E+00,1
NGC2683,NW,NW,2.75E-189,1.00E+00,1
NGC2715,NW,W,1.21E-33,1.00E+00,1
NGC2742,SE,S,5.39E-24,6.68E-08,1
NGC2775,SW,W,1.36E-08,1.00E+00,1
NGC2782,N,N,6.51E-105,1.00E+00,1
NGC2841,NE,NE,3.25E-68,1.00E+00,1
NGC2903,E,SE,1.76E-48,2.78E-13,1
NGC3160,SW,SW,6.21E-12,1.00E+00,1
NGC3175,SE,SE,1.99E-114,1.00E+00,1
NGC3198,SE,SE,3.80E-149,1.00E+00,1
NGC3227,SW,W,8.85E-31,2.70E-02,1
NGC3310,E,E,4.58E-10,8.86E-07,1
NGC3312,E,W,1.04E-20,1.00E+00,-1
NGC3368,W,SW,2.83E-114,1.00E+00,1
NGC3521,W,SW,0.00E+00,1.00E+00,1
NGC3623,NE,E,1.19E-156,1.00E+00,1
NGC3627,E,E,1.34E-40,1.00E+00,1
NGC3646,NW,NW,3.92E-110,1.00E+00,1
NGC3672,SE,E,2.51E-60,1.00E+00,1
NGC3675,E,E,1.62E-209,1.00E+00,1
NGC3718,SW,W,1.05E-02,1.00E+00,1
NGC3815,NW,N,8.49E-29,1.00E+00,1
NGC3900,E,E,1.19E-83,1.00E+00,1
NGC3949,NE,NE,3.80E-21,1.87E-06,1
NGC4062,SW,S,2.40E-174,8.02E-43,1
NGC4088,SE,SE,1.40E-306,1.00E+00,1
NGC4258,W,W,0.00E+00,1.00E+00,1
NGC4293,SE,S,2.07E-34,1.00E+00,1
NGC4310,SW,W,3.51E-33,1.00E+00,1
NGC4321,NE,N,6.33E-04,1.00E+00,1
NGC4414,NE,NE,6.76E-167,1.00E+00,1
NGC4424,N,N,4.21E-22,2.01E-02,1
NGC4450,E,E,1.29E-78,1.52E-03,1
NGC4451,SW,SW,8.31E-07,5.75E-01,1
NGC4501,NE,NE,2.64E-162,1.00E+00,1
NGC4527,NW,N,1.76E-209,1.00E+00,1
NGC4569,W,W,5.04E-104,5.82E-12,1
NGC4580,SW,SW,3.28E-34,1.00E+00,1
NGC4625,SW,NE,3.48E-15,8.33E-03,-1
NGC4632,NW,NW,5.39E-28,1.00E+00,1
NGC4651,SE,S,1.94E-22,3.15E-05,1
NGC4666,SE,SE,6.73E-193,1.00E+00,1
NGC4698,SW,W,4.69E-21,3.94E-11,1
NGC4826,NE,NE,0.00E+00,1.00E+00,1
NGC5005,NW,N,1.07E-186,1.00E+00,1
NGC5033,W,W,7.33E-170,1.00E+00,1
NGC5055,S,S,3.28E-125,1.00E+00,1
NGC5236,NW,N,7.12E-28,1.00E+00,1
NGC5248,SW,SW,3.05E-65,1.00E+00,1
NGC5303,S,S,1.26E-02,1.00E+00,1
NGC5395,W,W,3.63E-110,1.00E+00,1
NGC5426,W,W,1.27E-57,1.00E+00,1
NGC5448,S,S,2.76E-77,1.00E+00,1
NGC5635,SE,SE,4.25E-69,1.00E+00,1
NGC5678,W,W,2.71E-75,1.00E+00,1
NGC5692,NW,NW,4.73E-25,1.00E+00,1
NGC5949,SW,SW,1.20E-09,1.30E-01,1
NGC5980,NW,W,2.47E-25,1.00E+00,1
NGC6015,NW,W,4.13E-50,1.00E+00,1
NGC6106,SW,SW,9.45E-03,3.55E-02,1
NGC613,SW,SW,5.42E-46,7.35E-09,1
NGC6132,NE,NE,4.82E-23,1.00E+00,1
NGC615,NE,E,5.40E-68,6.50E-01,1
NGC6181,W,W,2.37E-15,1.00E+00,1
NGC6186,NW,NW,1.10E-06,1.00E+00,1
NGC6207,NW,E,1.57E-13,1.79E-05,-1
NGC6394,NW,NW,4.69E-07,1.00E+00,1
NGC6503,SW,SW,3.00E-113,1.00E+00,1
NGC6907,SE,S,4.39E-05,1.00E+00,1
NGC6946,NW,W,1.34E-16,7.77E-14,1
NGC6951,SW,SW,4.15E-109,1.00E+00,1
NGC6978,SW,SW,1.23E-24,1.00E+00,1
NGC7311,SE,E,5.18E-33,1.00E+00,1
NGC7331,W,W,0.00E+00,1.00E+00,1
NGC7364,SE,SE,5.32E-25,1.00E+00,1
NGC7466,SE,E,4.37E-18,1.00E+00,1
NGC7479,NW,W,5.63E-87,1.00E+00,1
NGC7536,NW,NW,3.20E-07,1.00E+00,1
NGC7541,SW,S,1.46E-31,2.90E-06,1
NGC7591,NE,NE,9.16E-08,1.00E+00,1
NGC7608,SE,E,5.67E-30,1.00E+00,1
NGC7625,SE,SE,3.50E-51,1.00E+00,1
NGC7631,NW,N,2.18E-40,1.00E+00,1
NGC772,SW,SW,1.45E-62,1.00E+00,1
NGC7738,NW,NW,5.67E-02,1.00E+00,1
NGC7782,W,W,9.87E-46,1.00E+00,1
NGC7787,S,S,6.73E-19,1.00E+00,1
NGC801,SW,SW,2.20E-98,1.00E+00,1
NGC871,W,E,8.57E-03,6.18E-01,-1
NGC877,SW,SW,1.96E-41,1.00E+00,1
NGC949,SW,SW,9.39E-14,1.00E+00,1
NGC972,SW,SW,1.69E-50,1.00E+00,1
UGC10331,NE,NE,1.07E-19,4.90E-01,1
UGC10384,S,N,1.58E-03,3.06E-03,-1
UGC1057,SW,SW,1.30E-15,1.00E+00,1
UGC12519,NE,E,3.98E-13,1.00E+00,1
UGC148,SW,N,1.34E-46,1.81E-01,-1
UGC1938,SW,W,2.70E-11,1.00E+00,1
UGC2405,NE,E,4.01E-08,1.00E+00,1
UGC36,NW,W,6.46E-08,1.00E+00,1
UGC3944,SW,SW,1.58E-09,1.00E+00,1
UGC3969,NE,NE,3.50E-07,1.00E+00,1
