name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_ks_stat,g-y_ks_pval,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_ks_stat,r-y_ks_pval,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_ks_stat,i-y_ks_pval,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_ks_stat,z-y_ks_pval,z-y_label,z-y_score,total,score,GOFHER_label,
NGC2715,NW,W,E,-0.01058741323,-0.001450326354,-0.009137086872,0.1845893311,5.39E-18,W,1,0.01942553401,0.03145445453,-0.01202892052,0.1625740898,4.90E-14,W,1,0.01918418114,0.0363622915,-0.01717811036,0.2311600339,4.54E-28,W,1,-0.01374072317,0.004602206648,-0.01834292982,0.2286198137,1.85E-27,W,1,0.03001294724,0.03290478088,-0.002891833643,0.09398814564,5.83E-05,W,1,0.02977159436,0.03781261785,-0.00804102349,0.1972904318,1.64E-20,W,1,-0.003153309944,0.006052533002,-0.009205842946,0.1752751905,2.94E-16,W,1,-0.0002413528789,0.004907836968,-0.005149189847,0.2853513971,9.34E-43,W,1,-0.03316625718,-0.02685224788,-0.006314009303,0.1532599492,1.63E-12,W,1,-0.03292490431,-0.03176008485,-0.001164819456,0.07790008467,0.001537059343,W,1,10,1,W,27
NGC2742,SE,N,S,0.01948192944,0.0136425691,0.00583936034,0.1487889273,8.69E-09,S,1,0.03100615148,0.02426067693,0.006745474542,0.1337946943,3.50E-07,S,1,0.03350292606,0.01918149465,0.01432143141,0.2306805075,1.24E-20,S,1,0.02466261616,0.01424550152,0.01041711464,0.1776239908,2.32E-12,S,1,0.01152422204,0.01061810783,0.0009061142019,0.09573241061,0.0007029514671,S,1,0.01402099662,0.005538925549,0.008482071074,0.23183391,7.77E-21,S,1,0.005180686715,0.0006029324154,0.004577754299,0.1522491349,3.50E-09,S,1,0.002496774588,-0.005079182284,0.007575956873,0.2433679354,6.13E-23,S,1,-0.006343535321,-0.01001517542,0.003671640097,0.1753171857,4.73E-12,S,1,-0.008840309909,-0.004935993134,-0.003904316775,0.1407151096,6.68E-08,N,-1,8,1,S,28
NGC2775,SW,E,W,0.005108458049,0.004053217459,0.00105524059,0.159917578,8.01E-07,W,1,0.005904548797,0.004610808885,0.001293739911,0.1734657637,5.57E-08,W,1,0.00932636316,0.007984878232,0.001341484929,0.1489779922,5.37E-06,W,1,0.00846550809,0.006850880601,0.001614627489,0.1559924314,1.56E-06,W,1,0.0007960907472,0.0005575914265,0.0002384993207,0.1250443952,0.0002353407165,W,1,0.004217905111,0.003931660773,0.0002862443382,0.117564572,0.0006819224705,W,1,0.00335705004,0.002797663142,0.0005593868983,0.1578723378,1.14E-06,W,1,0.003421814364,0.003374069346,4.77E-05,0.1124698419,0.001359784564,W,1,0.002560959293,0.002240071716,0.0003208875776,0.1090162027,0.00211266746,W,1,-0.0008608550708,-0.001133997631,0.0002731425601,0.1147477741,0.0009233231379,W,1,10,1,W,29
NGC2782,N,N,S,0.002084996315,0.007001850009,-0.004916853694,0.634226042,3.18E-101,N,1,0.006011639317,0.01336209583,-0.007350456516,0.6712742707,1.10E-114,N,1,0.008662222532,0.01879055131,-0.01012832877,0.6174025481,1.65E-95,N,1,0.008041220326,0.02026729913,-0.0122260788,0.626569736,1.34E-98,N,1,0.003926643002,0.006360245825,-0.002433602822,0.5701435689,1.42E-80,N,1,0.006577226217,0.0117887013,-0.00521147508,0.5197679567,2.73E-66,N,1,0.005956224011,0.01326544912,-0.007309225108,0.5484395753,2.75E-74,N,1,0.002650583215,0.005428455473,-0.002777872258,0.3912938068,5.28E-37,N,1,0.002029581009,0.006905203295,-0.004875622286,0.4563495689,1.25E-50,N,1,-0.0006210022059,0.001476747822,-0.002097750028,0.3557564599,1.59E-30,N,1,10,1,N,30
NGC2841,NE,NE,SW,0.003411756552,0.005546020906,-0.002134264354,0.3244471957,2.60E-48,NE,1,0.003774178961,0.006514861649,-0.002740682688,0.3570629817,1.44E-58,NE,1,0.00818310992,0.01137570426,-0.003192594344,0.266424378,1.67E-32,NE,1,0.006534221108,0.009798677425,-0.003264456316,0.3139302688,3.41E-45,NE,1,0.000362422409,0.0009688407435,-0.0006064183345,0.4521013885,4.75E-95,NE,1,0.004771353368,0.005829683359,-0.00105832999,0.2036290054,4.22E-19,NE,1,0.003122464556,0.004252656519,-0.001130191963,0.2794041296,9.24E-36,NE,1,0.004408930959,0.004860842615,-0.0004519116557,0.1333785961,2.01E-08,NE,1,0.002760042147,0.003283815775,-0.0005237736281,0.1304897693,4.42E-08,NE,1,-0.001648888812,-0.00157702684,-7.19E-05,0.08316359812,0.001527696368,NE,1,10,1,NE,31
NGC2903,E,NW,SE,-0.03274665499,-0.02253674843,-0.01020990656,0.2694078567,1.74E-30,NW,-1,-0.04183259508,-0.03232170963,-0.009510885451,0.1983395607,1.25E-16,NW,-1,-0.03015638301,-0.02579797234,-0.004358410675,0.06313203982,0.04436234368,NW,-1,-0.03872104534,-0.0353637058,-0.003357339541,0.05810404483,0.07926906784,NW,-1,-0.009085940091,-0.0097849612,0.0006990211093,0.09231548346,0.0006032851882,SE,1,0.002590271975,-0.00326122391,0.005851495886,0.3858674594,6.38E-63,SE,1,-0.005974390351,-0.01282695737,0.00685256702,0.2640683028,2.69E-29,SE,1,0.01167621207,0.00652373729,0.005152474777,0.269751138,1.52E-30,SE,1,0.00311154974,-0.003041996171,0.006153545911,0.3241357355,3.36E-44,SE,1,-0.008564662326,-0.00956573346,0.001001071134,0.0821156099,0.003259189224,SE,1,2,1,SE,32
NGC3160,SW,NE,SW,0.06983368768,0.01971670807,0.05011697962,0.5681260493,1.26E-13,SW,1,0.09525233115,0.02284791115,0.07240442,0.5681260493,1.26E-13,SW,1,0.1115554165,0.01900625685,0.09254915965,0.5555986052,6.01E-13,SW,1,0.1279548738,0.02503049592,0.1029243779,0.5344181842,4.53E-12,SW,1,0.02541864346,0.003131203081,0.02228744038,0.4991605321,1.89E-10,SW,1,0.04172172881,-0.0007104512168,0.04243218003,0.4986439365,2.06E-10,SW,1,0.05812118614,0.005313787851,0.05280739829,0.4641611778,4.93E-09,SW,1,0.01630308535,-0.003841654298,0.02014473965,0.4761720263,1.65E-09,SW,1,0.03270254268,0.002182584769,0.03051995791,0.395970554,1.20E-06,SW,1,0.01639945733,0.006024239067,0.01037521826,0.2971716389,0.0005684262061,SW,1,10,1,SW,33
NGC3175,SE,NW,SE,0.02863238046,0.01983339337,0.008798987093,0.3499562787,2.59E-52,SE,1,0.04618604801,0.03124888342,0.01493716459,0.4057346837,1.17E-70,SE,1,0.05986386009,0.03627267089,0.02359118921,0.4467441474,4.11E-86,SE,1,0.06101911312,0.028949275,0.03206983811,0.4783142399,3.53E-99,SE,1,0.01755366755,0.01141549005,0.006138177497,0.4015352261,3.61E-69,SE,1,0.03123147963,0.01643927751,0.01479220212,0.4677945653,1.05E-94,SE,1,0.03238673265,0.009115881631,0.02327085102,0.5277259395,8.22E-122,SE,1,0.01367781208,0.005023787462,0.008654024619,0.4877104433,2.64E-103,SE,1,0.0148330651,-0.002299608421,0.01713267352,0.5645248769,1.78E-140,SE,1,0.001155253021,-0.007323395883,0.008478648904,0.5487686092,2.79E-132,SE,1,10,1,SE,34
NGC3198,SE,NW,SE,-0.002888077319,-0.01590363287,0.01301555556,0.3417466796,9.14E-96,SE,1,0.05757211936,0.03853022016,0.0190418992,0.4030544481,3.53E-134,SE,1,0.06226124376,0.04166370541,0.02059753835,0.3824509307,1.77E-120,SE,1,0.05872750414,0.03672687721,0.02200062693,0.3450181651,1.24E-97,SE,1,0.06046019668,0.05443385304,0.006026343642,0.3398762061,7.72E-95,SE,1,0.06514932108,0.05756733829,0.007581982791,0.3694861875,2.96E-112,SE,1,0.06161558146,0.05263051009,0.008985071375,0.2666414046,4.46E-58,SE,1,0.004689124397,0.003133485248,0.00155563915,0.1007534384,1.34E-08,SE,1,0.001155384781,-0.001803342953,0.002958727734,0.07025142136,0.0002103551966,SE,1,-0.003533739617,-0.004936828201,0.001403088584,0.09359769044,1.79E-07,SE,1,10,1,SE,35
NGC3227,SW,E,W,-0.003328503846,-0.003116854556,-0.0002116492895,0.09830100214,0.002471039183,E,-1,-0.00144672641,-0.00223089441,0.0007841679999,0.1976582425,3.58E-12,W,1,-0.004125758346,-0.004493070822,0.0003673124759,0.1141445758,0.000242210862,W,1,-0.0004188367714,-0.00170339668,0.001284559909,0.1991266713,2.39E-12,W,1,0.001881777436,0.0008859601465,0.0009958172894,0.370153541,3.11E-42,W,1,-0.0007972545004,-0.001376216266,0.0005789617654,0.09956333565,0.002080350372,W,1,0.002909667074,0.001413457876,0.001496209198,0.2943748873,1.25E-26,W,1,-0.002679031936,-0.002262176412,-0.000416855524,0.05058350723,0.3307204733,E,-1,0.001027889639,0.0005274977296,0.0005003919089,0.1828580261,1.75E-10,W,1,0.003706921575,0.002789674142,0.0009172474329,0.154887034,1.23E-07,W,1,6,1,W,36
NGC3310,E,E,W,0.04109747213,0.05236754752,-0.01127007538,0.362745098,1.22E-09,E,1,0.05506455239,0.06097710876,-0.005912556364,0.2980222392,1.28E-06,E,1,0.07202583971,0.07853532271,-0.006509483,0.2647483236,2.57E-05,E,1,0.06886314964,0.07853403229,-0.009670882648,0.3103726339,3.73E-07,E,1,0.01396708026,0.008609561242,0.005357519018,0.3239113827,9.45E-08,W,-1,0.03092836758,0.0261677752,0.004760592383,0.2654698243,2.43E-05,W,-1,0.02776567751,0.02616648477,0.001599192735,0.2198879552,0.0008297548645,W,-1,0.01696128732,0.01755821395,-0.0005969266358,0.1619981326,0.02881579721,E,1,0.01379859725,0.01755692353,-0.003758326284,0.3176300823,1.85E-07,E,1,-0.003162690068,-1.29E-06,-0.003161399648,0.4145233851,1.62E-12,E,1,4,1,E,37
NGC3312,E,E,W,-0.004514379278,-0.005446886333,0.0009325070553,0.07816017364,0.0311098259,W,-1,-0.004143491588,-0.005742692807,0.001599201219,0.1753362125,1.90E-09,W,-1,-0.002836772113,-0.004686139076,0.001849366963,0.239958379,2.29E-17,W,-1,-0.005241858422,-0.007317139326,0.002075280903,0.1785495312,8.77E-10,W,-1,0.0003708876905,-0.0002958064735,0.000666694164,0.2311239902,3.70E-16,W,-1,0.001677607165,0.0007607472578,0.0009168599076,0.3872272819,2.63E-45,W,-1,-0.0007274791444,-0.001870252992,0.001142773848,0.2266463783,1.49E-15,W,-1,0.001306719475,0.001056553731,0.0002501657436,0.2705072837,4.46E-22,W,-1,-0.001098366835,-0.001574446519,0.0004760796838,0.1740249278,2.59E-09,W,-1,-0.00240508631,-0.00263100025,0.0002259139402,0.06550829063,0.1066541976,W,-1,-10,-1,W,38
NGC3368,W,NE,SW,0.004640608046,0.0001225916997,0.004518016346,0.5132036509,3.06E-139,SW,1,0.01283279674,0.003736587765,0.009096208971,0.5139417969,9.91E-140,SW,1,0.01909548178,0.007614654415,0.01148082736,0.4785565981,2.53E-120,SW,1,0.0174177259,0.005446878856,0.01197084705,0.4793067586,8.91E-121,SW,1,0.00819218869,0.003613996065,0.004578192625,0.4143251371,2.13E-89,SW,1,0.01445487373,0.007492062716,0.006962811017,0.345136159,1.45E-61,SW,1,0.01277711786,0.005324287157,0.0074528307,0.3935519236,1.87E-80,SW,1,0.006262685042,0.00387806665,0.002384618392,0.2318018495,1.08E-27,SW,1,0.004584929166,0.001710291091,0.002874638075,0.3244575604,2.69E-54,SW,1,-0.001677755876,-0.002167775559,0.0004900196825,0.06370432112,0.01735930272,SW,1,10,1,SW,39
NGC3521,W,NE,SW,0.0006396867578,-0.0009414222197,0.001581108978,0.4010874947,1.09E-103,SW,1,-0.002729299046,-0.006091454764,0.003362155718,0.2188989969,1.23E-30,SW,1,0.004581118782,0.0009293134408,0.003651805341,0.6628610525,5.28E-299,SW,1,0.002899169683,-0.001979635615,0.004878805298,0.699844936,0,SW,1,-0.003368985803,-0.005150032544,0.00178104674,0.1246847065,3.30E-10,SW,1,0.003941432024,0.001870735661,0.002070696363,0.6210278862,2.87E-259,SW,1,0.002259482925,-0.001038213395,0.003297696321,0.6914967233,0,SW,1,0.007310417827,0.007020768205,0.0002896496227,0.4507386738,8.71E-132,SW,1,0.005628468729,0.004111819148,0.00151664958,0.5540516438,5.54E-203,SW,1,-0.001681949099,-0.002908949056,0.001226999957,0.483393728,4.99E-152,SW,1,10,1,SW,40
NGC3623,NE,E,W,0.01142352534,0.01451809419,-0.003094568845,0.2190032852,2.79E-38,E,1,0.01408072957,0.01837427067,-0.0042935411,0.2039328664,3.06E-33,E,1,0.01308470328,0.01835455389,-0.005269850611,0.2567248822,1.28E-52,E,1,0.00740469121,0.01344484822,-0.006040157015,0.3551045983,2.76E-101,E,1,0.002657204222,0.003856176477,-0.001198972255,0.1496400158,5.03E-18,E,1,0.001661177936,0.003836459702,-0.002175281766,0.3397837316,1.63E-92,E,1,-0.004018834135,-0.001073245965,-0.002945588169,0.4524534942,1.87E-166,E,1,-0.0009960262864,-1.97E-05,-0.0009763095113,0.242978039,4.50E-47,E,1,-0.006676038357,-0.004929422442,-0.001746615914,0.2912261696,9.00E-68,E,1,-0.00568001207,-0.004909705667,-0.0007703064032,0.1821753951,1.32E-26,E,1,10,1,E,41
NGC3627,E,W,E,0.01302481205,0.009766390599,0.003258421449,0.1808548456,5.11E-25,E,1,0.0177428359,0.01327733106,0.004465504839,0.1872149,8.46E-27,E,1,0.01941401086,0.01413381835,0.005280192513,0.1895547216,1.84E-27,E,1,0.01494602969,0.00881325349,0.006132776197,0.2035359867,1.28E-31,E,1,0.004718023849,0.003510940459,0.00120708339,0.1738726931,3.80E-23,E,1,0.006389198812,0.004367427748,0.002021771064,0.188388542,3.95E-27,E,1,0.00192121764,-0.0009531371087,0.002874354749,0.219759383,7.47E-37,E,1,0.001671174962,0.0008564872887,0.0008146876737,0.1837367134,8.07E-26,E,1,-0.002796806209,-0.004464077568,0.001667271358,0.2784475904,3.35E-59,E,1,-0.004467981172,-0.005320564856,0.0008525836846,0.08507344421,7.22E-06,E,1,10,1,E,42
NGC3646,NW,NW,SE,0.002871006628,0.008706339783,-0.005835333155,0.3530536855,3.30E-47,NW,1,0.002966728267,0.009474172256,-0.006507443989,0.4728272138,7.20E-86,NW,1,0.007802377009,0.01678808676,-0.008985709755,0.4845739481,3.63E-90,NW,1,0.004052494264,0.01360016467,-0.009547670403,0.5094934432,4.83E-100,NW,1,9.57E-05,0.0007678324733,-0.0006721108342,0.2076102702,2.47E-16,NW,1,0.004931370381,0.008081746982,-0.003150376601,0.387003271,1.15E-56,NW,1,0.001181487636,0.004893824885,-0.003712337249,0.3279113296,1.08E-40,NW,1,0.004835648742,0.007313914509,-0.002478265767,0.2779312884,3.73E-29,NW,1,0.001085765997,0.004125992412,-0.003040226414,0.3492664638,3.32E-46,NW,1,-0.003749882745,-0.003187922097,-0.0005619606478,0.07851890719,0.01023732028,NW,1,10,1,NW,43
NGC3672,SE,W,E,0.02071412956,0.007054085359,0.0136600442,0.3686928705,1.93E-62,E,1,0.06051003493,0.04191041633,0.0185996186,0.3099164129,5.63E-44,E,1,0.07090952007,0.04607975327,0.02482976679,0.3255029891,2.13E-48,E,1,0.07670226392,0.04791603881,0.02878622511,0.3314179146,2.59E-50,E,1,0.03979590536,0.03485633097,0.004939574399,0.1759278249,2.42E-14,E,1,0.05019539051,0.03902566791,0.01116972259,0.2188800359,5.22E-22,E,1,0.05598813436,0.04086195345,0.01512618091,0.230500967,3.10E-24,E,1,0.01039948514,0.004169336948,0.006230148192,0.2940758743,2.27E-39,E,1,0.01619222899,0.006005622483,0.01018660651,0.321666721,2.15E-47,E,1,0.005792743853,0.001836285535,0.003956458318,0.2208714836,2.09E-22,E,1,10,1,E,44
NGC3675,E,E,W,0.0002446647768,0.005716030884,-0.005471366107,0.7062579435,1.53E-195,E,1,0.004507711169,0.01330940428,-0.008801693112,0.6673606488,2.78E-172,E,1,0.003231264126,0.01513830258,-0.01190703845,0.6940628215,4.35E-188,E,1,0.004521615968,0.01761162595,-0.01309000998,0.6942534649,3.77E-188,E,1,0.004263046392,0.007593373397,-0.003330327005,0.5708920898,6.32E-123,E,1,0.00298659935,0.009422271696,-0.006435672346,0.6600859408,3.95E-168,E,1,0.004276951191,0.01189559506,-0.007618643871,0.6705743509,3.26E-174,E,1,-0.001276447043,0.001828898299,-0.003105345341,0.6529625371,3.93E-164,E,1,1.39E-05,0.004302221664,-0.004288316866,0.752747685,8.14E-226,E,1,0.001290351841,0.002473323365,-0.001182971524,0.4700236035,9.77E-82,E,1,10,1,E,45
