name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,g-y_pos_mean,g-y_neg_mean,g-y_mean_diff,g-y_ks_stat,g-y_ks_pval,g-y_label,g-y_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,r-y_pos_mean,r-y_neg_mean,r-y_mean_diff,r-y_ks_stat,r-y_ks_pval,r-y_label,r-y_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,i-y_pos_mean,i-y_neg_mean,i-y_mean_diff,i-y_ks_stat,i-y_ks_pval,i-y_label,i-y_score,z-y_pos_mean,z-y_neg_mean,z-y_mean_diff,z-y_ks_stat,z-y_ks_pval,z-y_label,z-y_score,total,score,GOFHER_label
IC674,sw,NE,SW,-0.001018211148,-0.004344611217,0.003326400069,0.2123162812,0.004067463308,SW,1,0.009499826617,0.003417834478,0.006081992139,0.4572177282,4.51E-13,SW,1,0.0155587283,0.00753014696,0.008028581337,0.471117694,8.43E-14,SW,1,0.0121173278,0.00370191086,0.008415416938,0.4553378147,7.09E-13,SW,1,0.01051803776,0.007762445694,0.002755592071,0.2421100604,0.0006456060421,SW,1,0.01657693944,0.01187475818,0.004702181268,0.2358436824,0.0009751084063,SW,1,0.01313553895,0.008046522076,0.00508901687,0.2507690555,0.0003633984275,SW,1,0.00605890168,0.004112312483,0.001946589197,0.2071892446,0.005472167035,SW,1,0.002617501181,0.0002840763819,0.002333424799,0.2236527287,0.002083428956,SW,1,-0.003441400499,-0.003828236101,0.0003868356017,0.05958755839,0.9544795713,SW,1,10,1,SW
IC776,sw,N,S,-0.03383461669,-0.03637247104,0.002537854357,0.1091174907,0.01575673119,S,1,-0.1230720959,-0.1335478688,0.01047577283,0.1385661123,0.000836719785,S,1,-0.1492329128,-0.1609499663,0.01171705351,0.08337130706,0.1163554553,S,1,-0.1171122167,-0.1377413616,0.0206291449,0.150489861,0.0002069319552,S,1,-0.08923747925,-0.09717539773,0.007937918475,0.1103896104,0.01414475076,S,1,-0.1153982961,-0.1245774952,0.009179199149,0.07401078454,0.2110394446,S,1,-0.08327759998,-0.1013688905,0.01809129054,0.1619958988,4.93E-05,S,1,-0.02616081682,-0.02740209749,0.001241280674,0.05551758183,0.5456577693,S,1,0.005959879276,-0.004193492787,0.01015337206,0.09043441938,0.07107025488,S,1,0.03212069609,0.0232086047,0.00891209139,0.1083200425,0.01692733318,S,1,10,1,S
IRAS03056+2034,ne,NE,SW,0.01719454068,0.01552868083,0.00166585985,0.2395833333,0.007892960705,SW,-1,0.01135146416,0.01183060205,-0.0004791378847,0.0625,0.9925465013,NE,1,0.01137493228,0.0106546691,0.0007202631861,0.2395833333,0.007892960705,SW,-1,0.01120606403,0.01155078576,-0.0003447217331,0.1354166667,0.3435937597,NE,1,-0.005843076519,-0.003698078785,-0.002144997734,0.1979166667,0.04631391944,NE,1,-0.005819608399,-0.004874011735,-0.0009455966636,0.1458333333,0.2599850474,NE,1,-0.005988476654,-0.003977895071,-0.002010581583,0.1666666667,0.1391423972,NE,1,2.35E-05,-0.00117593295,0.001199401071,0.2708333333,0.001662750978,SW,-1,-0.0001454001352,-0.0002798162868,0.0001344161516,0.1354166667,0.3435937597,SW,-1,-0.0001688682557,0.0008961166635,-0.001064984919,0.1145833333,0.5565649543,NE,1,2,1,NE
NGC1,sw,NE,SW,0.009734487519,0.003994657016,0.005739830503,0.4765370732,7.52E-14,SW,1,0.01725480632,0.007934896521,0.009319909796,0.4388425351,7.87E-12,SW,1,0.02036945417,0.008445272107,0.01192418207,0.4792591278,3.39E-14,SW,1,0.01762672644,0.003225816901,0.01440090953,0.5864844074,1.71E-21,SW,1,0.007520318799,0.003940239505,0.003580079294,0.4174803243,8.44E-11,SW,1,0.01063496665,0.004450615091,0.006184351564,0.462098349,3.89E-13,SW,1,0.007892238917,-0.0007688401151,0.008661079032,0.5932895438,5.16E-22,SW,1,0.003114647856,0.0005103755856,0.00260427227,0.5162435647,1.75E-16,SW,1,0.0003719201183,-0.00470907962,0.005080999739,0.5627551926,9.86E-20,SW,1,-0.002742727738,-0.005219455206,0.002476727468,0.3112018463,4.12E-06,SW,1,10,1,SW
NGC1012,se,W,E,0.02280773359,0.01355276598,0.009254967609,0.2637145629,2.90E-14,E,1,0.02415725682,0.005179105925,0.0189781509,0.2864071904,8.12E-17,E,1,0.02385138469,0.01740684062,0.006444544067,0.1770024945,1.21E-06,E,1,0.03006838621,0.02687529252,0.003193093695,0.1554531596,3.16E-05,E,1,0.00134952323,-0.008373660059,0.009723183289,0.1969086554,4.06E-08,E,1,0.001043651093,0.003854074635,-0.002810423542,0.176359083,1.38E-06,W,-1,0.007260652619,0.01332252653,-0.006061873914,0.2165376544,1.04E-09,W,-1,-0.0003058721365,0.01222773469,-0.01253360683,0.2841008077,1.50E-16,W,-1,0.00591112939,0.02169618659,-0.0157850572,0.3073131137,3.05E-19,W,-1,0.006217001526,0.009468451898,-0.003251450372,0.08572220462,0.06768833611,W,-1,0,0,-
NGC1042,s,N,S,0.009441142057,0.009321209406,0.0001199326503,0.03730394235,0.1842233282,S,1,0.01190864688,0.01176669586,0.0001419510164,0.1280263281,1.74E-12,S,1,0.00972372064,0.00936545626,0.0003582643794,0.08288518062,1.74E-05,S,1,0.004421272085,0.004944431306,-0.0005231592211,0.04993746911,0.02833922402,N,-1,0.002467504821,0.002445486455,2.20E-05,0.0668832528,0.001002009515,S,1,0.0002825785831,4.42E-05,0.000238331729,0.07547399471,0.000122165254,S,1,-0.005019869972,-0.0043767781,-0.0006430918714,0.0357729469,0.2234563342,N,-1,-0.002184926238,-0.002401239601,0.0002163133629,0.03587109666,0.2203788621,S,1,-0.007487374793,-0.006822264555,-0.0006651102375,0.07206443408,0.0002918443448,N,-1,-0.005302448555,-0.004421024954,-0.0008814236005,0.08072447887,3.06E-05,N,-1,2,1,S
NGC1058,nw,N,S,0.02646383337,0.0288546323,-0.002390798927,0.1486842105,9.59E-08,N,1,0.02277726947,0.02516409134,-0.002386821874,0.1434210526,3.11E-07,N,1,0.03762852057,0.04009011638,-0.002461595803,0.1355263158,1.67E-06,N,1,0.0359915574,0.03803906648,-0.002047509085,0.1210526316,2.86E-05,N,1,-0.003686563902,-0.003690540956,3.98E-06,0.1407894737,5.51E-07,S,-1,0.0111646872,0.01123548408,-7.08E-05,0.09736842105,0.001475462762,N,1,0.009527724026,0.009184434184,0.0003432898422,0.1118421053,0.0001467089754,S,-1,0.01485125111,0.01492602503,-7.48E-05,0.07894736842,0.01750088748,N,1,0.01321428793,0.01287497514,0.0003393127886,0.07105263158,0.04309234402,S,-1,-0.001636963177,-0.002051049895,0.0004140867177,0.07105263158,0.04309234402,S,-1,2,1,N
NGC1068,w,NW,SE,-0.02370293688,-0.02140427546,-0.00229866142,0.114010989,0.001415732573,NW,1,-0.0287723329,-0.0291289373,0.0003566044001,0.07648510909,0.07491586642,SE,-1,-0.02218007788,-0.02323111938,0.001051041494,0.2049291288,1.39E-10,SE,-1,-0.00748540481,-0.01119297662,0.003707571815,0.2661052715,1.30E-17,SE,-1,-0.005069396025,-0.007724661844,0.00265526582,0.2491240643,1.83E-15,SE,-1,0.001522858996,-0.001826843918,0.003349702914,0.3134057971,2.35E-24,SE,-1,0.01621753207,0.01021129883,0.006006233234,0.285216595,3.46E-20,SE,-1,0.006592255021,0.005897817927,0.0006944370944,0.3218665393,1.16E-25,SE,-1,0.02128692809,0.01793596068,0.003350967415,0.2268076127,7.02E-13,SE,-1,0.01469467307,0.01203814275,0.00265653032,0.1999323141,4.30E-10,SE,-1,-8,-1,SE
NGC1073,sw,NW,SE,-0.008608996352,-0.01110375864,0.002494762286,0.1237608273,1.93E-07,SE,0,-0.007358154367,-0.008837468266,0.001479313899,0.08010572078,0.002247542538,SE,0,-0.008940202994,-0.01357803496,0.004637831967,0.1179423421,8.52E-07,SE,0,-0.01667075671,-0.01941120834,0.00274045163,0.08098123813,0.00193690422,SE,0,0.001250841985,0.002266290372,-0.001015448387,0.1679840595,2.22E-13,NW,0,-0.000331206642,-0.002474276323,0.002143069681,0.1386748125,3.05E-09,SE,0,-0.008061760358,-0.008307449702,0.0002456893443,0.050324408,0.1348511369,SE,0,-0.001582048627,-0.004740566695,0.003158518068,0.3284919145,2.14E-50,SE,0,-0.009312602343,-0.01057374007,0.001261137732,0.05096938159,0.1257154238,SE,0,-0.007730553716,-0.005833173379,-0.001897380337,0.1407085378,1.71E-09,NW,0,0,0,SE
NGC1087,nw,W,E,0.005919135421,0.001192623148,0.004726512273,0.1651912165,5.67E-14,E,-1,0.004165882053,-0.001900361031,0.006066243084,0.1814889815,9.81E-17,E,-1,-0.0005910441914,-0.009086276261,0.008495232069,0.1814490762,9.85E-17,E,-1,0.0003968948288,-0.006400269439,0.006797164268,0.1639150316,1.02E-13,E,-1,-0.001753253367,-0.003092984178,0.001339730811,0.06154325257,0.02601502211,E,-1,-0.006510179612,-0.01027889941,0.003768719796,0.1294533453,1.02E-08,E,-1,-0.005522240592,-0.007592892586,0.002070651995,0.1056933025,5.82E-06,E,-1,-0.004756926245,-0.00718591523,0.002428988985,0.1900999039,2.29E-18,E,-1,-0.003768987224,-0.004499908408,0.0007309211836,0.09709489933,4.19E-05,E,-1,0.0009879390201,0.002686006822,-0.001698067802,0.09181801964,0.0001308425855,W,1,-8,-1,E
