name,x,y,a,b,theta
IC1683,76.57411751,76.22629328,34.1753676025,19.62937472241138,1.296511409
IC1755,93.34574387,93.68800655,44.820979885,12.758073667868892,1.124852359
IC2101,114.6337465,110.9089032,59.96270549625,13.588906723463104,0.9997895376
IC5376,110.7901562,111.1593851,50.12289891499999,15.338321602390504,-1.5048161
NGC1035,155.4729625,151.4943795,95.8932414725,24.960368152558924,0.9935041201
NGC1056,153.6561989,154.0036527,40.0776641,22.80925676209316,1.159574295
NGC1084,137.4316767,137.2428619,69.5829447215,40.792519731781695,-0.8757227553
NGC1093,81.37855214,80.78750008,34.31766217249999,20.683977018782148,0.3179102453
NGC157,187.7548562,187.3377245,96.576394515,36.869135107950775,-0.9962219639
NGC1667,91.6727137,92.50275282,42.41445419,28.99891089947239,1.502616894
NGC169,110.4641909,110.7584796,42.114736952499996,18.072988926778933,-0.02257063213
NGC2347,99.4160073,126.85849579999999,38.549800388,23.72529254587102,-1.471979033
NGC2410,154.3745804,154.1825148,63.835393867499995,21.904903386875375,-0.9652318679
NGC2639,74.93841584,74.1262251,36.229125021749994,18.648001906502234,0.7812429438
NGC2683,304.7957797,304.9516222,222.71281446249998,62.44013915907792,-0.8380477553
NGC2742,217.3329992,219.886275,105.616374144,51.721373812896445,-0.08206359718
NGC2775,186.2921227,187.8228215,54.06177838,45.30975233961013,1.201923773
NGC2841,310.55981,312.0017798,79.3346947375,41.91921926833649,1.082883615
NGC2903,311.2143878,301.5989261,10.121699459999999,7.100702358525186,-1.074896546
NGC3160,79.30816228,81.43620695,44.01993676474999,12.690312975914848,0.8634219994
NGC3198,375.2085989,375.8374219,171.32327895,59.11283697241749,-0.8742770142
NGC3227,249.1787858,250.2991004,103.50490441250001,45.17666232069523,1.089079417
NGC3310,124.8060965,120.5351556,50.00084301,48.57004557630427,-0.8133782814
NGC3368,249.6832408,249.699647,77.7967454675,53.68436868185265,0.9069300561
NGC3521,373.1492068,374.4208186,191.62420105249998,102.77504659020836,1.247860852
NGC3623,375.0012952,373.9580837,222.67915909750002,81.59565093000663,1.407111396
NGC3627,375.2358553,373.6590859,99.8063657175,44.69068785413274,1.23836005
NGC3646,249.3126438,249.2280085,58.829717835,32.71426110485106,-0.7104772577
NGC3672,313.579514,312.1821462,102.78273675249999,41.99810757380506,-1.454680375
NGC3675,313.1508751,312.1627124,110.85500267825,53.35321798031247,1.565005227
NGC3718,496.1304473,502.9498769,112.99502022499999,64.78846497292704,-1.144157078
NGC3815,123.6308406,123.8561386,43.729628355,18.462582264425155,-0.3611091727
NGC3900,187.3785106,186.8996539,60.2497504625,35.263319340406966,-1.566769216
NGC3949,187.5814257,186.5871608,72.4959194325,42.379951106768694,0.5646677927
NGC4062,311.2413541,312.1579329,76.6503282,42.81131866428785,0.2504467895
NGC4088,375.4963812,378.7932888,213.32704349749997,85.40288119345087,-0.6549715853
NGC4293,220.9134898,222.1173365,120.7392359575,35.980065839514126,-0.2037503193
NGC4310,92.89782081,92.12656398,45.7667401525,19.80693204613595,1.190244225
NGC4414,217.6371855,216.8280278,79.76610453999999,45.01787141941004,1.197072682
NGC4424,186.7618216,185.6572629,71.73037887250001,29.268925316007092,0.1566282924
NGC4450,313.460229,312.3035748,83.75650099500001,49.855636681953605,-1.504269914
NGC4451,56.04164946,58.60185685,37.150569357500004,20.462117001948734,1.206116493
NGC4501,374.8948298,373.0336311,123.53707395625001,62.152826665614974,0.9032785021
NGC4527,435.9889286,435.4808922,129.76376749,38.79761210966091,-0.3941981151
NGC4569,434.8078143,436.8660106,262.4641496975,111.62858995375687,-1.195041346
NGC4580,123.8440411,124.8124847,54.98712944625,37.628621513548204,1.061384811
NGC4625,155.4749006,155.3275219,38.26256879,34.63362877346369,-1.247805833
NGC4632,216.037315,216.4568888,84.44341596250001,34.17215697092402,-0.5036447777
NGC4651,236.6595336,236.8235535,64.23519006149999,42.24172719391802,-0.2347590874
NGC4666,282.0540903,281.2141752,128.9092750525,33.745849114090696,-0.8610115144
NGC4698,217.9332416,218.1156634,67.2357485375,48.02471085930146,1.351741829
NGC4826,311.7796442,311.2160593,123.90174126500001,78.74006901242072,0.3453680248
NGC5005,310.1413197,307.8015162,113.32584439499999,39.617048832314225,-0.3818416281
NGC5055,437.6533644,441.0317672,228.60825555999998,129.9342464463482,0.1873191041
NGC5248,373.9964127,374.6690097,35.69162256925,24.758871052428916,0.412898628
NGC5303,67.67580032,68.90915986,35.243570504999994,17.90993114041547,-0.0931011113
NGC5395,249.1654139,249.8606271,85.10102410675,35.96320126280723,1.537116896
NGC5448,217.3001486,217.9687418,98.08467919075,36.110294072925555,0.1974847865
NGC5635,156.3789526,156.7050668,51.967924655,24.58801427867375,-0.4610017885
NGC5678,187.0486958,187.2925059,61.040707544250004,37.274326643103855,1.557862271
NGC5692,61.57772823,61.38250171,29.04775341,17.985327768844268,-0.9246772327
NGC5949,154.3655129,155.4550259,75.43204910475,35.24758880198023,0.9401325512
NGC5980,122.5834397,123.825614,54.876320735,21.010765719755817,-1.339095137
NGC6015,309.2474548,311.1255385,97.47996984500001,52.893395677817864,-1.014712546
NGC6106,186.7232508,185.7009668,67.0291108975,43.09879062005421,0.8992475743
NGC6132,93.30259367,92.70444103,40.563542225,15.063463761518918,0.6260398438
NGC615,187.0513134,187.4561543,68.2574816925,27.241222709583667,1.210354137
NGC6181,155.0684651,154.1952338,57.587379279249994,34.441487135012,1.420380214
NGC6186,92.84678274,92.40457245,50.7753813625,19.142249060243035,-0.6099735492
NGC6207,187.3778501,203.5885676,74.53196424975,32.60663779025536,-1.247203375
NGC6394,74.17716997,74.79371344,41.23596255699999,13.073414170152297,-0.9712025476
NGC6978,86.06999219,86.894446,44.59536427575,16.976635080600072,0.6452656546
NGC7311,121.8040874,128.4115107,46.5900378675,22.93289939592441,-1.344385176
NGC7331,371.7504077,376.636675,93.54695770999999,30.632512395933905,1.328908394
NGC7364,93.67030023,93.86354007,35.886772269999994,23.640799383874423,-0.4128225953
NGC7466,79.5413145,80.21462461,36.85357370999999,19.980743478155112,-1.162780077
NGC7479,249.2145913,248.9172788,86.91265275,29.25910572862883,-1.395954826
NGC7536,124.2986066,123.3979874,57.358697250249996,22.3331238889887,-0.5892958627
