name,x,y,a,b,theta
IC750,187.7898652,187.5340502,66.9060597775,25.030054117392293,-0.870833743
NGC1309,124.5852467,125.4952099,45.5810635,39.6205280714165,-1.449804614
NGC1324,186.1302356,187.5202524,76.07978329425,23.364586962396707,0.8724058234
NGC2268,155.6754761,157.2623478,62.0983366575,33.19759118384738,-0.4825887543
NGC2713,186.7769359,186.8323682,56.87697957,36.5844509091001,0.4791467371
NGC3003,290.8858351,281.1467091,105.60482868749999,31.236428825979818,-0.1804883935
NGC3185,124.8828981,124.8676656,72.73303761,38.77869727311679,0.5569987276
NGC3370,218.2296424,218.2412806,60.0741317125,34.394578366861964,0.9887553406
NGC3430,217.343819,217.1147515,79.71711341574999,42.907278409958984,-0.9852043409
NGC3726,467.9882839,467.951893,168.64910841449998,93.11535349614354,-1.372019422
NGC3813,156.7564199,153.2847073,69.93759972250001,30.250350383436654,-0.119054766
NGC3877,278.9844698,283.6616917,154.1564056525,36.155093449018175,-0.9584492856
NGC3917,310.9788252,312.1779023,136.6310484725,36.13497074211835,-0.2308888034
NGC4096,372.4252215,373.1250883,247.85956915,69.25784914519396,-1.232638239
NGC4162,185.5753217,186.968375,58.53786532325,38.601791684304885,1.375836914
NGC4178,314.2802541,307.2900343,89.74659355,25.019883376702893,-0.9848911476
NGC4192,437.019593,434.7603519,284.961569755,72.24616329164333,1.070943909
NGC4220,189.168402,185.8462627,85.6026730225,28.29336081391349,0.8130398695
NGC4274,187.160757,188.4026528,61.87193121,47.22821216232715,-0.04426021285
NGC4579,311.3133955,311.1473142,66.23221585925,42.29955224419044,-0.4645280832
NGC4586,250.1811019,248.4789819,107.5963665125,40.30072705079023,0.4635167361
NGC4602,246.5360616,252.2112072,64.91877305324999,27.717315664336272,0.4205924409
NGC470,154.2345777,154.6295723,77.52984815775,51.094703045068854,1.281972544
NGC4771,249.7305106,248.4222795,105.2524327825,26.679850783410092,0.7701277969
NGC4800,60.65740187,62.33975872,26.134401572499996,19.423028693150574,-1.049280001
NGC4845,218.4652594,218.9108489,129.51504091125,37.55830542470069,-0.2639597432
NGC5443,187.2507393,186.9391481,79.75077525249999,28.86549664166019,-0.8517647145
NGC5522,125.301464,124.7798654,48.975384767250006,14.390180984749328,-0.6548799496
NGC5533,124.9350443,124.7755911,42.00506537825,26.48826455288801,-1.090692245
NGC5559,124.6754858,124.5669322,41.260219505,12.203310075534286,-0.5079294172
NGC5587,122.7570186,123.922307,58.71428971625,21.041269465505813,1.27775182
NGC5616,156.2965491,154.3567837,67.9175927325,15.090545669185701,1.176308397
NGC5656,124.8625908,124.6620605,34.0519359695,22.980228694291142,-0.6301123586
NGC5676,187.4003194,187.4647745,79.3108966575,38.580798837546965,-0.781895421
NGC5690,189.1637688,194.0412334,146.99432281,46.16596361598707,0.9028372816
NGC5750,124.7737875,123.1227602,64.72974594200001,47.46572330678931,-0.3027985085
NGC716,123.6159907,123.1730947,39.8371476175,22.12289372130375,-0.5147252429
NGC7448,123.4835062,124.0451035,54.3015691675,26.197839926109797,1.396540212
NGC7721,185.7357033,186.4433098,48.901084735,26.111802676469438,-1.383686865
NGC779,175.9485716,179.4324944,84.54372437999999,29.127997527231457,1.235859923
NGC787,92.66394105,93.53047323,36.10028811,29.691362336313105,-0.1769457813
