name,paper_label,ebm_label,ebm_pval,score
IC750,SE,SE,9.519E-18,1
IC764,E,E,1.540E-08,1
NGC1309,SW,W,1.686E-09,1
NGC1324,SW,SW,5.606E-42,1
NGC1337,NE,E,7.949E-25,1
NGC1353,SW,SW,8.878E-37,1
NGC1385,W,NE,1.292E-25,-1
NGC1415,SW,SW,1.052E-18,1
NGC150,NE,N,5.282E-23,1
NGC1964,NW,NW,1.204E-25,1
NGC210,E,E,2.077E-01,1
NGC2268,S,SE,4.029E-42,1
NGC255,NW,NW,4.873E-06,1
NGC2713,N,NE,3.298E-10,1
NGC2748,SE,SE,7.455E-32,1
NGC2815,E,SE,4.180E-08,1
NGC3003,N,N,4.838E-15,1
NGC3185,SW,SW,4.931E-08,1
NGC3200,N,NE,1.076E-15,1
NGC3370,NE,NE,1.974E-18,1
NGC3430,NW,W,8.970E-19,1
NGC3726,W,E,1.073E-08,-1
NGC3813,N,N,7.398E-18,1
NGC3877,SE,SE,5.105E-27,1
NGC3887,W,W,4.342E-19,1
NGC3917,SE,S,1.246E-13,1
NGC4094,NW,NW,2.180E-04,1
NGC4096,NW,W,2.920E-25,1
NGC4162,W,W,4.684E-17,1
NGC4178,SE,SE,1.514E-02,1
NGC4192,NE,NE,2.134E-40,1
NGC4220,NE,NE,9.283E-49,1
NGC4274,NE,N,1.858E-36,1
NGC4579,NW,N,5.715E-09,1
NGC4586,NE,NE,1.656E-19,1
NGC4593,NW,N,5.458E-02,1
NGC4602,S,S,4.173E-48,1
NGC470,SW,W,1.355E-14,1
NGC4771,NE,NE,8.328E-15,1
NGC4800,W,NW,5.497E-19,1
NGC4845,SE,S,1.406E-33,1
NGC4951,N,N,1.082E-57,1
NGC5443,SE,SE,2.848E-07,1
NGC5522,SE,SE,1.394E-02,1
NGC5533,SE,SE,5.533E-26,1
NGC5559,SE,SE,1.216E-21,1
NGC5587,SW,W,8.414E-32,1
NGC5616,NE,E,1.791E-22,1
NGC5656,SE,SE,1.349E-36,1
NGC5676,SE,SE,2.111E-16,1
NGC5690,SW,SW,1.272E-09,1
NGC5750,NW,N,4.825E-39,1
NGC6118,NW,NW,2.048E-12,1
NGC716,NW,NW,2.184E-08,1
NGC7184,NW,N,5.130E-20,1
NGC7314,E,E,8.948E-11,1
NGC7392,NE,N,1.338E-39,1
NGC7448,SW,W,4.644E-04,1
NGC7721,W,W,2.719E-29,1
NGC779,NE,NE,1.092E-20,1
NGC787,SE,S,1.796E-24,1
