name,paper_label,ebm_label,ebm_pval_winning,ebm_pval_losing,score
NGC4204,nw,SW,2.26E-05,3.58E-02,0
NGC4210,sw,S,4.48E-04,5.16E-03,1
NGC4236,ne,E,6.60E-05,1.00E+00,1
NGC4254,se,SE,8.43E-51,1.00E+00,1
NGC428,sw,NE,2.94E-24,6.37E-18,-1
NGC4299,nw,NE,2.32E-22,1.04E-06,0
NGC4303,ne,NW,6.01E-69,1.35E-47,0
NGC4351,nw,S,4.69E-17,6.86E-02,-1
NGC444,ne,E,1.33E-28,1.00E+00,1
NGC4457,se,S,4.43E-08,7.26E-01,1
NGC4470,ne,W,2.79E-03,7.03E-03,-1
NGC4487,s,N,2.77E-20,2.50E-08,-1
NGC4490,sw,NE,6.27E-51,1.00E+00,-1
NGC4496A,se,NW,1.68E-11,3.52E-07,-1
NGC45,sw,SW,5.09E-12,1.00E+00,1
NGC450,nw,N,5.15E-24,1.89E-10,1
NGC4522,se,NW,4.00E-29,1.72E-12,-1
NGC4536,ne,NE,1.77E-134,1.00E+00,1
NGC4540,w,NW,7.15E-18,3.47E-04,1
NGC4548,sw,S,3.08E-23,1.00E+00,1
NGC4618,sw,SE,9.88E-27,5.45E-01,0
NGC4644,nw,NW,1.85E-12,1.00E+00,1
NGC4647,n,S,1.62E-24,1.70E-21,-1
NGC4654,ne,NE,2.75E-39,1.00E+00,1
NGC4682,se,S,2.27E-12,1.00E+00,1
NGC4691,s,S,2.69E-02,3.00E-01,1
NGC4701,se,NW,4.04E-06,1.00E+00,-1
NGC4711,nw,NW,7.83E-05,5.02E-01,1
NGC4725,se,SE,4.17E-107,1.00E+00,1
NGC4731,s,NE,1.25E-09,4.23E-08,-1
NGC4736,ne,N,5.65E-07,2.95E-04,1
NGC477,sw,SW,1.98E-01,1.00E+00,1
NGC4775,se,N,4.22E-17,3.11E-09,-1
NGC4814,sw,S,1.91E-07,1.00E+00,1
NGC488,e,E,1.12E-06,2.33E-01,1
NGC4904,nw,W,8.12E-10,2.59E-04,1
NGC496,nw,SE,2.58E-04,4.34E-04,-1
