name,paper_label,ebm_label,ebm_pval,score
IC2247,SW,SW,4.666E-17,1
IC540,SW,W,5.899E-21,1
IC944,SW,S,1.220E-43,1
MCG-02-02-040,NW,NW,1.149E-06,1
MCG-02-03-015,NW,NW,2.617E-33,1
NGC1542,SW,SW,4.016E-23,1
NGC3067,NE,NE,3.921E-16,1
NGC3079,SW,W,2.508E-27,1
NGC3169,SE,SE,1.448E-25,1
NGC3495,NW,W,1.027E-16,1
NGC3626,W,W,8.643E-17,1
NGC4517,NW,N,2.264E-134,1
NGC4605,NE,NE,1.287E-14,1
NGC4772,NE,SW,5.966E-01,-1
NGC6314,W,W,2.503E-41,1
NGC681,NW,NW,2.175E-38,1
UGC10205,SW,SW,1.371E-29,1
UGC10297,W,W,4.320E-05,1
UGC3107,SE,S,1.282E-08,1
UGC5111,SW,SW,1.779E-19,1
UGC5498,NW,NW,9.056E-03,1
UGC6036,NE,N,2.937E-05,1
UGC8267,NW,NW,3.472E-08,1
UGC8778,NE,NE,1.424E-29,1
UGC9665,NE,NE,1.082E-10,1
