name,dark_side_label,pos_side_label,neg_side_label,ref_band,encounted_sersic_error,r-i_pos_side_mean,r-i_pos_side_std,r-i_neg_side_mean,r-i_neg_side_std,r-i_D,r-i_P,r-i_label,r-i_score,r-z_pos_side_mean,r-z_pos_side_std,r-z_neg_side_mean,r-z_neg_side_std,r-z_D,r-z_P,r-z_label,r-z_score,r-y_pos_side_mean,r-y_pos_side_std,r-y_neg_side_mean,r-y_neg_side_std,r-y_D,r-y_P,r-y_label,r-y_score,i-z_pos_side_mean,i-z_pos_side_std,i-z_neg_side_mean,i-z_neg_side_std,i-z_D,i-z_P,i-z_label,i-z_score,i-y_pos_side_mean,i-y_pos_side_std,i-y_neg_side_mean,i-y_neg_side_std,i-y_D,i-y_P,i-y_label,i-y_score,z-y_pos_side_mean,z-y_pos_side_std,z-y_neg_side_mean,z-y_neg_side_std,z-y_D,z-y_P,z-y_label,z-y_score,vote_count,vote_score
IC750,SE,NW,SE,i,False,0.028792893228849092,0.02002298979894571,0.028252847846440908,0.01916246201814451,0.058608477174653645,0.0005415159695872997,SE,1,0.029533910874748916,0.018868479953143027,0.014238900456483624,0.029962464924444647,0.24558965478083125,2.428972573586663e-63,SE,1,0.016857490332694323,0.01967723927872393,-0.004354971093164773,0.043403471977797294,0.3431311037928685,2.0164835361007155e-124,SE,1,0.0007410176458998231,0.008970074660517718,-0.014013947389957284,0.020558965644252348,0.4550164660458778,3.668668967022345e-222,SE,1,-0.011935402896154768,0.015785827822070345,-0.03260781893960568,0.033862101819754235,0.36508559504883037,3.6608383314556553e-141,SE,1,-0.012676420542054591,0.011713054490377016,-0.018593871549648398,0.01714559295390512,0.20941474562798093,4.679788890509135e-46,SE,1,6,1
IC764,E,E,W,i,False,0.0537130221270905,0.049905695132668404,0.060744404285732245,0.05196672817643542,0.052190962413496376,0.00044190328565309276,E,1,0.02353731712380945,0.0432617807001858,0.036340151734808396,0.04028939226481526,0.11350951139467003,1.344872400086103e-17,E,1,0.019353942787482373,0.05529637328586535,0.035124300235085,0.056372004507365556,0.10409078582974081,6.3660411919417884e-15,E,1,-0.03017570500328105,0.04874592917049784,-0.024404252550923843,0.04012502923975357,0.04628725714395526,0.002651278793219572,E,1,-0.03435907933960813,0.04800316208656416,-0.025620104050647248,0.04383538049063404,0.07071773716564923,4.289168169042435e-07,E,1,-0.004183374336327078,0.046478795284860326,-0.0012158514997234044,0.04465618125808934,0.0308572105745271,0.10560569855703096,E,1,6,1
NGC1309,SW,W,E,i,False,0.006446579384961302,0.010282512271950359,0.009543722295187672,0.009423346364256116,0.19402738485071247,2.7429218136550216e-42,W,1,0.00820964143990104,0.011759383507110097,0.011637219163602358,0.009711339242146478,0.21254399545565927,1.012269641498453e-50,W,1,-0.010302886074866669,0.012869760266989003,-0.0074294923113530165,0.011376044298779113,0.13151763902192717,1.2955933102829164e-19,W,1,0.001763062054939738,0.006382363003660812,0.002093496868414687,0.005910402422148887,0.053979361119155286,0.001147989578397358,W,1,-0.016749465459827972,0.010756392599285364,-0.016973214606540686,0.010184804499921412,0.025762402263259897,0.35863923804443926,E,-1,-0.01851252751476771,0.011620652885439219,-0.019066711474955374,0.010204308991436954,0.04897743051688163,0.00427409123540582,E,-1,2,1
NGC1324,SW,NE,SW,i,False,0.01703933472081966,0.015766188308800538,0.0072187428253296295,0.01248166924540136,0.4555532638555107,7.615802494625204e-259,SW,1,0.024506564382055986,0.02785642716162562,0.010027945175801857,0.0248761452993249,0.4577153823857314,2.2544051192962042e-261,SW,1,0.01835924550629283,0.02405223477617865,0.001370089200113393,0.022322358510034994,0.5684252858320697,0.0,SW,1,0.0074672296612363276,0.013041392423345342,0.0028092023504722274,0.01399665562053471,0.3646154757368369,1.033401961205626e-163,SW,1,0.0013199107854731695,0.010133692810851023,-0.005848653625216236,0.012553000938218206,0.4660146416046117,2.446558150500903e-271,SW,1,-0.006147318875763158,0.0068531241934385425,-0.008657855975688463,0.007739890226711114,0.12618425128587085,1.215846170276726e-19,SW,1,6,1
NGC1337,NE,E,W,i,False,0.05603777221717241,0.03771253635943292,0.08505753983589573,0.04562767204589328,0.28331245054075443,9.334639015325798e-127,E,1,0.059455258459074116,0.05167125075801992,0.10277110568276432,0.06188765652313044,0.31497092110386754,4.556103701959802e-157,E,1,0.033182297007654765,0.06532921486527801,0.08583299609798552,0.0734020714980698,0.3076617866877693,9.456785473161864e-150,E,1,0.0034174862419017026,0.026007404794963985,0.01771356584686859,0.027308904287346086,0.23676313574757257,3.096407302638508e-88,E,1,-0.022855475209517646,0.040938641354835194,0.000775456262089792,0.03994952721639092,0.24409990453580535,6.97835488790987e-94,E,1,-0.02627296145141935,0.03560551970171931,-0.016938109584778798,0.03385367718071172,0.1173980354473628,7.007618480155577e-22,E,1,6,1
NGC1353,SW,NE,SW,i,False,0.006465491519191528,0.005545945767507666,0.0037877625586531863,0.008934825273575012,0.3304022013388822,1.1104765207937661e-189,SW,1,0.011853815832527924,0.011146684206193498,0.0093708473717286,0.018610682600734806,0.32400280116812286,2.769575089070699e-182,SW,1,0.004131344847832786,0.009316717098251154,-0.0004616310594694153,0.01766271625863873,0.36502202049673066,1.6623737208631274e-232,SW,1,0.005388324313336396,0.006182665129740576,0.005583084813075412,0.011247708487427914,0.1976095124946275,2.4330679661562172e-67,NE,-1,-0.0023341466713587417,0.004906879566184297,-0.0042493936181226015,0.01003542865723864,0.2516603324766673,2.136689873377608e-109,SW,1,-0.0077224709846951374,0.004313171442518481,-0.009832478431198013,0.006525634609928957,0.14212093865346603,5.995754658823501e-35,SW,1,4,1
NGC1385,E,NE,SW,i,True,0.007253304021078984,0.023591325611654015,0.0021172162645181143,0.011978000300159247,0.19179461915318718,9.47058247729966e-42,SW,-1,0.007569765326200274,0.031553571001408626,0.01067275032197676,0.015346415581390839,0.3141772571487655,1.9081800939660838e-112,NE,1,-0.006411058484435038,0.034035528652295866,0.008878497578285042,0.021234409293659474,0.3531681735105662,1.3055955429119322e-142,NE,1,0.0003164613051212903,0.01628312951227129,0.008555534057458646,0.013978094044725898,0.28999902686165924,1.2260987102041614e-95,NE,1,-0.013664362505514022,0.02566180532907407,0.006761281313766927,0.020030940913560797,0.4014855564982833,2.0919199068565985e-185,NE,1,-0.013980823810635312,0.01973805201663105,-0.0017942527436917175,0.01707922517201365,0.27161249023060335,7.730449153884306e-84,NE,1,4,1
NGC1415,SW,NE,SW,i,False,0.04426911722757662,0.018084506630796825,0.010680664065446644,0.013889898260423117,0.7092009553794376,1.689137205651141e-147,SW,1,0.05570496748577779,0.0212506013703293,6.836804706359008e-05,0.026730981227104805,0.8224948431223537,2.1342712362196644e-208,SW,1,0.0996715186753762,0.042738969469518336,0.023442806509231813,0.032843453231428656,0.7537075236130714,2.2346619159817554e-169,SW,1,0.011435850258201163,0.007921015159353631,-0.010612296018383054,0.01675851725624807,0.7623710780588426,1.1032386232223357e-173,SW,1,0.05540240144779958,0.02647282980304997,0.012762142443785169,0.02103172489148398,0.7701986754966887,4.4789987682705336e-178,SW,1,0.04396655118959842,0.0254879017719506,0.02337443846216822,0.02155438735793976,0.41241450439691674,8.073328392159025e-47,SW,1,6,1
NGC150,NE,N,S,i,False,-0.012746638659685318,0.01609407084448829,-0.006238008800107384,0.00548287024747668,0.21694027474394642,3.3084119013198924e-113,N,1,-0.013530888581098808,0.017561012653872648,-0.005919466768018552,0.005596940363646749,0.2587076670631846,2.4933610227989276e-161,N,1,-0.012743102258847916,0.015723843666922095,-0.00482427292849089,0.005587580925912978,0.31782948845976344,1.268454833460594e-244,N,1,-0.0007842499214134896,0.0032089549255151038,0.00031854203208883116,0.00225698666838653,0.15656689136016752,6.134697939941683e-59,N,1,3.536400837401876e-06,0.0047749530807630934,0.0014137358716164936,0.00391772041287586,0.19077022423688011,1.8477707271891029e-87,N,1,0.0007877863222508914,0.00495350884778928,0.0010951938395276624,0.0034462445837864816,0.10168779857931452,4.550247680665595e-25,N,1,6,1
NGC1964,NW,NW,SE,i,False,-0.034521208371717384,0.04274045385683621,-0.0363862706144081,0.08756715592714878,0.14080032428461042,7.807085746832165e-16,SE,-1,-0.01852846316197423,0.026220531924566064,-0.0056490429295536675,0.020070940569682186,0.4216940600696299,1.0166092496310582e-141,NW,1,-0.00532152431420921,0.013537070086437621,0.007553711763067228,0.03583238744518144,0.6981207960173796,0.0,NW,1,0.01576177385573933,0.021242065755364428,0.030737227684854432,0.08706376403754446,0.10100472538588318,2.4816020128396326e-08,NW,1,0.029199684057508175,0.04426419042360819,0.043939982377475324,0.1111726117448858,0.057511115615064036,0.005289647458697325,NW,1,0.013178484091290153,0.03038639459125254,0.013202754692620895,0.03533447142338306,0.044055645349699565,0.06134896505418095,NW,1,4,1
