name,dark_side_label,pos_side_label,neg_side_label,ref_band,encounted_sersic_error,r-i_pos_side_mean,r-i_pos_side_std,r-i_neg_side_mean,r-i_neg_side_std,r-i_D,r-i_P,r-i_label,r-i_score,r-z_pos_side_mean,r-z_pos_side_std,r-z_neg_side_mean,r-z_neg_side_std,r-z_D,r-z_P,r-z_label,r-z_score,r-y_pos_side_mean,r-y_pos_side_std,r-y_neg_side_mean,r-y_neg_side_std,r-y_D,r-y_P,r-y_label,r-y_score,i-z_pos_side_mean,i-z_pos_side_std,i-z_neg_side_mean,i-z_neg_side_std,i-z_D,i-z_P,i-z_label,i-z_score,i-y_pos_side_mean,i-y_pos_side_std,i-y_neg_side_mean,i-y_neg_side_std,i-y_D,i-y_P,i-y_label,i-y_score,z-y_pos_side_mean,z-y_pos_side_std,z-y_neg_side_mean,z-y_neg_side_std,z-y_D,z-y_P,z-y_label,z-y_score,vote_count,vote_score
IC1151,nw,NW,SE,i,FALSE,-0.016525132,0.0255646302,-0.007885578873,0.02078702124,0.1569241572,1.08E-38,NW,1,-0.02420669981,0.02983196382,-0.01371629998,0.02394372574,0.157082232,9.37E-39,NW,1,-0.02625459429,0.03428459502,-0.01200631661,0.02855876845,0.18257868,2.75E-52,NW,1,-0.007681567817,0.01925190511,-0.005830721105,0.0180168077,0.05229725061,0.0001128468413,NW,1,-0.009729462289,0.02817582993,-0.004120737738,0.02729445401,0.08497922857,1.25E-11,NW,1,-0.002047894472,0.0282761955,0.001709983367,0.02833416929,0.06504306394,5.42E-07,NW,1,6,1
IC1199,ne,E,W,i,FALSE,0.005090179993,0.007336158356,0.01071176828,0.008724118288,0.2707556123,4.11E-60,E,1,0.01475301122,0.01407714994,0.02303061103,0.01872249979,0.2254237843,1.07E-41,E,1,0.002557881199,0.0116704955,0.01317799122,0.01574100344,0.3141520107,2.84E-81,E,1,0.009662831227,0.01324548392,0.01231884275,0.01362817594,0.1283612895,9.40E-14,E,1,-0.002532298794,0.009897358723,0.002466222937,0.01153052395,0.1761895412,1.49E-25,E,1,-0.01219513002,0.01388375036,-0.00985261981,0.01188916957,0.06971870822,0.0002311797995,E,1,6,1
IC1256,n,N,S,i,FALSE,-0.01546686547,0.01808623825,-0.01281879663,0.01559899085,0.0700524655,0.00127655243,N,1,-0.01983924949,0.01935049415,-0.01726095101,0.01667639264,0.06446513055,0.003921017369,N,1,-0.04126785207,0.02651669552,-0.03672932683,0.02384772893,0.07147777363,0.0009445251601,N,1,-0.004372384018,0.01412771918,-0.00444215438,0.01249657041,0.05638384669,0.01686631261,S,-1,-0.0258009866,0.0198415536,-0.0239105302,0.01876758102,0.05545043095,0.01972059403,N,1,-0.02142860259,0.01842758146,-0.01946837582,0.01835876981,0.06651846366,0.002624075899,N,1,4,1
IC1528,se,N,S,i,FALSE,0.1157524427,0.0656419832,0.04929230441,0.0794608015,0.4118492314,1.86E-177,S,1,0.1154669323,0.06605423868,0.04568070248,0.08017838237,0.413222882,1.11E-178,S,1,0.1061172744,0.0687263239,0.03957396742,0.08425182289,0.380660537,4.89E-151,S,1,-0.0002855103653,0.01874116283,-0.003611601931,0.01735905901,0.09236719722,4.10E-09,S,1,-0.009635168276,0.03110555347,-0.009718336985,0.02913403739,0.01864684283,0.8016728969,S,1,-0.00934965791,0.02730469216,-0.006106735054,0.02717780889,0.0667086102,5.81E-05,N,-1,4,1
IC2095,se,NW,SE,i,FALSE,-0.1217908103,0.07528930369,-0.1035825277,0.05698430321,0.1468374779,1.14E-07,NW,-1,-0.1654711698,0.09028620882,-0.143717237,0.07532306738,0.1184307528,3.77E-05,NW,-1,-0.1920977485,0.08490720872,-0.1794915095,0.0843585719,0.07136152959,0.03785645996,NW,-1,-0.04368035959,0.06563679057,-0.04013470935,0.06582698296,0.06015140242,0.1181692329,NW,-1,-0.07030693822,0.09723317555,-0.07590898188,0.09122987209,0.05935275125,0.1272183285,SE,1,-0.02662657864,0.1115003167,-0.03577427252,0.1033822571,0.05878959979,0.1339939009,SE,1,-2,-1
IC2163,s,E,W,i,FALSE,0.0398252502,0.01434982368,0.02462947966,0.01826774148,0.3905524785,2.73E-105,W,0,0.06322166362,0.01836656827,0.05164410085,0.03748802212,0.3384745054,1.11E-78,W,0,0.04035680721,0.02133981158,0.02088477978,0.03489671745,0.3582136656,3.42E-88,W,0,0.02339641342,0.0106877082,0.02701462119,0.02594390458,0.1942639746,7.01E-26,E,0,0.0005315570112,0.01449847803,-0.003744699885,0.02295577543,0.1874223163,4.21E-24,W,0,-0.02286485641,0.01354282917,-0.03075932108,0.01792751506,0.1843779178,2.41E-23,W,0,0,0
IC2487,ne,E,W,i,FALSE,-0.02130584308,0.02490279224,-0.005190038705,0.01953261854,0.2648006581,2.68E-67,E,1,0.007009875536,0.0193195003,0.03514739677,0.02571278378,0.4776439103,2.70E-224,E,1,-0.03767576495,0.02962189807,-0.004392817194,0.0274344435,0.4462044058,1.17E-194,E,1,0.02831571862,0.0234693058,0.04033743547,0.03053910592,0.18812329,5.20E-34,E,1,-0.01636992186,0.02426317909,0.0007972215115,0.02952002077,0.2647225735,2.70E-67,E,1,-0.04468564049,0.02637466439,-0.03954021396,0.02569702654,0.09321124828,1.25E-08,E,1,6,1
IC467,se,N,S,i,FALSE,0.0259527016,0.0287722545,0.01488994309,0.02826577564,0.1657075008,1.42E-42,S,1,-0.01592745833,0.05560780987,-0.01309885059,0.0522222051,0.03891171615,0.009397880198,N,-1,0.02205185028,0.0625045057,0.01257977785,0.05684672434,0.06451628051,8.26E-07,S,1,-0.04188015993,0.0492690704,-0.02798879368,0.051183167,0.1343100515,4.29E-28,N,-1,-0.003900851325,0.05500028191,-0.002310165237,0.05464368479,0.03951535756,0.007952721246,N,-1,0.03797930861,0.05075587685,0.02567862844,0.06385244856,0.08212761575,9.12E-11,S,1,0,0
IC5309,se,W,E,i,FALSE,-0.01229896293,0.01957740856,-0.01514229801,0.01671707383,0.1153608883,8.21E-10,E,1,0.006373328183,0.02303705639,0.002603486522,0.02233663756,0.06662553979,0.001495162926,E,1,-0.006574970718,0.03231792166,-0.01141706299,0.03071303278,0.06415792721,0.00252427746,E,1,0.01867229111,0.02304984958,0.01774578454,0.01927912623,0.06971005552,0.0007555638589,E,1,0.005723992213,0.03136646857,0.003725235025,0.02758343799,0.05922270204,0.006779825233,E,1,-0.0129482989,0.02856668056,-0.01402054951,0.0288190456,0.02344231956,0.7647796477,E,1,6,1
IC674,sw,NE,SW,i,FALSE,0.01517647531,0.01582044272,0.01239374696,0.01349435145,0.1123815045,4.40E-08,SW,1,0.02016483385,0.0249202545,0.01570875689,0.02112391667,0.1274298619,2.86E-10,SW,1,0.01585075976,0.02720779645,0.01089268615,0.022453745,0.131179179,7.41E-11,SW,1,0.004988358536,0.009744677093,0.003315009931,0.008638534596,0.1096716949,1.02E-07,SW,1,0.0006742844513,0.01239331333,-0.001501060805,0.01046680535,0.1091013734,1.21E-07,SW,1,-0.004314074084,0.005747320588,-0.004816070736,0.005149776216,0.04586970393,0.1037604455,SW,1,6,1
