name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_pos_std,g-r_neg_mean,g-r_neg_std,g-r_ks_stat,g-r_ks_pval,g-r_label,g-r_score,g-i_pos_mean,g-i_pos_std,g-i_neg_mean,g-i_neg_std,g-i_ks_stat,g-i_ks_pval,g-i_label,g-i_score,g-z_pos_mean,g-z_pos_std,g-z_neg_mean,g-z_neg_std,g-z_ks_stat,g-z_ks_pval,g-z_label,g-z_score,r-i_pos_mean,r-i_pos_std,r-i_neg_mean,r-i_neg_std,r-i_ks_stat,r-i_ks_pval,r-i_label,r-i_score,r-z_pos_mean,r-z_pos_std,r-z_neg_mean,r-z_neg_std,r-z_ks_stat,r-z_ks_pval,r-z_label,r-z_score,i-z_pos_mean,i-z_pos_std,i-z_neg_mean,i-z_neg_std,i-z_ks_stat,i-z_ks_pval,i-z_label,i-z_score,total,score
IC2247,SW,NE,SW,0.040357377120300075,0.029965062254920613,0.02527537052785836,0.021424748920753408,0.2624904111293098,1.7482652763276133e-21,SW,1,0.0660326809909696,0.052505124544565344,0.03882400059300429,0.034981626544774304,0.3259158667302469,4.468547642275706e-33,SW,1,0.07782621096201431,0.0667138181126846,0.03988094674131324,0.048235632626710656,0.33171065453113013,2.909186659654122e-34,SW,1,0.025675303870669505,0.02364197251967132,0.013548630065145936,0.016433260933989363,0.31019426533700994,6.151681614014592e-30,SW,1,0.03746883384171423,0.038210751442251015,0.014605576213454886,0.03125179594349827,0.3217382290133311,3.2094984040532265e-32,SW,1,0.011793529971044723,0.015115132205821526,0.0010569461483089502,0.016313879585238708,0.3086704123732714,1.189100183928312e-29,SW,1,6,1
IC540,SW,E,W,0.05435878135827199,0.03376819848156186,0.028963084602757254,0.033284289698720305,0.296268816341809,9.807195724979996e-22,W,1,0.06760681682832126,0.04799490322110939,0.019891707899896357,0.05468136324564823,0.37700863613272373,2.838868849563806e-35,W,1,0.08550107004822345,0.06278635028375197,0.02091865818475869,0.07962452766079471,0.3953704446405176,8.020630457073092e-39,W,1,0.013248035470049262,0.016946392782164702,-0.009071376702860897,0.02607252170678362,0.4190863880644903,1.0216459414594306e-43,W,1,0.031142288689951468,0.03205632921523458,-0.008044426417998565,0.054027087725164964,0.4284444266196091,1.097288206300586e-45,W,1,0.017894253219902206,0.018557533809637206,0.0010269502848623358,0.03260733423586894,0.3333667548996016,1.6562540269271754e-27,W,1,6,1
IC944,SW,N,S,0.018164776274837004,0.009664766475829943,-0.0007419098108928393,0.014735173827721644,0.7185533733406074,3.038724924214534e-234,S,1,0.03424820144328543,0.015991759765617043,0.0012146077458349636,0.024587819556783012,0.8060192762320422,3.491538276991516e-306,S,1,0.03442456409051838,0.01983954559595859,-0.011904201997887345,0.03746232404933974,0.7827014002545918,1.0754427237339031e-285,S,1,0.016083425168448427,0.007510929378513203,0.001956517556727803,0.011364064921651639,0.7166393889798145,3.321135321165618e-233,S,1,0.016259787815681385,0.011749241644831501,-0.011162292186994506,0.02470317927072372,0.7026050190943808,6.36118953596109e-223,S,1,0.00017636264723295593,0.006350923135356229,-0.013118809743722308,0.014638960567265748,0.5597063102382251,7.662739777157775e-136,S,1,6,1
MCG-02-02-040,NW,NW,SE,-0.033457584141285204,0.07581501465406822,-0.07864540395283769,0.08993289133601445,0.2214417305520889,1.0528662006769334e-15,SE,-1,0.05766490231590415,0.1199850743717277,0.010161164659070729,0.09382073593865489,0.24866781561379528,7.103030327522088e-20,SE,-1,0.035535880142410686,0.15490453899110332,0.01413320264758766,0.09508535875781324,0.18694360254353123,2.2391112849617892e-11,SE,-1,0.09112248645718936,0.06754034334056624,0.08880656861190842,0.05274857683152437,0.09401755115786137,0.003267907131300526,SE,-1,0.06899346428369589,0.10784273813550474,0.09277860660042533,0.07736104774750514,0.1756779778530536,4.265733614479002e-10,NW,1,-0.02212902217349347,0.05113311516181952,0.0039720379885169275,0.039691359589480946,0.24726332679622037,1.1811691649867052e-19,NW,1,-2,-1
MCG-02-03-015,NW,NW,SE,0.0031919770007923527,0.015838172386371613,0.018289474144115792,0.019876786585506085,0.468971233677116,9.406953555218604e-67,NW,1,0.003785866923945881,0.025030742977279776,0.027942722937792857,0.03242291300990777,0.49743182096123273,2.5304802182348804e-75,NW,1,0.004326923217898911,0.0330923128676816,0.03721002623328301,0.041935683492024624,0.547266723737312,3.7121093610867426e-92,NW,1,0.0005938899231535291,0.009818750899528522,0.009653248793677066,0.013013307682715998,0.519872813990461,2.028178996294317e-82,NW,1,0.0011349462171065593,0.018849480891202988,0.018920552089167222,0.022645968005374394,0.5424157188863071,4.334727935937833e-90,NW,1,0.0005410562939530301,0.010364436293562332,0.009267303295490152,0.010851071881097496,0.4399603223132635,2.877567934011205e-58,NW,1,6,1
NGC1542,SW,NE,SW,0.08267453013754199,0.02612022810511119,0.03916098076502556,0.027589916679842945,0.6321227632302551,4.850631759082354e-58,SW,1,0.1322759604021229,0.04619360430353203,0.059381243495275446,0.05261978002962175,0.654797157240154,1.111769118426492e-62,SW,1,0.15161647559120323,0.050589225667033874,0.05129118206032891,0.06316914419860455,0.7101717500740302,5.550556764948623e-75,SW,1,0.04960143026458091,0.023181513095576277,0.020220262730249877,0.028218557285440975,0.6093531875290833,1.2462951829983426e-53,SW,1,0.06894194545366127,0.02765843290275469,0.012130201295303344,0.04174369456564433,0.7264795465121198,6.673831790667439e-79,SW,1,0.01934051518908035,0.009433944457524634,-0.008090061434946536,0.024995047838776763,0.6973327974956639,5.993703437965136e-72,SW,1,6,1
NGC3067,NE,NE,SW,0.031658546776190136,0.049547234249266534,0.0533625869785177,0.05016487020125725,0.286311504446214,3.8116984036940703e-59,NE,1,0.028520965910488732,0.06657422548982216,0.060549514020866786,0.06649100716626484,0.28575932312182656,5.609164931102965e-59,NE,1,0.02769821357850132,0.07915197947265712,0.07078839241842398,0.07714176241512369,0.32940927573793227,1.5697560731102238e-78,NE,1,-0.003137580865701406,0.021164330365104757,0.007186927042349082,0.020032699906528773,0.21771877583027785,2.916291999129309e-34,NE,1,-0.0039603331976888236,0.03369395061089038,0.01742580543990629,0.03044861999571395,0.31876417353707903,1.6835705638877023e-73,NE,1,-0.0008227523319874172,0.01753454094225651,0.010238878397557204,0.018075074513590035,0.27388496462103484,4.049404635847347e-54,NE,1,6,1
NGC3079,SW,E,W,0.06792866260567026,0.041696544984868626,0.04066859342236501,0.08305655195838699,0.24844606901812552,2.2030330800233802e-128,W,1,0.15364641833874107,0.10165033015384588,0.1355304063659356,0.1199744935924332,0.06950533288798072,2.3216574668228796e-10,W,1,0.2063756063952317,0.1393674021826052,0.20145358141716846,0.14714850961748052,0.07104247329737418,8.344653012155995e-11,W,1,0.08571775573307082,0.06557911684927845,0.09486181294357063,0.07038657465181852,0.1565442912839745,6.717565684810901e-51,E,-1,0.13844694378956146,0.10463217808250809,0.16078498799480345,0.1170132084266663,0.1832481076070166,1.1041986036575146e-69,E,-1,0.052729188056490635,0.03960696818247472,0.06592317505123282,0.04994160351931125,0.17495641751403837,1.5155744227530004e-63,E,-1,0,0
NGC3169,SE,NW,SE,0.045144444227095855,0.034358773232413375,0.025696280456584078,0.03982614877347451,0.4702098288582208,8.289953774588307e-220,SE,1,0.06260686386269293,0.04914499225951777,0.03472047664542554,0.0569777884033426,0.48208233078448387,1.5649695936261347e-231,SE,1,0.0704596347866349,0.05555542731463083,0.037024985980457996,0.06593644624267007,0.4921132132307819,1.0076423958805296e-241,SE,1,0.01746241963559708,0.01509882727256487,0.009024196188841463,0.01850195467449552,0.49846500591052595,2.780654447639674e-248,SE,1,0.025315190559539038,0.021643836041705257,0.011328705523873921,0.02838485778865719,0.5107447511666494,2.6786665793978515e-261,SE,1,0.007852770923941958,0.00670585488897062,0.002304509335032459,0.010716997186769122,0.5189889909452153,2.963041010357689e-270,SE,1,6,1
NGC3495,NW,W,E,0.014545868096243012,0.03178755406035288,-0.007096977358623783,0.035136215629902275,0.28559919436052367,9.256952765079735e-179,E,-1,0.022179701833389544,0.04319866275193857,-0.00629729711606259,0.046535202091405825,0.2872104733131923,8.303854607993572e-181,E,-1,0.002644580863309311,0.049797900231572774,-0.02539090556025188,0.057456386633640576,0.24531722054380664,1.6403946188942646e-131,E,-1,0.007633833737146532,0.02006970090601128,0.0007996802425611917,0.02171675693640097,0.16173212487411884,4.529749059026894e-57,E,-1,-0.011901287232933702,0.028763356190040015,-0.0182939282016281,0.03422189067174363,0.11863041289023162,7.707843697913768e-31,E,-1,-0.019535120970080234,0.022076556495881857,-0.019093608444189294,0.024784552421283763,0.038469284994964756,0.0012868483845494061,W,1,-4,-1
