name,paper_label,ebm_label,ebm_pval,score
IC2247,SW,SW,1.976E-35,1
IC540,SW,W,3.840E-42,1
IC944,SW,S,3.287E-258,1
MCG-02-02-040,NW,SE,6.078E-17,-1
MCG-02-03-015,NW,NW,6.343E-92,1
NGC1542,SW,SW,3.347E-83,1
NGC3067,NE,NE,1.057E-73,1
NGC3079,SW,W,7.473E-26,1
NGC3169,SE,SE,0.000E+00,1
NGC3495,NW,E,7.421E-165,-1
NGC3626,W,W,0.000E+00,1
NGC4517,NW,N,0.000E+00,1
NGC4605,NE,S,1.206E-27,-1
NGC4772,NE,E,1.229E-02,1
NGC6314,W,W,2.127E-180,1
NGC681,NW,N,3.093E-132,1
UGC10205,SW,SW,1.891E-132,1
UGC10297,W,W,3.980E-36,1
UGC3107,SE,S,1.865E-31,1
UGC5111,SW,SW,2.816E-127,1
UGC5498,NW,SE,2.416E-01,-1
UGC6036,NE,N,2.847E-12,1
UGC8267,NW,NW,6.115E-27,1
UGC8778,NE,NE,2.573E-119,1
UGC9665,NE,NE,1.527E-36,1
