name,paper_label,ebm_label,ebm_pval,score
IC750,SE,SE,4.974E-26,1
NGC1309,SW,E,5.300E-31,-1
NGC1324,SW,SW,0.000E+00,1
NGC2268,S,SE,3.899E-178,1
NGC2713,N,NE,5.505E-74,1
NGC3003,N,N,1.644E-33,1
NGC3185,SW,SW,5.904E-79,1
NGC3370,NE,NE,2.126E-32,1
NGC3430,NW,NW,1.781E-76,1
NGC3726,W,W,1.250E-306,1
NGC3813,N,N,7.294E-67,1
NGC3877,SE,SE,5.470E-94,1
NGC3917,SE,SE,2.308E-265,1
NGC4096,NW,E,2.774E-158,-1
NGC4162,W,W,4.374E-25,1
NGC4178,SE,E,2.191E-02,1
NGC4192,NE,NE,0.000E+00,1
NGC4220,NE,NE,0.000E+00,1
NGC4274,NE,N,5.616E-140,1
NGC4579,NW,N,9.784E-118,1
NGC4586,NE,NE,5.822E-127,1
NGC4602,S,SW,5.425E-160,1
NGC470,SW,W,2.054E-38,1
NGC4771,NE,NE,4.491E-287,1
NGC4800,W,NW,1.139E-46,1
NGC4845,SE,S,0.000E+00,1
NGC5443,SE,SE,1.506E-96,1
NGC5522,SE,SE,6.426E-25,1
NGC5533,SE,E,2.076E-176,1
NGC5559,SE,SE,7.286E-168,1
NGC5587,SW,W,1.062E-220,1
NGC5616,NE,E,1.009E-53,1
NGC5656,SE,SE,5.511E-123,1
NGC5676,SE,SE,2.775E-191,1
NGC5690,SW,SW,8.568E-07,1
NGC5750,NW,N,8.269E-235,1
NGC6118,NW,NW,9.427E-76,1
NGC716,NW,NW,1.561E-23,1
NGC7448,SW,W,1.515E-16,1
NGC7721,W,W,3.332E-210,1
NGC779,NE,NE,2.603E-120,1
NGC787,SE,S,1.592E-132,1
