name,x,y,a,b,theta
IC 4566,199.81480006336602,201.3020588566188,40.61487579345703,28.780895233154297,0.912477454046573
IC1151,300.6116047998681,298.960483370023,81.32563781738281,27.841064453125,-0.9784736144214345
IC1199,150.12776067701165,151.2828818967489,57.16460418701172,20.611635208129883,1.3977014218765837
IC1256,151.38653192022431,151.05470782535482,41.21708297729492,22.958189010620117,0.21400182520333355
IC1528,251.49100325469067,251.4821012384554,65.70967864990234,22.627164840698242,-0.27864580108819975
IC2095,143.61281545233248,145.1138195715075,58.781150817871094,8.299603462219238,-0.40826340566095287
IC2163,240.17192743169653,259.9169693276409,36.92570495605469,26.55937385559082,1.5843388234573943
IC2487,199.95459417608419,200.33433617165315,78.6620101928711,17.502614974975586,1.3256549590492877
IC467,303.34122805210257,303.03882440041457,90.65876770019531,24.7066707611084,-0.008747061590518301
IC5309,200.92871070095796,201.25576576681874,48.12386703491211,21.4520263671875,-1.2475628400245846
IC674,199.67835425690058,199.89232619037,48.388885498046875,18.229001998901367,0.6502798746748097
IC776,290.0822929550427,297.86788751117274,35.064083099365234,22.108335494995117,-0.413130650420819
IRAS03056+2034,119.31723630463222,122.26960171988273,34.41613006591797,23.415884017944336,0.3663036430877107
NGC1,199.46126458855557,200.8028680069717,34.1035270690918,22.259815216064453,0.3330246602493865
NGC1012,300.6670052963808,309.1770427291858,74.38813018798828,24.17093849182129,-1.3582120334107024
NGC1042,451.489181159188,451.41249038650847,28.61832046508789,21.410917282104492,1.1646661366027253
NGC1058,299.4865728449443,300.8703957769629,52.510963439941406,37.70209884643555,0.7209682072204011
NGC1068,300.0137142719295,303.2825287791095,42.74073791503906,32.78218078613281,-0.9297754560906035
NGC1073,448.78879708228783,453.5446837371917,82.84835052490234,25.081865310668945,-0.5199879690557455
NGC1087,395.77906107235333,397.08442489197006,45.368408203125,22.851978302001953,0.5524776781600373
NGC1169,703.2687854737824,697.2272097687597,42.9133415222168,30.359264373779297,-0.5066008662182433
NGC1232,605.589253120989,604.432933257812,65.78890228271484,42.53036117553711,0.40101357350763256
NGC1300,702.8773013567156,704.3707069912678,59.02067184448242,30.51361656188965,0.16585048227020996
NGC1358,299.5570826026802,299.4604859520774,26.627365112304688,20.02446746826172,0.8065162097412688
NGC160,249.40477672739792,251.05163619218877,30.424894332885742,20.871768951416016,-0.4434484447043794
NGC1614,239.46663555195929,242.56054239549385,43.44514846801758,32.140411376953125,-1.6218883191544158
NGC1645,250.46260749040763,249.3743249694682,49.025753021240234,19.32615852355957,-0.26423480207205824
NGC1677,152.4128467588215,153.09528011754298,41.68253707885742,15.115340232849121,0.8169881201518339
NGC171,247.30807267734332,253.33570575756005,52.01206970214844,27.924951553344727,0.62125031103674
NGC1744,605.8178935995052,610.4020276580977,89.67410278320312,24.208112716674805,1.678889552255307
NGC177,247.51422243076945,258.1829913376582,59.04121398925781,15.071416854858398,-1.5555235824728404
NGC1784,497.8687998838915,503.1759959712555,74.70954895019531,30.845277786254883,0.11972347496296341
NGC180,300.8089216036094,298.2087643756886,85.60904693603516,29.18397331237793,1.0007099163847506
NGC1832,301.0043126199715,303.0091135856036,41.596981048583984,22.26909828186035,1.3326019600581152
NGC192,302.66118907739667,296.23175893649864,59.81841278076172,18.268264770507812,1.3610491411200665
NGC2139,291.152692255703,303.556829063961,70.8053970336914,53.61344909667969,0.07069357285913402
NGC214,301.04541432176535,300.00673719425896,52.94712448120117,29.58220672607422,-0.5959123752346777
NGC217,303.5322980127791,300.63446056863114,98.273681640625,21.185386657714844,0.20421256671365673
NGC2207,399.8108955170951,400.2426938327617,31.23491668701172,23.6085262298584,-0.7208447252709014
NGC2276,400.1795550680311,402.1220772381836,26.893505096435547,15.730897903442383,-1.3894722854096038
NGC23,200.79269632209136,201.283076054057,45.61711883544922,21.13734245300293,1.3109641467529876
NGC2336,703.3149519435527,704.1156385223467,42.186405181884766,27.362560272216797,1.3739210759598357
NGC234,196.1337401693276,200.81400254793363,45.641414642333984,41.2304801940918,-0.4571265374619109
NGC237,201.44395344009254,200.23785205491563,40.43434143066406,23.036046981811523,1.7641339694458587
NGC2449,199.53414920088457,201.46761547150578,56.1573486328125,18.85442352294922,0.5846253837149995
NGC2486,200.79314325667977,200.48430717622503,48.16950607299805,24.532546997070312,-0.21423600440207546
NGC2487,300.80557326896144,301.26515182227547,31.329008102416992,27.353506088256836,1.1774729097884553
NGC2500,502.88892691748947,504.7826246478124,49.487060546875,29.22674560546875,-1.1042350138228791
NGC2525,350.3683110170275,350.63331864469694,86.32819366455078,21.81174659729004,-0.06658457978821125
NGC2540,200.83342625216332,199.95308703597283,48.13995361328125,26.231382369995117,0.4180125201743501
NGC2552,509.25753503415706,496.1082796171926,43.22762680053711,25.90250587463379,-0.6505170464515686
NGC2553,400.84392961284834,400.59353887263586,35.0007209777832,21.379125595092773,-0.7001620817186934
NGC257,200.70923283000604,200.75167764779636,56.287899017333984,25.821903228759766,0.12682221103201693
