name,paper_label,pos_label,neg_label,g-r_pos_mean,g-r_neg_mean,g-r_mean_diff,g-r_mannwhitneyu_stat,g-r_mannwhitneyu_pval,g-r_wasserstein_distance,g-r_mean_wasserstein_distance,g-r_wasserstein_distance_confidence_interval_lower,g-r_wasserstein_distance_confidence_interval_lower,g-r_laplace_smoothed_kld,g-r_label,g-r_score,g-i_pos_mean,g-i_neg_mean,g-i_mean_diff,g-i_mannwhitneyu_stat,g-i_mannwhitneyu_pval,g-i_wasserstein_distance,g-i_mean_wasserstein_distance,g-i_wasserstein_distance_confidence_interval_lower,g-i_wasserstein_distance_confidence_interval_lower,g-i_laplace_smoothed_kld,g-i_label,g-i_score,g-z_pos_mean,g-z_neg_mean,g-z_mean_diff,g-z_mannwhitneyu_stat,g-z_mannwhitneyu_pval,g-z_wasserstein_distance,g-z_mean_wasserstein_distance,g-z_wasserstein_distance_confidence_interval_lower,g-z_wasserstein_distance_confidence_interval_lower,g-z_laplace_smoothed_kld,g-z_label,g-z_score,r-i_pos_mean,r-i_neg_mean,r-i_mean_diff,r-i_mannwhitneyu_stat,r-i_mannwhitneyu_pval,r-i_wasserstein_distance,r-i_mean_wasserstein_distance,r-i_wasserstein_distance_confidence_interval_lower,r-i_wasserstein_distance_confidence_interval_lower,r-i_laplace_smoothed_kld,r-i_label,r-i_score,r-z_pos_mean,r-z_neg_mean,r-z_mean_diff,r-z_mannwhitneyu_stat,r-z_mannwhitneyu_pval,r-z_wasserstein_distance,r-z_mean_wasserstein_distance,r-z_wasserstein_distance_confidence_interval_lower,r-z_wasserstein_distance_confidence_interval_lower,r-z_laplace_smoothed_kld,r-z_label,r-z_score,i-z_pos_mean,i-z_neg_mean,i-z_mean_diff,i-z_mannwhitneyu_stat,i-z_mannwhitneyu_pval,i-z_wasserstein_distance,i-z_mean_wasserstein_distance,i-z_wasserstein_distance_confidence_interval_lower,i-z_wasserstein_distance_confidence_interval_lower,i-z_laplace_smoothed_kld,i-z_label,i-z_score,total,score,GOFHER_label
IC2247,SW,NE,SW,0.021115943482954383,0.025728081820981397,-0.004612138338027014,4732764.0,3.8118178085794646e-143,0.0078945235005685,0.007904562909818766,0.007392386554412971,0.008357180417283281,inf,NE,-1,0.030451988731243156,0.03502275127801264,-0.004570762546769483,4882809.0,3.5307028351200083e-126,0.01218001880675763,0.01219790071299875,0.011428566405968373,0.012935588838465122,inf,NE,-1,0.033249499490884654,0.03656158426858766,-0.003312084777703006,5051680.0,2.232182641342835e-108,0.014815485711094227,0.014824671964529966,0.013836942505369525,0.015780005366060324,inf,NE,-1,0.009336045248288774,0.009294669457031243,4.1375791257531463e-05,5593824.0,1.7197991605639363e-60,0.004233713191318068,0.004239250073592526,0.0038717720200692305,0.004637096644303647,inf,SW,1,0.012133556007930273,0.010833502447606266,0.0013000535603240066,5734643.0,2.317927889406016e-50,0.007193744769962865,0.007203730751431176,0.0065685239976693965,0.007808814012592024,inf,SW,1,0.0027975107596414995,0.0015388329905750256,0.0012586777690664738,6654504.0,1.636027475369919e-07,0.0024769657506300614,0.002486596751294454,0.0022235131823088385,0.0027646164824140004,inf,SW,1,0,0,-
IC540,SW,E,W,0.022176097557866467,0.018148934023315706,0.0040271635345507616,5510643.0,0.892992135745783,0.005808361260502358,0.005851258594716468,0.0051362202050552275,0.0066286277038015455,inf,W,1,0.024023903088788913,0.015178726005274545,0.008845177083514368,5800032.0,0.0003628798855545054,0.01022359614212042,0.010264528409948596,0.009257988315350331,0.011321339506425413,inf,W,1,0.02210117164204513,0.011068823114787744,0.011032348527257388,5599006.0,0.3195851917423126,0.013871679325873302,0.013906546327629042,0.012451552289296808,0.015367205440392767,inf,W,1,0.001847805530922448,-0.0029702080180411617,0.00481801354896361,6653603.0,1.6260700273116091e-47,0.004824206445383353,0.004828198284972439,0.004285526189558997,0.0053633498210967955,inf,W,1,-7.492591582133231e-05,-0.007080110908527963,0.007005184992706631,5949486.0,4.333808111080894e-08,0.007037799098705488,0.0071369772480763235,0.006174909421884102,0.008167551424627325,inf,W,1,-0.0019227314467437804,-0.004109902890486801,0.0021871714437430205,5615416.0,0.228151154727796,0.0025396489515835765,0.0026051617363760087,0.0021426750309055673,0.0031031118873379717,inf,W,1,6,1,W
IC944,SW,N,S,0.007163313922705209,0.002242151512703573,0.004921162410001637,23886205.0,0.0,0.0050789094124596415,0.005081814899555695,0.004842478023139495,0.005327009226113089,inf,S,1,0.009768553551623737,0.0008047728721851648,0.008963780679438572,25675670.0,0.0,0.009169436567475922,0.009173313586063277,0.00879798257861495,0.009602000780724746,inf,S,1,0.0034538733372157493,-0.009258806760979479,0.012712680098195228,25500819.0,0.0,0.013005730835806532,0.013035417859613355,0.012467833823323808,0.013584340792210246,inf,S,1,0.0026052396289185284,-0.0014373786405184083,0.004042618269436937,24351892.0,0.0,0.004094289746806999,0.004097725340245592,0.003907485091813502,0.004279932910300773,inf,S,1,-0.003709440585489459,-0.01150095827368305,0.007791517688193592,24186673.0,0.0,0.007932566688286066,0.007940355767189078,0.00759128436027342,0.00830008739373939,inf,S,1,-0.006314680214407988,-0.010063579633164644,0.003748899418756655,21252252.0,2.885835498999722e-222,0.0038237851627482542,0.0038258377202760193,0.003602038578082052,0.004074400328909537,inf,S,1,6,1,S
NGC1542,SW,NE,SW,0.029210137213680164,0.014448234322398371,0.014761902891281794,2164336.0,4.669211685134418e-81,0.014761902891281792,0.014797966964369578,0.013331985093491983,0.016188888793748277,inf,SW,1,0.04494847134196527,0.0197427448024198,0.025205726539545472,2210594.0,4.232438101232838e-94,0.025205726539545475,0.0251791613924936,0.022662438566942243,0.027551151828372245,inf,SW,1,0.03834119072790347,0.005261104457657152,0.03308008627024632,2305787.0,4.711078418093325e-124,0.03308008627024632,0.03310180517838333,0.030483511141566222,0.035821956161443284,inf,SW,1,0.01573833412828511,0.005294510480021433,0.010443823648263678,2173768.0,1.2306492814913296e-83,0.010443823648263678,0.010461461667231614,0.00938428908543084,0.011545692220216904,inf,SW,1,0.00913105351422331,-0.009187129864741218,0.018318183378964528,2326534.0,3.8770792726811623e-131,0.01831818337896453,0.018313676361448407,0.016938602731485626,0.019698619676932254,inf,SW,1,-0.006607280614061801,-0.01448164034476265,0.007874359730700848,2226234.0,9.840664862028856e-99,0.007874359730700851,0.007884811073312434,0.007189334711327454,0.008580818595226754,inf,SW,1,6,1,SW
NGC3067,NE,N,S,0.024940035717254713,0.026319268073826157,-0.0013792323565714436,36870651.0,5.522097150901639e-34,0.00644342342198926,0.006466863967577969,0.005858611099707457,0.007081341204880335,inf,N,1,0.030376517565864406,0.0326364501701972,-0.002259932604332795,37125460.0,1.2037321868172848e-38,0.008577795636665803,0.008601314081734411,0.007772601734184239,0.009332583742111086,inf,N,1,0.026114994798706912,0.028810067014011797,-0.0026950722153048848,36291438.0,1.5288707966561538e-24,0.010647235727271808,0.010675496926122656,0.009739842730321607,0.011600208136004903,inf,N,1,0.005436481848609689,0.006317182096371045,-0.0008807002477613556,34032376.0,0.006810462414709032,0.0016171357211545259,0.001659582076805417,0.001460600196490699,0.0018333839023938374,inf,N,1,0.0011749590814521954,0.002490798940185644,-0.0013158398587334486,34028565.0,0.007075113260083211,0.0030434800491758204,0.0030782479480936597,0.0027396198523661655,0.0034291673068806076,inf,N,1,-0.004261522767157495,-0.0038263831561854015,-0.0004351396109720934,33922608.0,0.01925215311883525,0.0017088205727740875,0.0017305978009540804,0.001494534116159567,0.001983777827699324,inf,N,1,6,1,N
NGC3079,SW,E,W,0.04180573840204996,0.05207793159750514,-0.010272193195455179,115771570.0,0.0,0.015679189647135147,0.01568711787483308,0.014906409113867371,0.0164411746189042,inf,E,-1,0.10170689667108745,0.12145095052750661,-0.019744053856419155,108868887.0,0.0,0.03979199407478738,0.03979954108810462,0.03883879160904117,0.04077435178248942,inf,E,-1,0.14142367191965935,0.1680476874039561,-0.026624015484296742,107266908.0,0.0,0.05945059355468266,0.05944729671184772,0.05817494069034905,0.0606593592356094,inf,E,-1,0.05990115826903751,0.06937301893000147,-0.009471860660963963,109018296.0,0.0,0.02436886038828946,0.024383304772790545,0.02378795349340468,0.02499143878131552,inf,E,-1,0.09961793351760939,0.11596975580645094,-0.01635182228884155,108451152.0,0.0,0.04040006075566122,0.04041300406080448,0.03945133829543107,0.04150001465015953,inf,E,-1,0.03971677524857189,0.046596736876449496,-0.006879961627877608,110477032.0,0.0,0.015256131670835171,0.015259505326537899,0.014833723518171074,0.015691149483595148,inf,E,-1,-6,-1,E
NGC3169,SE,NW,SE,0.01505222164482532,0.004559708041821612,0.010492513603003708,251418377.0,0.0,0.010492513603003706,0.010493557317698713,0.010153782321421037,0.010841837467949578,inf,SE,1,0.020319903679091447,0.0056640430960937975,0.01465586058299765,254706253.0,0.0,0.014655860582997652,0.014661929674141592,0.014172302958759203,0.015140734589797374,inf,SE,1,0.022342369350573717,0.005263004567402299,0.017079364783171416,254499303.0,0.0,0.017079364783171416,0.017074590336503853,0.016500850321862364,0.017654038895759543,inf,SE,1,0.005267682034266132,0.0011043350542721854,0.004163346979993946,253036037.0,0.0,0.004163346979993945,0.004163940414219509,0.004013912319365124,0.004303028003608659,inf,SE,1,0.007290147705748396,0.0007032965255806866,0.006586851180167709,251509846.0,0.0,0.006586851180167708,0.006583488884342849,0.00635445132429403,0.006808195020263842,inf,SE,1,0.0020224656714822645,-0.00040103852869149894,0.0024235042001737634,229877056.0,0.0,0.0024271571722217964,0.0024288257135973573,0.0023548667936051843,0.002511009898301291,inf,SE,1,6,1,SE
NGC3495,NW,NW,SE,0.014137831402696326,0.014985676534071533,-0.0008478451313752074,36519054.0,0.9943937462905591,0.004958201066557854,0.0049996101955872875,0.004462563493289077,0.005526465857272962,inf,NW,1,0.02630216552354533,0.031018784630004168,-0.0047166191064588366,34331342.0,1.1273523237107e-11,0.007847178597091647,0.007864871018318221,0.007077890604996933,0.00861751890358261,inf,NW,1,0.0005177287137872919,0.011713327218547648,-0.011195598504760356,31915970.0,3.035287961310105e-46,0.011898068622285764,0.012027259223312794,0.010780612994892594,0.013360008347617539,inf,NW,1,0.012164334120849005,0.01603310809593263,-0.0038687739750836257,31772429.0,4.642895729774794e-49,0.004616795500875029,0.004638450669547496,0.004143708344850092,0.005172351500912681,inf,NW,1,-0.013620102688909033,-0.0032723493155238886,-0.010347753373385143,29365008.0,4.738036120071113e-109,0.010973793054713228,0.010972581694271557,0.010099259223364136,0.0118122843937577,inf,NW,1,-0.02578443680975804,-0.019305457411456523,-0.006478979398301516,31079874.0,7.579563801297827e-64,0.0065005184788933315,0.006522619328843102,0.005861961866652184,0.007218807866701993,inf,NW,1,6,1,NW
NGC3626,W,E,W,0.0017229722255222015,0.0017647692697350642,-4.179704421286264e-05,106241888.0,0.273489370963945,0.00023803584982268653,0.00024469422036807925,0.00017686461002521423,0.0003292196068564802,inf,E,-1,0.0016892176336482884,0.0016565492658792346,3.266836776905373e-05,110627529.0,6.526164549191298e-07,0.00029900633128821365,0.000308035751159767,0.00023267146437661173,0.0004011436430215356,inf,W,1,0.000785856341981036,0.0005893042614904902,0.00019655208049054577,116246480.0,3.0398720490851473e-37,0.0003356754004287684,0.0003488476865711802,0.000300113228701852,0.00040754726433298076,inf,W,1,-3.3754591873912995e-05,-0.00010822000385582984,7.446541198191686e-05,113844298.0,4.212500741379576e-21,0.00012153224921837955,0.00012362256442839228,0.00010429215742316352,0.00014885990638459386,inf,W,1,-0.0009371158835411653,-0.0011754650082445742,0.00023834912470340884,113787640.0,8.867745811899986e-21,0.0002518317739805421,0.0002582634306873897,0.0002097145940496495,0.00031551915578073076,inf,W,1,-0.0009033612916672525,-0.001067245004388744,0.0001638837127214915,113826289.0,5.340480075266598e-21,0.00017255751511128094,0.00017500107252625132,0.00012739802834564525,0.00022732154647277816,inf,W,1,4,1,W
NGC4605,NE,NE,SW,0.04284743983445502,0.027539980478571143,0.015307459355883877,124458872.0,0.0,0.01542045355788544,0.015415165374963376,0.014622484586965037,0.016167232373613984,inf,SW,-1,0.07166938502227083,0.052620323013310384,0.019049062008960442,119009309.0,3.1140599466981786e-203,0.01926348190643345,0.019268591962865313,0.017985495471764385,0.020522980144740112,inf,SW,-1,0.07907772426883682,0.05941961378879094,0.019658110480045878,116417625.0,7.271541878934892e-156,0.019887981947508918,0.01987738716385282,0.01838482697412982,0.021384845706094443,inf,SW,-1,0.0288219451878158,0.025080342534739248,0.0037416026530765513,109657024.0,4.2639536871801374e-62,0.0038727956510102137,0.0038688528016057972,0.003376826736600344,0.0043557331874421,inf,SW,-1,0.03623028443438178,0.031879633310219806,0.004350651124161976,107116527.0,5.559853493418045e-38,0.004451912745457399,0.0044573215319617,0.003772824466153032,0.005157641463751642,inf,SW,-1,0.007408339246565986,0.006799290775480556,0.0006090484710854303,101702424.0,9.532280043346134e-07,0.0006248191307824201,0.0006380303587713899,0.0004245081200881404,0.0008664695482975688,inf,SW,-1,-6,-1,SW
