name,x,y,a,b,theta
IC2247,124.5119777,124.8494579,109.6116929,21.98117865,1.004434595
IC540,123.8727119,123.9521817,85.4164437,24.74223421,1.398564321
IC944,124.0973386,125.5343244,105.69053735,33.817129125,0.3155951453
NGC1542,61.96809589,63.21422701,54.17662985,20.877515675,0.6371564574
NGC3067,157.4139237,154.6183019,115.09648965,45.07038514,0.2997800259
NGC3079,362.7641709,373.9848316,204.2809158,55.446801,1.44913309
NGC3169,251.7769472,250.7991301,129.07707885,83.35988285,-0.6549876074
NGC3495,311.1081865,312.1339198,117.3197999,46.41183417,-1.151203335
NGC3626,186.8023558,187.36809,129.8393363,71.72759845,1.350783062
NGC4605,247.8000215,243.6538963,146.1946876,61.0670578,0.6481787581
NGC4772,249.6035397,249.3292726,114.303616,75.6885658,0.9840669936
NGC6314,123.6776214,124.8720238,71.13210605,39.777255685,1.472309535
NGC681,124.0549725,123.9380259,88.34739325,58.47992135,-0.3762620007
UGC10205,123.6735507,124.9283682,71.89831485,53.0138008,0.7529837518
UGC10297,123.0197766,121.6547249,117.2840682,23.709266605,-1.557565254
UGC3107,92.707451,95.03471806,78.9512174,19.133742495,-0.3108894118
UGC5111,121.4277981,124.8300006,90.7539,23.6360166,0.5269091823
UGC5498,233.5731181,168.413711,85.9385666,17.656343295,-0.5212772574
UGC6036,124.899053,124.0852373,91.30851995,24.616336985,0.1718956932
UGC8267,125.5158475,124.4456971,87.64774925,19.996989515,-0.8727761097
UGC8778,93.38082396,92.75113333,92.52679965,23.500395605,0.5049532358
UGC9665,124.0937537,123.6202168,108.54592439999999,24.227565774999995,0.9329212101
