name,x,y,a,b,theta
IC750,187.7898652,187.5340502,21.772260060625,8.145164270436515,-0.870833743
NGC1309,124.5852467,125.4952099,15.629540500000001,13.58569986247888,-1.449804614
NGC1324,186.1302356,187.5202524,22.601915702437502,6.941192549194241,0.8724058234
NGC2268,155.6754761,157.2623478,20.647641575625002,11.038169471732909,-0.4825887543
NGC2713,186.7769359,186.8323682,19.5742452225,12.590559815925161,0.4791467371
NGC3003,290.8858351,281.1467091,36.246700865625,10.721266307964688,-0.1804883935
NGC3185,124.8828981,124.8676656,21.44638293,11.434457002954389,0.5569987276
NGC3370,218.2296424,218.2412806,20.113680409375,11.515797854508437,0.9887553406
NGC3430,217.343819,217.1147515,22.6394868900625,12.185573779928232,-0.9852043409
NGC3726,467.9882839,467.951893,45.317075850375,25.02068096825123,-1.372019422
NGC3813,156.7564199,153.2847073,22.608533576875,9.778946733514145,-0.119054766
NGC3877,278.9844698,283.6616917,42.877527604375004,10.056286735781804,-0.9584492856
NGC3917,310.9788252,312.1779023,39.055626989375,10.329086648707106,-0.2308888034
NGC4096,372.4252215,373.1250883,70.8476998375,19.796529641589423,-1.232638239
NGC4162,185.5753217,186.968375,18.0672621531875,11.914146272533543,1.375836914
NGC4178,314.2802541,307.2900343,31.6356904,8.819513399230061,-0.9848911476
NGC4192,437.019593,434.7603519,78.04963869625,19.787885597875782,1.070943909
NGC4220,189.168402,185.8462627,28.310528989375,9.357184574348606,0.8130398695
NGC4274,187.160757,188.4026528,19.675165755,15.01848874657251,-0.04426021285
NGC4579,311.3133955,311.1473142,20.243021928687497,12.928312189833257,-0.4645280832
NGC4586,250.1811019,248.4789819,32.031818384375,11.997668801382904,0.4635167361
NGC4602,246.5360616,252.2112072,19.7667968056875,8.43950865008848,0.4205924409
NGC470,154.2345777,154.6295723,22.7116633385625,14.967728191370487,1.281972544
NGC4771,249.7305106,248.4222795,32.849986894375,8.326959533467656,0.7701277969
NGC4800,60.65740187,62.33975872,10.522115794374999,7.820012883013508,-1.049280001
NGC4845,218.4652594,218.9108489,36.0493814446875,10.454026568226203,-0.2639597432
NGC5443,187.2507393,186.9391481,24.237997579374998,8.772853122905346,-0.8517647145
NGC5522,125.301464,124.7798654,15.2923819426875,4.493280550811325,-0.6548799496
NGC5533,124.9350443,124.7755911,14.049176899437501,8.859367581304006,-1.090692245
NGC5559,124.6754858,124.5669322,11.55237465875,3.4167828421849986,-0.5079294172
NGC5587,122.7570186,123.922307,18.3333971534375,6.570086287135169,1.27775182
NGC5616,156.2965491,154.3567837,21.426342369375,4.760698738574981,1.176308397
NGC5656,124.8625908,124.6620605,12.178637034125,8.218853238759497,-0.6301123586
NGC5676,187.4003194,187.4647745,23.686543963125,11.522323240707184,-0.781895421
NGC5690,189.1637688,194.0412334,66.67118173,20.939171602977382,0.9028372816
NGC5750,124.7737875,123.1227602,19.517436611,14.311955536881282,-0.3027985085
NGC716,123.6159907,123.1730947,14.102137530625,7.8313862435315675,-0.5147252429
NGC7448,123.4835062,124.0451035,18.205855080625,8.78343083694215,1.396540212
NGC7721,185.7357033,186.4433098,16.514420811249998,8.818235830071517,-1.383686865
NGC779,175.9485716,179.4324944,29.2499636775,10.077541247655052,1.235859923
NGC787,92.66394105,93.53047323,12.949852755,10.650850463547936,-0.1769457813
